"","Gene.Symbol","Log2.Fold.Change."
"1967","SNORA70",-2.853
"1968","SNORA68",2.854
"1969","SNORA8",4.486
"1970","SNORA22",2.219
"1971","RNU1-4",4.244
"1972","SNORD15B",4.444
"1973","SNORA7A",3.405
"1974","RNU1-3",4.19
"1975","SNORA48",4.441
"1976","MT-RNR2",2.06
"1977","MT-RNR1",2.849
"1978","IGKC",3.294
"1979","IGKV4-1",2.763
"1980","IGLV1-40",2.253
"1981","IGLV3-25",2.13
"1982","IGLV2-14",2.217
"1983","IGLV3-1",2.275
"1984","IGLC1",3.182
"1985","IGLC2",3.694
"1986","IGLC3",3.753
"1987","IGHG1",2.858
"1988","IGHV3-23",2.446
"1989","IGHV4-39",2.262
"1990","SNORD17",2.267
"1991","SNORA12",6.125
"1992","LINC01089",-2.252
"1993","HIST2H3DP1",-2.757
"1994","GSTM2",-4.005
"1995","LCAT",-2.615
"1996","RP11-75L1.2",-2.447
"1997","UBD",3.138
"1998","TTLL3",-3.64
"1999","UCA1",2.881
"2000","MYCBP",2.1
"2001","PRCD",-2.372
"2002","RCN1P2",-2.354
"2003","PLIN5",-6.151
"2004","MEG3",-7.694
"2005","HMGN2P15",-2.915
"2006","ZSWIM8",-2.062
"2007","SEPT7P2",-2.259
"2008","HLA-F-AS1",-2.171
"2009","NEURL4",-2.544
"2010","GOLGA8B",-4.037
"2011","LINC01139",2.672
"2012","MMP23A",-2.458
"2013","IFI30",3.384
"2014","FAM19A5",-2.151
"2015","VAMP2",-2.037
"2016","PKMP3",-2.314
"2017","MTMR9LP",-4.459
"2018","RP11-572P18.1",-2.895
"2019","U3",-4.418
"2020","SNORA11",2.748
"2021","SLC12A8",2.937
"2022","PPT2",-2.094
"2023","URAHP",-2.388
"2024","LINC00152",2.265
"2025","HIST2H2BA",-2.866
"2026","MEG9",-3.657
"2027","LINC00473",-4.773
"2028","RP11-632K20.7",-2.575
"2029","RP4-717I23.3",-2.439
"2030","MIR503HG",-5.015
"2031","TSSC2",-2.678
"2032","LINC00205",-2.135
"2033","HLA-DPB1",2.324
"2034","EPB41L4A-AS1",-2.911
"2035","SNHG14",-2.317
"2036","HAGLR",2.749
"2037","LINC01133",2.111
"2038","MSL3P1",2.322
"2039","SH3BP5-AS1",-3.316
"2040","NPIPA3",-2.176
"2041","RPL29P11",-2.411
"2042","RP11-228B15.4",-3.528
"2043","GS1-184P14.2",2.299
"2044","SNORA71A",2.793
"2045","RANP4",-2.176
"2046","LINC00092",-2.032
"2047","PTPRD-AS1",-2.556
"2048","SNHG23",-2.972
"2049","FAM229A",-2.038
"2050","LINC00115",-2.398
"2051","RP4-706A16.3",-2.305
"2052","RP11-419C5.2",-2.241
"2053","LEMD1-AS1",-3.385
"2054","HAGLROS",2.65
"2055","RP5-1056L3.3",-2.87
"2056","LINC00511",3.193
"2057","PFN1P6",-2.037
"2058","RP11-258C19.4",-2.924
"2059","RP4-669P10.19",-2.087
"2060","LTB",2.626
"2061","HIGD1AP11",-3.196
"2062","TARID",-2.666
"2063","GUSBP11",-3.328
"2064","RP13-39P12.3",-2.186
"2065","RP4-781K5.2",-5.452
"2066","VDAC1P8",-2.221
"2067","RP11-274B21.12",-2.202
"2068","XIST",-4.891
"2069","TMSB4XP6",-2.486
"2070","TRPM2-AS",2.643
"2071","GOLGA6L5P",-4.625
"2072","RP5-902P8.10",-2.472
"2073","RPS23P8",-2.669
"2074","RP4-631H13.6",-3.223
"2075","KLF3-AS1",-4.026
"2076","RP4-797C5.2",2.917
"2077","HLA-DPA1",3.405
"2078","LINC00899",-2.502
"2079","LINC-PINT",-2.695
"2080","HLA-DQB2",2.348
"2081","GOLGA8N",-3.743
"2082","LYRM9",-2.219
"2083","LINC00342",-3.057
"2084","RP11-1212A22.4",-3.103
"2085","GPX1",2.1
"2086","USP32P2",-2.588
"2087","RP11-295G20.2",2.921
"2088","TMEM238",4.731
"2089","TWIST2",-3.354
"2090","LINC00284",2.002
"2091","LINC01503",2.771
"2092","RP11-250B2.3",-2.713
"2093","ZNF37BP",-2.67
"2094","MAGI2-AS3",-3.937
"2095","HMGN1P18",-2.465
"2096","RPL39P3",-2.854
"2097","PPP1R3E",-2.062
"2098","FAM103A2P",2.198
"2099","RP11-575L7.8",-2.366
"2100","RP11-693N9.2",-2.63
"2101","LINC00894",-2.778
"2102","LL0XNC01-240C2.1",-3.008
"2103","SLC25A3P1",2.471
"2104","TRHDE-AS1",-3.058
"2105","VLDLR-AS1",-3.024
"2106","RP11-390F4.6",2.086
"2107","NDUFA6-AS1",-2.01
"2108","RP4-669L17.10",-2.311
"2109","HAND2-AS1",-4.448
"2110","NR2F1-AS1",-2.625
"2111","TTN-AS1",-2.115
"2112","UNC5B-AS1",3.671
"2113","OXCT2P1",-2.282
"2114","KIFC1",2.618
"2115","RP6-24A23.3",-3.099
"2116","LINC00844",-2.257
"2117","RP5-857K21.6",2.199
"2118","KCNMB2-AS1",2.852
"2119","SCARNA7",2.774
"2120","SNORA47",5.037
"2121","SCARNA10",2.356
"2122","SNORA84",2.508
"2123","RPL23AP1",-2.875
"2124","RP11-295P9.3",-2.162
"2125","RN7SL608P",-2.294
"2126","RN7SL674P",-2.551
"2127","IGKV3-20",2.896
"2128","LY6G5B",-2.728
"2129","RP11-318E3.4",-2.009
"2130","SMKR1",2.668
"2131","RP11-499P20.2",-2.326
"2132","RPL7AP10",-2.239
"2133","RP5-890O3.9",-2.327
"2134","HIST2H2BB",-3.248
"2135","MIF",2.353
"2136","RP11-79D8.2",-3.932
"2137","RP11-727A23.1",-2.099
"2138","TDGF1",-2.633
"2139","RP11-446H18.1",-2.229
"2140","RP11-379B18.5",-2.197
"2141","IGKV3-11",2.471
"2142","RPL36AP43",-2.295
"2143","IDS",-2.746
"2144","INMT",-2.67
"2145","LINC00893",-2.988
"2146","RP11-34P13.13",-2.132
"2147","TCEB1P19",-2.64
"2148","STAG3L5P",-2.526
"2149","IGKV2D-28",2.826
"2150","HLA-DMB",2.989
"2151","KCTD7",-2.544
"2152","IGKV1-5",2.324
"2153","UPK3B",4.916
"2154","RP11-274B21.3",-2.058
"2155","LINC00883",-2.631
"2156","PLA2G4B",-2.536
"2157","GSTA1",-2.722
"2158","RN7SL417P",-3.312
"2159","SPRR2F",-5.881
"2160","PDCL3P4",-2.21
"2161","PKD1P1",-2.717
"2162","LINC01296",2.695
"2163","IGKV3-15",2.744
"2164","RP4-800G7.2",-3.295
"2165","LINC01391",-2.44
"2166","RP11-613D13.8",-2.194
"2167","NEAT1",-3.914
"2168","RAD51-AS1",-2.132
"2169","UBAP1L",-2.44
"2170","NR2F2-AS1",-4.439
"2171","FAM13A-AS1",-2.525
"2172","RP11-752D24.2",-2.573
"2173","RRN3P1",-2.915
"2174","MEF2C-AS1",-2.892
"2175","WHAMMP2",-2.025
"2176","KB-1269D1.8",-2.12
"2177","RP11-597D13.9",-3.366
"2178","LINC01197",-3.595
"2179","SEMA6A-AS1",-2.3
"2180","GDNF-AS1",-2.334
"2181","RP11-844P9.2",-4.065
"2182","TMEM150C",-3.394
"2183","LINC01088",-2.685
"2184","MIR143HG",-3.618
"2185","RAC1P2",2.272
"2186","LINC01018",-2.7
"2187","PKD1P6",-2.432
"2188","PSMC1P5",-4.889
"2189","LINC00958",3.107
"2190","IGKV1D-39",2.577
"2191","RP11-774O3.3",-2.65
"2192","RN7SKP70",-2.169
"2193","TMEM200B",-3.761
"2194","TRNP1",2.388
"2195","RP11-1081M5.1",-2.586
"2196","KRT8P3",2.171
"2197","RP11-867G23.4",-2.404
"2198","RP11-755F10.3",-2.854
"2199","RP11-728F11.4",-2.375
"2200","RP11-867G23.1",-3.218
"2201","STX16-NPEPL1",-2.384
"2202","RP11-326C3.2",3.321
"2203","PIGY",-2.343
"2204","RP11-350N15.4",-2.585
"2205","RP11-166D19.1",-3.129
"2206","RP11-732A19.5",-2.85
"2207","RP11-283G6.5",3.902
"2208","RP11-27M24.1",2.159
"2209","ZNF10",-2.257
"2210","RP11-283G6.4",3.799
"2211","RPL41P2",-4.351
"2212","RP11-73M18.2",2.195
"2213","RP11-680F8.1",2.088
"2214","RP11-283G6.3",2.026
"2215","RP11-783K16.5",2.257
"2216","U47924.27",3.566
"2217","PWAR6",-2.367
"2218","RP11-603J24.9",3.932
"2219","RP11-203J24.9",-3.367
"2220","RP11-469H8.6",2.268
"2221","PSMA3-AS1",-2.185
"2222","RP11-162P23.2",2.35
"2223","RP1-78O14.1",-2.376
"2224","RP11-386G11.10",-3.425
"2225","RP11-161H23.5",-4.345
"2226","PPT2-EGFL8",-3.44
"2227","MEG8",-3.292
"2228","RP11-164J13.1",-2.599
"2229","RP11-638I2.6",-2.743
"2230","RP11-203M5.7",-2.317
"2231","RP11-66N24.3",-2.574
"2232","RP11-841O20.2",2.208
"2233","RNASE4",-4.37
"2234","TUBB3",2.807
"2235","RP11-298I3.5",-2.7
"2236","LINC00924",-2.791
"2237","RP11-903H12.5",-3.812
"2238","RP11-182J1.12",-3.862
"2239","RP11-522B15.3",-2.558
"2240","RP11-736N17.4",3.313
"2241","RP11-89K11.1",-2.912
"2242","RP11-182J1.14",-2.239
"2243","RP11-95H3.1",-3.066
"2244","RP11-1100L3.8",-4.648
"2245","PWRN1",-3.271
"2246","RP11-326A19.5",-3.033
"2247","RP11-999E24.3",-2.339
"2248","RP11-553L6.5",-3.213
"2249","HOXB7",3.517
"2250","FRRS1L",-2.876
"2251","RP11-395I6.3",-2.246
"2252","RP11-645C24.5",-2.056
"2253","SCX",2.806
"2254","RP13-516M14.1",-2.731
"2255","RP11-24N18.1",-4.052
"2256","RP11-615I2.2",-3.708
"2257","RP11-250B2.5",-2.058
"2258","RP11-106M3.2",-2.176
"2259","GS1-358P8.4",-2.158
"2260","RP11-96C23.11",-2.186
"2261","RP11-303E16.2",2.022
"2262","RP11-325K4.2",-2.391
"2263","EPPK1",2.867
"2264","RP11-532F12.5",4.079
"2265","LINC01355",-2.268
"2266","RP6-24A23.7",-2.408
"2267","RP11-448G15.3",-2.175
"2268","LA16c-358B7.3",-2.489
"2269","SMG1P7",-2.629
"2270","RP11-1260E13.4",-2.856
"2271","TRPV1",-2.036
"2272","RP11-388C12.8",-2.519
"2273","SPON1",2.812
"2274","RP11-1055B8.4",-3.95
"2275","RP11-333E1.2",-2.368
"2276","RP11-810M2.2",-2.147
"2277","RP11-927P21.5",-2.463
"2278","LINC00908",-2.151
"2279","RP11-334E6.12",2.152
"2280","SNORD3A",2.476
"2281","RP11-746M1.1",-3.575
"2282","MAGOH2P",-2.087
"2283","MIR3648-2",4.909
"2284","RP13-104F24.3",-2.24
"2285","RP11-138I1.4",-5.035
"2286","RP11-5A19.5",-2.446
"2287","GATA6-AS1",-3.518
"2288","NBPF15",-2.194
"2289","MYO15B",-4.547
"2290","RP13-104F24.1",-2.457
"2291","RP11-19P22.8",-3.765
"2292","FXYD1",-3.148
"2293","RP11-449J21.5",2.882
"2294","LCN6",-3.472
"2295","RP11-793H13.10",-2.578
"2296","LOC100421166",-2.237
"2297","ZNF582-AS1",-2.056
"2298","MIR497HG",-3.427
"2299","POLR2J2",-4.137
"2300","ZNF224",-2.477
"2301","SMIM22",7.105
"2302","FAM156A",-2.232
"2303","RP11-256I23.1",-2.585
"2304","RP11-256I23.2",-3.732
"2305","FBXO17",-2.132
"2306","RP11-722G7.1",-2.728
"2307","MAGIX",2.296
"2308","PTOV1-AS2",-2.822
"2309","LINC01224",2.348
"2310","U62631.5",-3.12
"2311","ZIM2",-2.962
"2312","RMRP",3.265
"2313","RP11-73M18.10",-2.117
"2314","RP1-172N19.5",-2.589
"2315","RP11-932O9.9",-2.22
"2316","RP11-394O4.5",-5.121
"2317","RP11-73M18.7",-2.141
"2318","RP11-73M18.8",-2.312
"2319","RP11-498E2.9",2.018
"2320","RP3-430N8.10",2.52
"2321","RP11-34P13.16",-2.292
"2322","ZNF559-ZNF177",-2.044
"2323","RP11-540B6.6",-2.504
"2324","RNU11",5.733
"2325","RP11-258C19.7",-2.637
"2326","NBPF8",-2.651
"2327","PKD1P6",-2.541
"2328","RP11-373D23.2",-3.525
"2329","RP11-632K20.8",-2.076
"2330","RP3-368A4.6",-2.25
"2331","LIX1L",-2.297
"2332","SNX29P2",-3.516
"2333","RP11-787I22.3",-2.016
"2334","RP4-635E18.8",-2.379
"2335","RP11-465B22.8",2.343
"2336","HIST2H2AA4",2.534
"2337","RP5-855D21.1",-3.158
"2338","XXbac-BPGBPG55C20.2",-2.28
"2339","RP11-379F4.6",2.274
"2340","MUSTN1",-3.702
"2341","ZSWIM8-AS1",-2.083
"2342","GS1-114I9.1",-2.598
"2343","RP11-190A12.8",-2.578
"2344","RP3-508I15.21",-2.29
"2345","STAG3L5P-PVRIG2P-PILRB",-2.41
"2346","RP5-855D21.3",-2.763
"2347","RP3-402G11.27",-2.608
"2348","RP11-440D17.3",2.344
"2349","KB-1572G7.2",-2.286
"2350","RP11-216L13.19",-2.478
"2351","RP3-402G11.28",-2.507
"2352","SERPINA3",-3.81
"2353","RP11-535A5.1",-3.71
"2354","RP11-390P24.1",-2.064
"2355","TP53TG1_1",-2.075
"2356","U1",4.244
"2357","RP11-236L14.2",-3.018
"2358","RP4-568C11.4",3.353
"2359","SNORA73A",6.523
"2360","RP11-1081M5.3",-2.151
"2361","JPX_1",2.73
"2362","RP11-228M15.1",-2.157
"2363","PI4KAP1",-3.406
"2364","RP11-229E13.4",3.975
"2365","RP1-292L20.3",-2.196
"2366","MLLT6",-2.25
"2367","RNA5-8S5",2.538
"2368","DLEU2_6",2.698
"2369","PART1_2",2.409
"2370","MIR3648-1",4.909
"2371","HIST1H2BH",2.17
"2372","FP236383.5",2.874
"2373","RP13-516M14.10",-2.108
"2374","RP4-545L17.11",2.288
"2375","UHRF1",2.227
"2376","WHAMMP3",-2.492
"2377","SNORA43",2.969
"2378","RN7SL1",2.091
"2379","TP53TG1_2",2.137
"2380","HERC2P2",-3.077
"2381","RP11-1000B6.7",-2.874
"2382","RP11-321P16.1",-2.58
"2383","RP11-616M22.12",-2.434
"2384","RMRP",4.853
"2385","RP11-327J17.9",-3.304
"2386","F8A1",2.488
"2387","RPPH1",4.502
"2388","RP11-295M3.4",4.382
"2389","RP11-734K23.9",-2.988
"2390","TRAC",2.372
"2391","RNA5-8S5",2.538
"2392","PGM5P2",-2.491
"2393","RP11-681H18.2",-2.919
"2394","SNORA76C",2.939
"2395","RP11-45A17.2",-2.362
"2396","SNORA67",2.902
"2397","RP11-426C22.8",-2.023
"2398","WT1-AS_3",-3.042
"2399","RP11-70D24.2",-2.685
"2400","RP11-454E5.4",-2.158
"2401","RNA5-8S5",2.538
"2402","RNA5-8S5",2.538
"2403","RP13-608F4.5",2.123
"2404","RP11-574K11.24",-2.079
"2405","RP11-2K6.1",2.172
"2406","RP11-43N16.4",-2.15
"2407","RP11-87H9.4",-2.939
"2408","RP3-333H23.9",-3.072
"2409","RP11-361L15.5",-2.148
"2410","RP11-736K20.4",-2.243
"2411","PAGR1",-2.797
"2412","N4BP2L2-IT2",-2.251
"2413","U91328.1",2.836
"2414","RP4-669P10.20",-2.258
"2415","RBM5-AS1",-2.096
"2416","LINC00891",-2.29
"2417","LLNLF-176F2.1",-2.332
"2418","WASH5P",-2.206
"2419","RP11-788M5.4",-2.118
