"interaction","name","selected","shared interaction","shared name","stringdb::coexpression","stringdb::cooccurrence","stringdb::databases","stringdb::experiments","stringdb::fusion","stringdb::interspecies","stringdb::neighborhood","stringdb::score","stringdb::textmining"
"pp","9606.ENSP00000306245 (pp) 9606.ENSP00000356832","false","pp","9606.ENSP00000306245 (pp) 9606.ENSP00000356832","0.222",,,"0.071",,,,"0.555","0.435"
"pp","9606.ENSP00000306245 (pp) 9606.ENSP00000398736","false","pp","9606.ENSP00000306245 (pp) 9606.ENSP00000398736","0.315",,,,,,,"0.753","0.655"
"pp","9606.ENSP00000306245 (pp) 9606.ENSP00000355124","false","pp","9606.ENSP00000306245 (pp) 9606.ENSP00000355124","0.042",,,"0.091",,,,"0.525","0.499"
"pp","9606.ENSP00000306245 (pp) 9606.ENSP00000378699","false","pp","9606.ENSP00000306245 (pp) 9606.ENSP00000378699","0.051",,,"0.079",,,,"0.639","0.621"
"pp","9606.ENSP00000306245 (pp) 9606.ENSP00000368104","false","pp","9606.ENSP00000306245 (pp) 9606.ENSP00000368104","0.045",,,,,,,"0.433","0.431"
"pp","9606.ENSP00000306245 (pp) 9606.ENSP00000373477","false","pp","9606.ENSP00000306245 (pp) 9606.ENSP00000373477","0.105",,,,,,,"0.466","0.428"
"pp","9606.ENSP00000306245 (pp) 9606.ENSP00000337691","false","pp","9606.ENSP00000306245 (pp) 9606.ENSP00000337691","0.055",,,"0.256",,,,"0.442","0.271"
"pp","9606.ENSP00000306245 (pp) 9606.ENSP00000348838","false","pp","9606.ENSP00000306245 (pp) 9606.ENSP00000348838",,,,"0.068",,,,"0.476","0.461"
"pp","9606.ENSP00000306245 (pp) 9606.ENSP00000310036","false","pp","9606.ENSP00000306245 (pp) 9606.ENSP00000310036","0.101",,,,,,,"0.405","0.366"
"pp","9606.ENSP00000306245 (pp) 9606.ENSP00000307774","false","pp","9606.ENSP00000306245 (pp) 9606.ENSP00000307774",,,,"0.066",,,,"0.438","0.424"
"pp","9606.ENSP00000306245 (pp) 9606.ENSP00000379140","false","pp","9606.ENSP00000306245 (pp) 9606.ENSP00000379140","0.091",,,,,,,"0.426","0.395"
"pp","9606.ENSP00000306245 (pp) 9606.ENSP00000359719","false","pp","9606.ENSP00000306245 (pp) 9606.ENSP00000359719",,,"0.9","0.086",,,,"0.959","0.595"
"pp","9606.ENSP00000306245 (pp) 9606.ENSP00000324270","false","pp","9606.ENSP00000306245 (pp) 9606.ENSP00000324270",,,,,,,,"0.594","0.594"
"pp","9606.ENSP00000306245 (pp) 9606.ENSP00000368683","false","pp","9606.ENSP00000306245 (pp) 9606.ENSP00000368683","0.05",,,,,,,"0.68","0.677"
"pp","9606.ENSP00000306245 (pp) 9606.ENSP00000385675","false","pp","9606.ENSP00000306245 (pp) 9606.ENSP00000385675","0.14",,,,,,,"0.891","0.879"
"pp","9606.ENSP00000306245 (pp) 9606.ENSP00000482027","false","pp","9606.ENSP00000306245 (pp) 9606.ENSP00000482027","0.238",,,"0.098",,,,"0.617","0.488"
"pp","9606.ENSP00000306245 (pp) 9606.ENSP00000307508","false","pp","9606.ENSP00000306245 (pp) 9606.ENSP00000307508",,,,"0.063",,,,"0.475","0.463"
"pp","9606.ENSP00000306245 (pp) 9606.ENSP00000492001","false","pp","9606.ENSP00000306245 (pp) 9606.ENSP00000492001","0.119",,,,,,,"0.512","0.469"
"pp","9606.ENSP00000306245 (pp) 9606.ENSP00000344352","false","pp","9606.ENSP00000306245 (pp) 9606.ENSP00000344352","0.471",,,"0.354",,,,"0.994","0.984"
"pp","9606.ENSP00000306245 (pp) 9606.ENSP00000496832","false","pp","9606.ENSP00000306245 (pp) 9606.ENSP00000496832",,,,"0.066",,,,"0.547","0.536"
"pp","9606.ENSP00000306245 (pp) 9606.ENSP00000468348","false","pp","9606.ENSP00000306245 (pp) 9606.ENSP00000468348","0.053",,,,,,,"0.414","0.407"
"pp","9606.ENSP00000306245 (pp) 9606.ENSP00000476136","false","pp","9606.ENSP00000306245 (pp) 9606.ENSP00000476136",,,"0.5","0.072",,,,"0.583","0.175"
"pp","9606.ENSP00000306245 (pp) 9606.ENSP00000348645","false","pp","9606.ENSP00000306245 (pp) 9606.ENSP00000348645",,,,,,,,"0.739","0.739"
"pp","9606.ENSP00000306245 (pp) 9606.ENSP00000440864","false","pp","9606.ENSP00000306245 (pp) 9606.ENSP00000440864","0.522",,,"0.091",,,,"0.933","0.86"
"pp","9606.ENSP00000306245 (pp) 9606.ENSP00000321744","false","pp","9606.ENSP00000306245 (pp) 9606.ENSP00000321744","0.049",,"0.5","0.072",,,,"0.588","0.177"
"pp","9606.ENSP00000306245 (pp) 9606.ENSP00000427279","false","pp","9606.ENSP00000306245 (pp) 9606.ENSP00000427279","0.18",,,,,,,"0.48","0.392"
"pp","9606.ENSP00000306245 (pp) 9606.ENSP00000438553","false","pp","9606.ENSP00000306245 (pp) 9606.ENSP00000438553","0.057",,"0.5","0.054",,,,"0.533","0.078"
"pp","9606.ENSP00000306245 (pp) 9606.ENSP00000342307","false","pp","9606.ENSP00000306245 (pp) 9606.ENSP00000342307",,,,"0.088",,,,"0.412","0.383"
"pp","9606.ENSP00000306245 (pp) 9606.ENSP00000313950","false","pp","9606.ENSP00000306245 (pp) 9606.ENSP00000313950",,,,"0.112",,,,"0.461","0.418"
"pp","9606.ENSP00000306245 (pp) 9606.ENSP00000368880","false","pp","9606.ENSP00000306245 (pp) 9606.ENSP00000368880","0.054",,"0.4","0.091",,,,"0.809","0.674"
"pp","9606.ENSP00000306245 (pp) 9606.ENSP00000325120","false","pp","9606.ENSP00000306245 (pp) 9606.ENSP00000325120","0.042",,,"0.066",,,,"0.659","0.65"
"pp","9606.ENSP00000306245 (pp) 9606.ENSP00000367022","false","pp","9606.ENSP00000306245 (pp) 9606.ENSP00000367022","0.071",,"0.5","0.054",,,,"0.547","0.091"
"pp","9606.ENSP00000306245 (pp) 9606.ENSP00000481675","false","pp","9606.ENSP00000306245 (pp) 9606.ENSP00000481675","0.075",,,,,,,"0.452","0.432"
"pp","9606.ENSP00000306245 (pp) 9606.ENSP00000314420","false","pp","9606.ENSP00000306245 (pp) 9606.ENSP00000314420","0.098",,,,,,,"0.409","0.373"
"pp","9606.ENSP00000306245 (pp) 9606.ENSP00000349430","false","pp","9606.ENSP00000306245 (pp) 9606.ENSP00000349430","0.048",,"0.5","0.072",,,,"0.574","0.151"
"pp","9606.ENSP00000306245 (pp) 9606.ENSP00000330341","false","pp","9606.ENSP00000306245 (pp) 9606.ENSP00000330341","0.246",,,,,,,"0.641","0.545"
"pp","9606.ENSP00000306245 (pp) 9606.ENSP00000365280","false","pp","9606.ENSP00000306245 (pp) 9606.ENSP00000365280","0.109",,,,,,,"0.528","0.493"
"pp","9606.ENSP00000306245 (pp) 9606.ENSP00000493906","false","pp","9606.ENSP00000306245 (pp) 9606.ENSP00000493906","0.068",,,"0.259",,,,"0.413","0.219"
"pp","9606.ENSP00000306245 (pp) 9606.ENSP00000374265","false","pp","9606.ENSP00000306245 (pp) 9606.ENSP00000374265","0.055",,,,,,,"0.435","0.427"
"pp","9606.ENSP00000306245 (pp) 9606.ENSP00000348069","false","pp","9606.ENSP00000306245 (pp) 9606.ENSP00000348069","0.042",,,"0.091",,,,"0.422","0.39"
"pp","9606.ENSP00000306245 (pp) 9606.ENSP00000427514","false","pp","9606.ENSP00000306245 (pp) 9606.ENSP00000427514","0.074",,,"0.275",,,,"0.859","0.807"
"pp","9606.ENSP00000306245 (pp) 9606.ENSP00000346839","false","pp","9606.ENSP00000306245 (pp) 9606.ENSP00000346839",,,,,,,,"0.782","0.783"
"pp","9606.ENSP00000306245 (pp) 9606.ENSP00000370340","false","pp","9606.ENSP00000306245 (pp) 9606.ENSP00000370340",,,,"0.292",,,,"0.406","0.196"
"pp","9606.ENSP00000306245 (pp) 9606.ENSP00000368632","false","pp","9606.ENSP00000306245 (pp) 9606.ENSP00000368632","0.043",,"0.5","0.245",,,,"0.868","0.678"
"pp","9606.ENSP00000306245 (pp) 9606.ENSP00000307479","false","pp","9606.ENSP00000306245 (pp) 9606.ENSP00000307479",,,"0.5","0.094",,,,"0.621","0.232"
"pp","9606.ENSP00000306245 (pp) 9606.ENSP00000446007","false","pp","9606.ENSP00000306245 (pp) 9606.ENSP00000446007","0.104",,,,,,,"0.599","0.571"
"pp","9606.ENSP00000306245 (pp) 9606.ENSP00000478887","false","pp","9606.ENSP00000306245 (pp) 9606.ENSP00000478887","0.135",,"0.4","0.221",,,,"0.965","0.924"
"pp","9606.ENSP00000306245 (pp) 9606.ENSP00000385523","false","pp","9606.ENSP00000306245 (pp) 9606.ENSP00000385523","0.074",,,"0.066",,,,"0.481","0.449"
"pp","9606.ENSP00000306245 (pp) 9606.ENSP00000484824","false","pp","9606.ENSP00000306245 (pp) 9606.ENSP00000484824","0.107",,,"0.053",,,,"0.547","0.508"
"pp","9606.ENSP00000306245 (pp) 9606.ENSP00000355627","false","pp","9606.ENSP00000306245 (pp) 9606.ENSP00000355627","0.046",,,,,,,"0.613","0.611"
"pp","9606.ENSP00000306245 (pp) 9606.ENSP00000370896","false","pp","9606.ENSP00000306245 (pp) 9606.ENSP00000370896",,,,"0.221",,,,"0.427","0.295"
"pp","9606.ENSP00000306245 (pp) 9606.ENSP00000340347","false","pp","9606.ENSP00000306245 (pp) 9606.ENSP00000340347",,,,"0.09",,,,"0.415","0.384"
"pp","9606.ENSP00000306245 (pp) 9606.ENSP00000310170","false","pp","9606.ENSP00000306245 (pp) 9606.ENSP00000310170","0.048",,"0.9",,,,,"0.998","0.984"
"pp","9606.ENSP00000306245 (pp) 9606.ENSP00000486891","false","pp","9606.ENSP00000306245 (pp) 9606.ENSP00000486891","0.047",,,"0.099",,,,"0.614","0.587"
"pp","9606.ENSP00000306245 (pp) 9606.ENSP00000457421","false","pp","9606.ENSP00000306245 (pp) 9606.ENSP00000457421","0.122",,,,,,,"0.409","0.355"
"pp","9606.ENSP00000306245 (pp) 9606.ENSP00000371532","false","pp","9606.ENSP00000306245 (pp) 9606.ENSP00000371532",,,,,,,,"0.575","0.575"
"pp","9606.ENSP00000306245 (pp) 9606.ENSP00000398368","false","pp","9606.ENSP00000306245 (pp) 9606.ENSP00000398368","0.043",,,"0.048",,,,"0.485","0.481"
"pp","9606.ENSP00000306245 (pp) 9606.ENSP00000364976","false","pp","9606.ENSP00000306245 (pp) 9606.ENSP00000364976",,,,,,,,"0.44","0.44"
"pp","9606.ENSP00000306245 (pp) 9606.ENSP00000487174","false","pp","9606.ENSP00000306245 (pp) 9606.ENSP00000487174","0.056",,,"0.095",,,,"0.403","0.358"
"pp","9606.ENSP00000306459 (pp) 9606.ENSP00000316173","false","pp","9606.ENSP00000306459 (pp) 9606.ENSP00000316173","0.067",,"0.8",,,,,"0.905","0.536"
"pp","9606.ENSP00000306245 (pp) 9606.ENSP00000317272","false","pp","9606.ENSP00000306245 (pp) 9606.ENSP00000317272","0.051",,,"0.096",,,,"0.425","0.384"
"pp","9606.ENSP00000306245 (pp) 9606.ENSP00000405330","false","pp","9606.ENSP00000306245 (pp) 9606.ENSP00000405330","0.044",,"0.9","0.523",,,,"0.999","0.994"
"pp","9606.ENSP00000306245 (pp) 9606.ENSP00000330393","false","pp","9606.ENSP00000306245 (pp) 9606.ENSP00000330393","0.047",,,,,,,"0.404","0.401"
"pp","9606.ENSP00000306245 (pp) 9606.ENSP00000338157","false","pp","9606.ENSP00000306245 (pp) 9606.ENSP00000338157","0.112",,,"0.066",,,,"0.497","0.443"
"pp","9606.ENSP00000306245 (pp) 9606.ENSP00000419923","false","pp","9606.ENSP00000306245 (pp) 9606.ENSP00000419923","0.296",,,"0.066",,,,"0.568","0.397"
"pp","9606.ENSP00000306245 (pp) 9606.ENSP00000471239","false","pp","9606.ENSP00000306245 (pp) 9606.ENSP00000471239","0.794",,,,,,,"0.878","0.434"
"pp","9606.ENSP00000306459 (pp) 9606.ENSP00000436812","false","pp","9606.ENSP00000306459 (pp) 9606.ENSP00000436812",,,"0.4",,,,,"0.436","0.1"
"pp","9606.ENSP00000306459 (pp) 9606.ENSP00000376453","false","pp","9606.ENSP00000306459 (pp) 9606.ENSP00000376453","0.074",,,,,,,"0.43","0.411"
"pp","9606.ENSP00000306459 (pp) 9606.ENSP00000363397","false","pp","9606.ENSP00000306459 (pp) 9606.ENSP00000363397",,,"0.9",,,,,"0.985","0.858"
"pp","9606.ENSP00000306245 (pp) 9606.ENSP00000376637","false","pp","9606.ENSP00000306245 (pp) 9606.ENSP00000376637","0.049",,,,,,,"0.585","0.582"
"pp","9606.ENSP00000306245 (pp) 9606.ENSP00000497069","false","pp","9606.ENSP00000306245 (pp) 9606.ENSP00000497069","0.048",,,"0.096",,,,"0.49","0.455"
"pp","9606.ENSP00000306245 (pp) 9606.ENSP00000480050","false","pp","9606.ENSP00000306245 (pp) 9606.ENSP00000480050",,,,,,,,"0.41","0.41"
"pp","9606.ENSP00000306245 (pp) 9606.ENSP00000409346","false","pp","9606.ENSP00000306245 (pp) 9606.ENSP00000409346","0.109",,,,,,,"0.404","0.359"
"pp","9606.ENSP00000306245 (pp) 9606.ENSP00000493382","false","pp","9606.ENSP00000306245 (pp) 9606.ENSP00000493382",,,,,,,,"0.508","0.508"
"pp","9606.ENSP00000306245 (pp) 9606.ENSP00000335357","false","pp","9606.ENSP00000306245 (pp) 9606.ENSP00000335357","0.055",,,"0.094",,,,"0.607","0.578"
"pp","9606.ENSP00000306459 (pp) 9606.ENSP00000379353","false","pp","9606.ENSP00000306459 (pp) 9606.ENSP00000379353","0.044",,,,,,,"0.494","0.493"
"pp","9606.ENSP00000306459 (pp) 9606.ENSP00000364711","false","pp","9606.ENSP00000306459 (pp) 9606.ENSP00000364711",,,"0.4",,,,,"0.4",
"pp","9606.ENSP00000306459 (pp) 9606.ENSP00000484824","false","pp","9606.ENSP00000306459 (pp) 9606.ENSP00000484824","0.062",,"0.4",,,,,"0.418","0.05"
"pp","9606.ENSP00000306459 (pp) 9606.ENSP00000311364","false","pp","9606.ENSP00000306459 (pp) 9606.ENSP00000311364",,,"0.4",,,,,"0.4",
"pp","9606.ENSP00000306606 (pp) 9606.ENSP00000319814","false","pp","9606.ENSP00000306606 (pp) 9606.ENSP00000319814","0.272",,,,,,,"0.438","0.26"
"pp","9606.ENSP00000306459 (pp) 9606.ENSP00000431983","false","pp","9606.ENSP00000306459 (pp) 9606.ENSP00000431983",,,"0.4",,,,,"0.446","0.116"
"pp","9606.ENSP00000306459 (pp) 9606.ENSP00000311648","false","pp","9606.ENSP00000306459 (pp) 9606.ENSP00000311648","0.054",,,,,,,"0.536","0.53"
"pp","9606.ENSP00000306606 (pp) 9606.ENSP00000337224","false","pp","9606.ENSP00000306606 (pp) 9606.ENSP00000337224",,,"0.9",,,,,"0.913","0.172"
"pp","9606.ENSP00000306606 (pp) 9606.ENSP00000332256","false","pp","9606.ENSP00000306606 (pp) 9606.ENSP00000332256","0.12",,"0.707",,"0.002",,"0.048","0.824","0.368"
"pp","9606.ENSP00000306606 (pp) 9606.ENSP00000359793","false","pp","9606.ENSP00000306606 (pp) 9606.ENSP00000359793","0.096",,,,,,,"0.401","0.365"
"pp","9606.ENSP00000306606 (pp) 9606.ENSP00000357691","false","pp","9606.ENSP00000306606 (pp) 9606.ENSP00000357691",,,,,,,,"0.544","0.544"
"pp","9606.ENSP00000306606 (pp) 9606.ENSP00000426083","false","pp","9606.ENSP00000306606 (pp) 9606.ENSP00000426083","0.478","0.047","0.9","0.621",,,,"0.986","0.378"
"pp","9606.ENSP00000306606 (pp) 9606.ENSP00000322061","false","pp","9606.ENSP00000306606 (pp) 9606.ENSP00000322061","0.442",,,,,,,"0.441",
"pp","9606.ENSP00000306459 (pp) 9606.ENSP00000406861","false","pp","9606.ENSP00000306459 (pp) 9606.ENSP00000406861",,,"0.4",,,,,"0.421","0.075"
"pp","9606.ENSP00000306459 (pp) 9606.ENSP00000343924","false","pp","9606.ENSP00000306459 (pp) 9606.ENSP00000343924",,,"0.4",,,,,"0.4",
"pp","9606.ENSP00000306606 (pp) 9606.ENSP00000494009","false","pp","9606.ENSP00000306606 (pp) 9606.ENSP00000494009",,,,,,,,"0.495","0.496"
"pp","9606.ENSP00000306606 (pp) 9606.ENSP00000340684","false","pp","9606.ENSP00000306606 (pp) 9606.ENSP00000340684","0.159",,"0.908",,,,,"0.946","0.359"
"pp","9606.ENSP00000306606 (pp) 9606.ENSP00000467271","false","pp","9606.ENSP00000306606 (pp) 9606.ENSP00000467271","0.391",,,,,,,"0.514","0.236"
"pp","9606.ENSP00000306606 (pp) 9606.ENSP00000363832","false","pp","9606.ENSP00000306606 (pp) 9606.ENSP00000363832","0.263",,"0.9",,,,,"0.952","0.406"
"pp","9606.ENSP00000306772 (pp) 9606.ENSP00000377854","false","pp","9606.ENSP00000306772 (pp) 9606.ENSP00000377854","0.088",,,"0.133",,,,"0.649","0.593"
"pp","9606.ENSP00000306772 (pp) 9606.ENSP00000368632","false","pp","9606.ENSP00000306772 (pp) 9606.ENSP00000368632",,,,"0.113",,,,"0.666","0.639"
"pp","9606.ENSP00000306772 (pp) 9606.ENSP00000369375","false","pp","9606.ENSP00000306772 (pp) 9606.ENSP00000369375","0.345",,,,,,,"0.404","0.128"
"pp","9606.ENSP00000306772 (pp) 9606.ENSP00000379866","false","pp","9606.ENSP00000306772 (pp) 9606.ENSP00000379866","0.042",,,,,,,"0.407","0.407"
"pp","9606.ENSP00000306670 (pp) 9606.ENSP00000433560","false","pp","9606.ENSP00000306670 (pp) 9606.ENSP00000433560",,,,"0.435",,,,"0.435",
"pp","9606.ENSP00000306772 (pp) 9606.ENSP00000322898","false","pp","9606.ENSP00000306772 (pp) 9606.ENSP00000322898","0.074",,,,,,,"0.592","0.578"
"pp","9606.ENSP00000306772 (pp) 9606.ENSP00000494175","false","pp","9606.ENSP00000306772 (pp) 9606.ENSP00000494175","0.049",,,,,,,"0.455","0.451"
"pp","9606.ENSP00000306772 (pp) 9606.ENSP00000368880","false","pp","9606.ENSP00000306772 (pp) 9606.ENSP00000368880","0.057",,,,,,,"0.402","0.393"
"pp","9606.ENSP00000306894 (pp) 9606.ENSP00000366306","false","pp","9606.ENSP00000306894 (pp) 9606.ENSP00000366306","0.125",,,,,,,"0.599","0.561"
"pp","9606.ENSP00000306772 (pp) 9606.ENSP00000388241","false","pp","9606.ENSP00000306772 (pp) 9606.ENSP00000388241","0.055",,,,,,,"0.431","0.423"
"pp","9606.ENSP00000306894 (pp) 9606.ENSP00000347942","false","pp","9606.ENSP00000306894 (pp) 9606.ENSP00000347942",,,,,,,,"0.447","0.447"
"pp","9606.ENSP00000306894 (pp) 9606.ENSP00000381588","false","pp","9606.ENSP00000306894 (pp) 9606.ENSP00000381588",,,,,,,,"0.727","0.727"
"pp","9606.ENSP00000306772 (pp) 9606.ENSP00000496168","false","pp","9606.ENSP00000306772 (pp) 9606.ENSP00000496168",,,,"0.089",,,,"0.49","0.464"
"pp","9606.ENSP00000306894 (pp) 9606.ENSP00000367972","false","pp","9606.ENSP00000306894 (pp) 9606.ENSP00000367972",,,,,,,,"0.513","0.514"
"pp","9606.ENSP00000306894 (pp) 9606.ENSP00000347591","false","pp","9606.ENSP00000306894 (pp) 9606.ENSP00000347591","0.054",,,,,,,"0.631","0.627"
"pp","9606.ENSP00000306894 (pp) 9606.ENSP00000481675","false","pp","9606.ENSP00000306894 (pp) 9606.ENSP00000481675","0.06",,,,,,,"0.543","0.534"
"pp","9606.ENSP00000306999 (pp) 9606.ENSP00000393963","false","pp","9606.ENSP00000306999 (pp) 9606.ENSP00000393963","0.242",,,"0.061",,,,"0.412","0.241"
"pp","9606.ENSP00000306894 (pp) 9606.ENSP00000440864","false","pp","9606.ENSP00000306894 (pp) 9606.ENSP00000440864","0.042",,,,,,,"0.464","0.464"
"pp","9606.ENSP00000306894 (pp) 9606.ENSP00000338157","false","pp","9606.ENSP00000306894 (pp) 9606.ENSP00000338157","0.086",,,"0.045",,,,"0.667","0.649"
"pp","9606.ENSP00000306999 (pp) 9606.ENSP00000378356","false","pp","9606.ENSP00000306999 (pp) 9606.ENSP00000378356","0.535",,,"0.292",,,,"0.667","0.072"
"pp","9606.ENSP00000306999 (pp) 9606.ENSP00000362146","false","pp","9606.ENSP00000306999 (pp) 9606.ENSP00000362146","0.432",,,,,,,"0.494","0.146"
"pp","9606.ENSP00000306999 (pp) 9606.ENSP00000414109","false","pp","9606.ENSP00000306999 (pp) 9606.ENSP00000414109","0.374",,,,,,,"0.458","0.17"
"pp","9606.ENSP00000306999 (pp) 9606.ENSP00000376457","false","pp","9606.ENSP00000306999 (pp) 9606.ENSP00000376457","0.515",,,,,,,"0.558","0.128"
"pp","9606.ENSP00000306999 (pp) 9606.ENSP00000481380","false","pp","9606.ENSP00000306999 (pp) 9606.ENSP00000481380","0.713",,,,,,,"0.746","0.153"
"pp","9606.ENSP00000306999 (pp) 9606.ENSP00000335463","false","pp","9606.ENSP00000306999 (pp) 9606.ENSP00000335463","0.561",,,,,,,"0.633","0.201"
"pp","9606.ENSP00000306999 (pp) 9606.ENSP00000413064","false","pp","9606.ENSP00000306999 (pp) 9606.ENSP00000413064","0.047",,,,,,,"0.53","0.527"
"pp","9606.ENSP00000306999 (pp) 9606.ENSP00000363055","false","pp","9606.ENSP00000306999 (pp) 9606.ENSP00000363055","0.333",,,,,,,"0.413","0.157"
"pp","9606.ENSP00000306999 (pp) 9606.ENSP00000465992","false","pp","9606.ENSP00000306999 (pp) 9606.ENSP00000465992","0.339",,,,,,,"0.402","0.134"
"pp","9606.ENSP00000306999 (pp) 9606.ENSP00000356379","false","pp","9606.ENSP00000306999 (pp) 9606.ENSP00000356379","0.478",,,,,,,"0.523","0.125"
"pp","9606.ENSP00000306999 (pp) 9606.ENSP00000323300","false","pp","9606.ENSP00000306999 (pp) 9606.ENSP00000323300","0.342",,,,,,,"0.437","0.181"
"pp","9606.ENSP00000306999 (pp) 9606.ENSP00000334675","false","pp","9606.ENSP00000306999 (pp) 9606.ENSP00000334675","0.468",,,"0.067",,,,"0.508","0.09"
"pp","9606.ENSP00000306999 (pp) 9606.ENSP00000443194","false","pp","9606.ENSP00000306999 (pp) 9606.ENSP00000443194","0.042",,,,,,,"0.73","0.73"
"pp","9606.ENSP00000306999 (pp) 9606.ENSP00000442068","false","pp","9606.ENSP00000306999 (pp) 9606.ENSP00000442068","0.461",,,,,,,"0.532","0.167"
"pp","9606.ENSP00000306999 (pp) 9606.ENSP00000312995","false","pp","9606.ENSP00000306999 (pp) 9606.ENSP00000312995","0.482",,,,,,,"0.577","0.218"
"pp","9606.ENSP00000306999 (pp) 9606.ENSP00000418268","false","pp","9606.ENSP00000306999 (pp) 9606.ENSP00000418268","0.562",,,"0.292",,,,"0.801","0.41"
"pp","9606.ENSP00000306999 (pp) 9606.ENSP00000493712","false","pp","9606.ENSP00000306999 (pp) 9606.ENSP00000493712","0.551",,,,,,,"0.653","0.258"
"pp","9606.ENSP00000306999 (pp) 9606.ENSP00000324020","false","pp","9606.ENSP00000306999 (pp) 9606.ENSP00000324020","0.584",,,,,,,"0.67","0.241"
"pp","9606.ENSP00000306999 (pp) 9606.ENSP00000378699","false","pp","9606.ENSP00000306999 (pp) 9606.ENSP00000378699","0.629",,,"0.144",,,,"0.753","0.284"
"pp","9606.ENSP00000306999 (pp) 9606.ENSP00000355966","false","pp","9606.ENSP00000306999 (pp) 9606.ENSP00000355966","0.585",,,,,,,"0.657","0.209"
"pp","9606.ENSP00000306999 (pp) 9606.ENSP00000353770","false","pp","9606.ENSP00000306999 (pp) 9606.ENSP00000353770","0.379",,,,,,,"0.436","0.129"
"pp","9606.ENSP00000306999 (pp) 9606.ENSP00000379911","false","pp","9606.ENSP00000306999 (pp) 9606.ENSP00000379911","0.497",,,,,,,"0.497",
"pp","9606.ENSP00000306999 (pp) 9606.ENSP00000313950","false","pp","9606.ENSP00000306999 (pp) 9606.ENSP00000313950","0.364",,,"0.069",,,,"0.58","0.348"
"pp","9606.ENSP00000306999 (pp) 9606.ENSP00000356319","false","pp","9606.ENSP00000306999 (pp) 9606.ENSP00000356319","0.365",,,"0.292",,,,"0.531",
"pp","9606.ENSP00000306999 (pp) 9606.ENSP00000319417","false","pp","9606.ENSP00000306999 (pp) 9606.ENSP00000319417","0.577",,,,,,,"0.618","0.135"
"pp","9606.ENSP00000306999 (pp) 9606.ENSP00000428489","false","pp","9606.ENSP00000306999 (pp) 9606.ENSP00000428489","0.648",,,"0.059",,,,"0.689","0.137"
"pp","9606.ENSP00000306999 (pp) 9606.ENSP00000357643","false","pp","9606.ENSP00000306999 (pp) 9606.ENSP00000357643","0.377",,,,,,,"0.416","0.101"
"pp","9606.ENSP00000306999 (pp) 9606.ENSP00000377536","false","pp","9606.ENSP00000306999 (pp) 9606.ENSP00000377536","0.377",,,,,,,"0.523","0.267"
"pp","9606.ENSP00000306999 (pp) 9606.ENSP00000361298","false","pp","9606.ENSP00000306999 (pp) 9606.ENSP00000361298","0.514",,,,,,,"0.566","0.145"
"pp","9606.ENSP00000306999 (pp) 9606.ENSP00000360540","false","pp","9606.ENSP00000306999 (pp) 9606.ENSP00000360540","0.512",,,,,,,"0.617","0.248"
"pp","9606.ENSP00000306999 (pp) 9606.ENSP00000358813","false","pp","9606.ENSP00000306999 (pp) 9606.ENSP00000358813","0.648",,,,,,,"0.689","0.154"
"pp","9606.ENSP00000306999 (pp) 9606.ENSP00000355090","false","pp","9606.ENSP00000306999 (pp) 9606.ENSP00000355090","0.507",,,,,,,"0.542","0.111"
"pp","9606.ENSP00000306999 (pp) 9606.ENSP00000411532","false","pp","9606.ENSP00000306999 (pp) 9606.ENSP00000411532","0.529",,,"0.073",,,,"0.692","0.352"
"pp","9606.ENSP00000306999 (pp) 9606.ENSP00000363524","false","pp","9606.ENSP00000306999 (pp) 9606.ENSP00000363524","0.369",,,,,,,"0.427","0.128"
"pp","9606.ENSP00000307023 (pp) 9606.ENSP00000345708","false","pp","9606.ENSP00000307023 (pp) 9606.ENSP00000345708",,,,,,,,"0.583","0.583"
"pp","9606.ENSP00000306999 (pp) 9606.ENSP00000355922","false","pp","9606.ENSP00000306999 (pp) 9606.ENSP00000355922","0.477",,,,,,,"0.503","0.091"
"pp","9606.ENSP00000306999 (pp) 9606.ENSP00000355958","false","pp","9606.ENSP00000306999 (pp) 9606.ENSP00000355958","0.485",,,,,,,"0.488","0.047"
"pp","9606.ENSP00000306999 (pp) 9606.ENSP00000341565","false","pp","9606.ENSP00000306999 (pp) 9606.ENSP00000341565","0.454",,,,,,,"0.508","0.137"
"pp","9606.ENSP00000307023 (pp) 9606.ENSP00000494321","false","pp","9606.ENSP00000307023 (pp) 9606.ENSP00000494321",,,,"0.053",,,,"0.607","0.603"
"pp","9606.ENSP00000306999 (pp) 9606.ENSP00000355506","false","pp","9606.ENSP00000306999 (pp) 9606.ENSP00000355506","0.568",,,"0.072",,,,"0.651","0.2"
"pp","9606.ENSP00000306999 (pp) 9606.ENSP00000395232","false","pp","9606.ENSP00000306999 (pp) 9606.ENSP00000395232","0.42",,,,,,,"0.433","0.064"
"pp","9606.ENSP00000307259 (pp) 9606.ENSP00000360561","false","pp","9606.ENSP00000307259 (pp) 9606.ENSP00000360561","0.062",,,,,,,"0.672","0.665"
"pp","9606.ENSP00000307023 (pp) 9606.ENSP00000350359","false","pp","9606.ENSP00000307023 (pp) 9606.ENSP00000350359","0.042",,,"0.067",,,,"0.405","0.388"
"pp","9606.ENSP00000307126 (pp) 9606.ENSP00000363397","false","pp","9606.ENSP00000307126 (pp) 9606.ENSP00000363397","0.066",,"0.9",,,,,"0.961","0.625"
