external_gene_name,description,search_id,MeSH_count
S100A13,S100 calcium binding protein A13 ,S100A13,27
MAOA,monoamine oxidase A ,MAOA,169
PAX5,paired box 5 ,PAX5,1000
SERPINA3,serpin family A member 3 ,SERPINA3,62
FAT4,FAT atypical cadherin 4 ,FAT4,104
ESRRG,estrogen related receptor gamma ,ESRRG,23
SPTSSB,serine palmitoyltransferase small subunit B ,SPTSSB,1
ADH1B,"alcohol dehydrogenase 1B (class I), beta polypeptide ",ADH1B,180
TRAPPC4,trafficking protein particle complex subunit 4 ,TRAPPC4,3
TRPV1,transient receptor potential cation channel subfamily V member 1 ,TRPV1,247
COL27A1,collagen type XXVII alpha 1 chain ,COL27A1,5
H2AC13,H2A clustered histone 13 ,H2AC13,0
TLE1,"TLE family member 1, transcriptional corepressor ",TLE1,168
ADA,adenosine deaminase ,ADA,736
SCN8A,sodium voltage-gated channel alpha subunit 8 ,SCN8A,10
LAGE3,L antigen family member 3 ,LAGE3,11
SIGLEC15,sialic acid binding Ig like lectin 15 ,SIGLEC15,75
ACSL5,acyl-CoA synthetase long chain family member 5 ,ACSL5,44
DDI2,DNA damage inducible 1 homolog 2 ,DDI2,9
PELI1,pellino E3 ubiquitin protein ligase 1 ,PELI1,16
MIB2,MIB E3 ubiquitin protein ligase 2 ,MIB2,7
KLHL14,kelch like family member 14 ,KLHL14,7
ELOVL2,ELOVL fatty acid elongase 2 ,ELOVL2,28
ODAD3,outer dynein arm docking complex subunit 3 ,ODAD3,0
SIRPA,signal regulatory protein alpha ,SIRPA,51
MARCHF5,membrane associated ring-CH-type finger 5 ,MARCHF5,1
MB,myoglobin ,myoglobin ,583
BPIFA1,BPI fold containing family A member 1 ,BPIFA1,5
STK39,serine/threonine kinase 39 ,STK39,23
PLXNB3,plexin B3 ,PLXNB3,10
COLGALT2,collagen beta(1-O)galactosyltransferase 2 ,COLGALT2,4
GRM3,glutamate metabotropic receptor 3 ,GRM3,21
GRK5,G protein-coupled receptor kinase 5 ,GRK5,32
PRMT6,protein arginine methyltransferase 6 ,PRMT6,48
KIFBP,kinesin family binding protein ,KIFBP,0
PJA2,praja ring finger ubiquitin ligase 2 ,PJA2,7
NEU4,neuraminidase 4 ,NEU4,19
MACO1,macoilin 1 ,MACO1,0
BMPR2,bone morphogenetic protein receptor type 2 ,BMPR2,79
HSD17B8,hydroxysteroid 17-beta dehydrogenase 8 ,HSD17B8,6
TAP2,"transporter 2, ATP binding cassette subfamily B member ",TAP2,161
FKBPL,FKBP prolyl isomerase like ,FKBPL,15
EHMT2,euchromatic histone lysine methyltransferase 2 ,EHMT2,94
NALF1,NALCN channel auxiliary factor 1 ,NALF1,0
MICA,MHC class I polypeptide-related sequence A ,MICA,658
C6orf15,chromosome 6 open reading frame 15 ,C6orf15,4
DDR1,discoidin domain receptor tyrosine kinase 1 ,DDR1,247
PSMB10,proteasome 20S subunit beta 10 ,PSMB10,17
E2F4,E2F transcription factor 4 ,E2F4,265
NT5M,"5',3'-nucleotidase, mitochondrial ",NT5M,0
COL6A6,collagen type VI alpha 6 chain ,COL6A6,13
DIO2,iodothyronine deiodinase 2 ,DIO2,28
TSGA13,testis specific 13 ,TSGA13,1
SULT1A4,sulfotransferase family 1A member 4 ,SULT1A4,1
GTF2H4,general transcription factor IIH subunit 4 ,GTF2H4,10
DDX47,DEAD-box helicase 47 ,DDX47,4
AP1G2,adaptor related protein complex 1 subunit gamma 2 ,AP1G2,1
LYRM4,LYR motif containing 4 ,LYRM4,2
PLIN5,perilipin 5 ,PLIN5,10
CPEB1,cytoplasmic polyadenylation element binding protein 1 ,CPEB1,39
GCGR,glucagon receptor ,GCGR,26
RNASEK,ribonuclease K ,RNASEK,3
EBF2,EBF transcription factor 2 ,EBF2,11
PPP2R2A,protein phosphatase 2 regulatory subunit Balpha ,PPP2R2A,63
CCNL2,cyclin L2 ,CCNL2,5
PPT2,palmitoyl-protein thioesterase 2 ,PPT2,5
TINCR,TINCR ubiquitin domain containing ,TINCR,64
MT-ATP8,mitochondrially encoded ATP synthase membrane subunit 8 ,MT-ATP8,5
ORM2,orosomucoid 2 ,ORM2,24
ZNF492,zinc finger protein 492 ,ZNF492,3
IFNA17,interferon alpha 17 ,IFNA17,10
APOBEC3G,apolipoprotein B mRNA editing enzyme catalytic subunit 3G ,APOBEC3G,77
LILRA4,leukocyte immunoglobulin like receptor A4 ,LILRA4,6
AMY2B,amylase alpha 2B ,AMY2B,9
RPP21,ribonuclease P/MRP subunit p21 ,RPP21,3
ARPC1A,actin related protein 2/3 complex subunit 1A ,ARPC1A,9
TMEFF1,transmembrane protein with EGF like and two follistatin like domains 1 ,TMEFF1,10
CNTF,ciliary neurotrophic factor ,CNTF,89
STRC,stereocilin ,STRC,5
IGKV2D-29,immunoglobulin kappa variable 2D-29 ,IGKV2D-29,1
TICAM2,TIR domain containing adaptor molecule 2 ,TICAM2,4
IL10RB,interleukin 10 receptor subunit beta ,IL10RB,32
TTC4,tetratricopeptide repeat domain 4 ,TTC4,6
APOBEC3D,apolipoprotein B mRNA editing enzyme catalytic subunit 3D ,APOBEC3D,10
HBB,hemoglobin subunit beta ,HBB,84
PGAM5,"PGAM family member 5, mitochondrial serine/threonine protein phosphatase ",PGAM5,35
MARS2,"methionyl-tRNA synthetase 2, mitochondrial ",MARS2,10
YJEFN3,YjeF N-terminal domain containing 3 ,YJEFN3,1
PCDHA12,protocadherin alpha 12 ,PCDHA12,2
PCDHGB2,"protocadherin gamma subfamily B, 2 ",PCDHGB2,1
OR52B2,olfactory receptor family 52 subfamily B member 2 ,OR52B2,0
DNAAF4,dynein axonemal assembly factor 4 ,DNAAF4,0
SULT1A3,sulfotransferase family 1A member 3 ,SULT1A3,18
MSMB,microseminoprotein beta ,MSMB,88
TXNIP,thioredoxin interacting protein ,TXNIP,246
STRADA,STE20 related adaptor alpha ,STRADA,3
FXYD1,FXYD domain containing ion transport regulator 1 ,FXYD1,3
TMEM185A,transmembrane protein 185A ,TMEM185A,2
CCL5,C-C motif chemokine ligand 5 ,CCL5,794
DOC2B,double C2 domain beta ,DOC2B,4
DCP1A,decapping mRNA 1A ,DCP1A,15
RCC1L,RCC1 like ,RCC1L,1
H4C7,H4 clustered histone 7 ,H4C7,0
ORAI1,ORAI calcium release-activated calcium modulator 1 ,ORAI1,188
H4C9,H4 clustered histone 9 ,H4C9,0
BLACAT1,BLACAT1 overlapping LEMD1 locus ,BLACAT1,37
KRIT1,KRIT1 ankyrin repeat containing ,KRIT1,229
AOC1,amine oxidase copper containing 1 ,AOC1,6
WNT16,Wnt family member 16 ,WNT16,38
MAD1L1,mitotic arrest deficient 1 like 1 ,MAD1L1,38
CYP26B1,cytochrome P450 family 26 subfamily B member 1 ,CYP26B1,31
RBM5,RNA binding motif protein 5 ,RBM5,58
HSPB6,heat shock protein family B (small) member 6 ,HSPB6,27
ARHGAP33,Rho GTPase activating protein 33 ,ARHGAP33,0
PDK4,pyruvate dehydrogenase kinase 4 ,PDK4,116
ZMYND10,zinc finger MYND-type containing 10 ,ZMYND10,15
MPO,myeloperoxidase ,MPO,958
CRLF1,cytokine receptor like factor 1 ,CRLF1,9
TAC1,tachykinin precursor 1 ,TAC1,54
CX3CL1,C-X3-C motif chemokine ligand 1 ,CX3CL1,224
MAP3K9,mitogen-activated protein kinase kinase kinase 9 ,MAP3K9,23
GTF2IRD1,GTF2I repeat domain containing 1 ,GTF2IRD1,4
SCIN,scinderin ,SCIN,32
MYH13,myosin heavy chain 13 ,MYH13,3
PROM1,prominin 1 ,PROM1,123
SELE,selectin E ,SELE,26
TFAP2B,transcription factor AP-2 beta ,TFAP2B,37
CELSR3,cadherin EGF LAG seven-pass G-type receptor 3 ,CELSR3,22
PGLYRP1,peptidoglycan recognition protein 1 ,PGLYRP1,13
SEC62,"SEC62 homolog, preprotein translocation factor ",SEC62,24
VTA1,vesicle trafficking 1 ,VTA1,2
IFFO1,intermediate filament family orphan 1 ,IFFO1,4
DPF1,double PHD fingers 1 ,DPF1,5
SYT7,synaptotagmin 7 ,SYT7,16
LDAF1,lipid droplet assembly factor 1 ,LDAF1,0
NR1H4,nuclear receptor subfamily 1 group H member 4 ,NR1H4,36
CALCOCO1,calcium binding and coiled-coil domain 1 ,CALCOCO1,6
CLK1,CDC like kinase 1 ,CLK1,31
MAMLD1,mastermind like domain containing 1 ,MAMLD1,20
POLA2,"DNA polymerase alpha 2, accessory subunit ",POLA2,20
CCDC88C,coiled-coil domain containing 88C ,CCDC88C,8
SLC38A5,solute carrier family 38 member 5 ,SLC38A5,11
RALBP1,ralA binding protein 1 ,RALBP1,59
RUFY3,RUN and FYVE domain containing 3 ,RUFY3,8
CYP24A1,cytochrome P450 family 24 subfamily A member 1 ,CYP24A1,275
ZFP64,ZFP64 zinc finger protein ,ZFP64,16
SAMD4A,sterile alpha motif domain containing 4A ,SAMD4A,7
ALAS1,5'-aminolevulinate synthase 1 ,ALAS1,23
DEPDC1,DEP domain containing 1 ,DEPDC1,60
KCNG1,potassium voltage-gated channel modifier subfamily G member 1 ,KCNG1,5
PRKCH,protein kinase C eta ,PRKCH,15
BRD9,bromodomain containing 9 ,BRD9,62
APBA2,amyloid beta precursor protein binding family A member 2 ,APBA2,6
TMSB10,thymosin beta 10 ,TMSB10,25
ZZZ3,zinc finger ZZ-type containing 3 ,ZZZ3,4
RIPOR1,RHO family interacting cell polarization regulator 1 ,RIPOR1,1
C6,complement C6 ,complement C6 ,1
PHLPP2,PH domain and leucine rich repeat protein phosphatase 2 ,PHLPP2,96
RIPOR3,RIPOR family member 3 ,RIPOR3,4
SPATA7,spermatogenesis associated 7 ,SPATA7,0
TG,thyroglobulin ,thyroglobulin ,4583
CTNNA1,catenin alpha 1 ,CTNNA1,99
WDR37,WD repeat domain 37 ,WDR37,1
CP,ceruloplasmin ,ceruloplasmin ,467
ROS1,"ROS proto-oncogene 1, receptor tyrosine kinase ",ROS1,1700
RRM2B,ribonucleotide reductase regulatory TP53 inducible subunit M2B ,RRM2B,36
TNFRSF17,TNF receptor superfamily member 17 ,TNFRSF17,40
RCN1,reticulocalbin 1 ,RCN1,31
DKK3,dickkopf WNT signaling pathway inhibitor 3 ,DKK3,251
LAMC3,laminin subunit gamma 3 ,LAMC3,10
PTGER3,prostaglandin E receptor 3 ,PTGER3,25
FHIP1B,FHF complex subunit HOOK interacting protein 1B ,FHIP1B,0
HEBP2,heme binding protein 2 ,HEBP2,2
MCOLN3,mucolipin TRP cation channel 3 ,MCOLN3,2
PUM2,pumilio RNA binding family member 2 ,PUM2,22
NPFFR2,neuropeptide FF receptor 2 ,NPFFR2,3
MSH4,mutS homolog 4 ,MSH4,16
ALDH18A1,aldehyde dehydrogenase 18 family member A1 ,ALDH18A1,24
LTK,leukocyte receptor tyrosine kinase ,LTK,69
INTS13,integrator complex subunit 13 ,INTS13,1
CTSA,cathepsin A ,CTSA,25
EYA2,EYA transcriptional coactivator and phosphatase 2 ,EYA2,42
ROPN1,rhophilin associated tail protein 1 ,ROPN1,5
ASB1,ankyrin repeat and SOCS box containing 1 ,ASB1,2
TBC1D1,TBC1 domain family member 1 ,TBC1D1,4
TIE1,tyrosine kinase with immunoglobulin like and EGF like domains 1 ,TIE1,97
KDM4A,lysine demethylase 4A ,KDM4A,83
CLDN18,claudin 18 ,CLDN18,164
DDX3Y,DEAD-box helicase 3 Y-linked ,DDX3Y,18
ACSL4,acyl-CoA synthetase long chain family member 4 ,ACSL4,208
REEP1,receptor accessory protein 1 ,REEP1,5
TTC7A,tetratricopeptide repeat domain 7A ,TTC7A,1
RASGRP2,RAS guanyl releasing protein 2 ,RASGRP2,11
PSME4,proteasome activator subunit 4 ,PSME4,8
IFT80,intraflagellar transport 80 ,IFT80,4
PPP2R5B,protein phosphatase 2 regulatory subunit B'beta ,PPP2R5B,13
NUCKS1,nuclear casein kinase and cyclin dependent kinase substrate 1 ,NUCKS1,24
GAL,galanin and GMAP prepropeptide ,GAL,2038
SCT,secretin ,SCT,3957
JMJD6,"jumonji domain containing 6, arginine demethylase and lysine hydroxylase ",JMJD6,61
WIPI1,"WD repeat domain, phosphoinositide interacting 1 ",WIPI1,18
PTPN21,protein tyrosine phosphatase non-receptor type 21 ,PTPN21,11
MGAT4A,"alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase A ",MGAT4A,2
WDR1,WD repeat domain 1 ,WDR1,21
ARHGAP10,Rho GTPase activating protein 10 ,ARHGAP10,7
BUD23,BUD23 rRNA methyltransferase and ribosome maturation factor ,BUD23,0
ATP6AP1,ATPase H+ transporting accessory protein 1 ,ATP6AP1,17
ALDH3A2,aldehyde dehydrogenase 3 family member A2 ,ALDH3A2,20
HSD17B10,hydroxysteroid 17-beta dehydrogenase 10 ,HSD17B10,6
ACADVL,acyl-CoA dehydrogenase very long chain ,ACADVL,11
LLGL2,LLGL scribble cell polarity complex component 2 ,LLGL2,16
ADAM11,ADAM metallopeptidase domain 11 ,ADAM11,7
PPP2R3A,protein phosphatase 2 regulatory subunit B''alpha ,PPP2R3A,9
FERMT2,FERM domain containing kindlin 2 ,FERMT2,24
ST6GAL1,"ST6 beta-galactoside alpha-2,6-sialyltransferase 1 ",ST6GAL1,76
CLASP1,cytoplasmic linker associated protein 1 ,CLASP1,3
TEAD2,TEA domain transcription factor 2 ,TEAD2,43
MGLL,monoglyceride lipase ,MGLL,31
NUAK1,NUAK family kinase 1 ,NUAK1,45
EIF4G3,eukaryotic translation initiation factor 4 gamma 3 ,EIF4G3,6
CELSR1,cadherin EGF LAG seven-pass G-type receptor 1 ,CELSR1,21
FRYL,FRY like transcription coactivator ,FRYL,4
PLD1,phospholipase D1 ,PLD1,133
SEC31B,"SEC31 homolog B, COPII coat complex component ",SEC31B,1
PAX2,paired box 2 ,PAX2,318
MCM6,minichromosome maintenance complex component 6 ,MCM6,108
ANKRD13A,ankyrin repeat domain 13A ,ANKRD13A,3
ICAM3,intercellular adhesion molecule 3 ,ICAM3,61
CAMSAP3,calmodulin regulated spectrin associated protein family member 3 ,CAMSAP3,6
UBE2T,ubiquitin conjugating enzyme E2 T ,UBE2T,84
IL4R,interleukin 4 receptor ,IL4R,209
DCX,doublecortin ,DCX,79
FAM76B,family with sequence similarity 76 member B ,FAM76B,2
CAPZB,capping actin protein of muscle Z-line subunit beta ,CAPZB,8
ITGA8,integrin subunit alpha 8 ,ITGA8,17
BPIFB2,BPI fold containing family B member 2 ,BPIFB2,3
SLC1A3,solute carrier family 1 member 3 ,SLC1A3,22
TNS1,tensin 1 ,TNS1,39
SAR1A,secretion associated Ras related GTPase 1A ,SAR1A,6
DCT,dopachrome tautomerase ,DCT,246
CPB2,carboxypeptidase B2 ,CPB2,8
NDC80,NDC80 kinetochore complex component ,NDC80,103
AP4E1,adaptor related protein complex 4 subunit epsilon 1 ,AP4E1,1
MAGI3,"membrane associated guanylate kinase, WW and PDZ domain containing 3 ",MAGI3,20
UBA5,ubiquitin like modifier activating enzyme 5 ,UBA5,13
ATP8B1,ATPase phospholipid transporting 8B1 ,ATP8B1,14
ME2,malic enzyme 2 ,ME2,122
C5orf22,chromosome 5 open reading frame 22 ,C5orf22,2
PDS5B,PDS5 cohesin associated factor B ,PDS5B,16
ZNF264,zinc finger protein 264 ,ZNF264,4
YTHDC1,YTH N6-methyladenosine RNA binding protein C1 ,YTHDC1,86
EFR3B,EFR3 homolog B ,EFR3B,1
RAB10,"RAB10, member RAS oncogene family ",RAB10,36
HADHA,hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit alpha ,HADHA,21
ORC1,origin recognition complex subunit 1 ,ORC1,35
ATG16L1,autophagy related 16 like 1 ,ATG16L1,92
DIMT1,DIM1 rRNA methyltransferase and ribosome maturation factor ,DIMT1,6
ITPKC,inositol-trisphosphate 3-kinase C ,ITPKC,3
RBM22,RNA binding motif protein 22 ,RBM22,2
SRRT,"serrate, RNA effector molecule ",SRRT,2
SH3BP2,SH3 domain binding protein 2 ,SH3BP2,13
TXNDC16,thioredoxin domain containing 16 ,TXNDC16,1
SULT2B1,sulfotransferase family 2B member 1 ,SULT2B1,25
CHGB,chromogranin B ,CHGB,12
ERP29,endoplasmic reticulum protein 29 ,ERP29,45
KCNH4,potassium voltage-gated channel subfamily H member 4 ,KCNH4,0
LAG3,lymphocyte activating 3 ,LAG3,1124
DHX32,DEAH-box helicase 32 (putative) ,DHX32,8
MRPS33,mitochondrial ribosomal protein S33 ,MRPS33,1
DLL3,delta like canonical Notch ligand 3 ,DLL3,172
PITPNM2,phosphatidylinositol transfer protein membrane associated 2 ,PITPNM2,3
PUS7,pseudouridine synthase 7 ,PUS7,12
TXNL1,thioredoxin like 1 ,TXNL1,9
SEL1L3,SEL1L family member 3 ,SEL1L3,9
ORC6,origin recognition complex subunit 6 ,ORC6,16
ANGPT2,angiopoietin 2 ,ANGPT2,141
CMA1,chymase 1 ,CMA1,13
TBX15,T-box transcription factor 15 ,TBX15,25
CLSPN,claspin ,CLSPN,25
UPRT,uracil phosphoribosyltransferase homolog ,UPRT,52
CYP26A1,cytochrome P450 family 26 subfamily A member 1 ,CYP26A1,66
TDRD1,tudor domain containing 1 ,TDRD1,21
NUBP2,"NUBP iron-sulfur cluster assembly factor 2, cytosolic ",NUBP2,4
CRISP3,cysteine rich secretory protein 3 ,CRISP3,39
NCR2,natural cytotoxicity triggering receptor 2 ,NCR2,14
IL12RB1,interleukin 12 receptor subunit beta 1 ,IL12RB1,20
PCSK5,proprotein convertase subtilisin/kexin type 5 ,PCSK5,9
ABLIM1,actin binding LIM protein 1 ,ABLIM1,8
TECR,"trans-2,3-enoyl-CoA reductase ",TECR,2
CDHR5,cadherin related family member 5 ,CDHR5,5
GADD45B,growth arrest and DNA damage inducible beta ,GADD45B,95
MADCAM1,mucosal vascular addressin cell adhesion molecule 1 ,MADCAM1,44
PRODH,proline dehydrogenase 1 ,PRODH,40
TOP3B,DNA topoisomerase III beta ,TOP3B,8
GRK3,G protein-coupled receptor kinase 3 ,GRK3,16
LGALS2,galectin 2 ,LGALS2,7
PATZ1,POZ/BTB and AT hook containing zinc finger 1 ,PATZ1,55
SLC16A8,solute carrier family 16 member 8 ,SLC16A8,6
SEPTIN3,septin 3 ,SEPTIN3,0
SLC5A1,solute carrier family 5 member 1 ,SLC5A1,9
SUN2,Sad1 and UNC84 domain containing 2 ,SUN2,17
DNAL4,dynein axonemal light chain 4 ,DNAL4,0
BIK,BCL2 interacting killer ,BIK,230
CBX7,chromobox 7 ,CBX7,94
UPK3A,uroplakin 3A ,UPK3A,11
PMM1,phosphomannomutase 1 ,PMM1,0
HDAC10,histone deacetylase 10 ,HDAC10,51
GZMB,granzyme B ,GZMB,242
GNPNAT1,glucosamine-phosphate N-acetyltransferase 1 ,GNPNAT1,10
PSMA3,proteasome 20S subunit alpha 3 ,PSMA3,35
LGMN,legumain ,LGMN,31
PPM1A,"protein phosphatase, Mg2+/Mn2+ dependent 1A ",PPM1A,25
SIX4,SIX homeobox 4 ,SIX4,31
PRORP,protein only RNase P catalytic subunit ,PRORP,0
PSME2,proteasome activator subunit 2 ,PSME2,11
PROCR,protein C receptor ,PROCR,31
GINS1,GINS complex subunit 1 ,GINS1,28
NDRG3,NDRG family member 3 ,NDRG3,29
STK4,serine/threonine kinase 4 ,STK4,53
SALL4,spalt like transcription factor 4 ,SALL4,435
NTSR1,neurotensin receptor 1 ,NTSR1,78
ANGPT4,angiopoietin 4 ,ANGPT4,8
MYL9,myosin light chain 9 ,MYL9,51
ASIP,agouti signaling protein ,ASIP,41
AHCY,adenosylhomocysteinase ,AHCY,32
PPP1R16B,protein phosphatase 1 regulatory subunit 16B ,PPP1R16B,9
APMAP,adipocyte plasma membrane associated protein ,APMAP,5
NOL4,nucleolar protein 4 ,NOL4,14
MIB1,MIB E3 ubiquitin protein ligase 1 ,MIB1,3646
NXT2,nuclear transport factor 2 like export factor 2 ,NXT2,1
TLR8,toll like receptor 8 ,TLR8,130
SYP,synaptophysin ,SYP,68
BMX,BMX non-receptor tyrosine kinase ,BMX,80
SMS,spermine synthase ,SMS,900
KLF8,KLF transcription factor 8 ,KLF8,69
GLA,galactosidase alpha ,GLA,328
HTR2A,5-hydroxytryptamine receptor 2A ,HTR2A,31
MSLN,mesothelin ,MSLN,221
ARL2BP,ADP ribosylation factor like GTPase 2 binding protein ,ARL2BP,0
ZNF423,zinc finger protein 423 ,ZNF423,21
CCL22,C-C motif chemokine ligand 22 ,CCL22,299
ACD,ACD shelterin complex subunit and telomerase recruitment factor ,ACD,356
SLC7A6,solute carrier family 7 member 6 ,SLC7A6,10
MLYCD,malonyl-CoA decarboxylase ,MLYCD,5
RHBDL1,rhomboid like 1 ,RHBDL1,1
MEFV,"MEFV innate immunity regulator, pyrin ",MEFV,26
PYCARD,PYD and CARD domain containing ,PYCARD,56
RASL12,RAS like family 12 ,RASL12,4
IGDCC4,immunoglobulin superfamily DCC subclass member 4 ,IGDCC4,3
SCG3,secretogranin III ,SCG3,10
GDAP1,ganglioside induced differentiation associated protein 1 ,GDAP1,4
SQLE,squalene epoxidase ,SQLE,100
DCTN6,dynactin subunit 6 ,DCTN6,4
KCNN4,potassium calcium-activated channel subfamily N member 4 ,KCNN4,49
HNRNPL,heterogeneous nuclear ribonucleoprotein L ,HNRNPL,53
CLASRP,CLK4 associating serine/arginine rich protein ,CLASRP,3
LIN7B,"lin-7 homolog B, crumbs cell polarity complex component ",LIN7B,1
RETN,resistin ,RETN,30
DMPK,DM1 protein kinase ,DMPK,44
IL4I1,interleukin 4 induced 1 ,IL4I1,45
PTOV1,PTOV1 extended AT-hook containing adaptor protein ,PTOV1,36
NOVA2,NOVA alternative splicing regulator 2 ,NOVA2,19
TNNT1,"troponin T1, slow skeletal type ",TNNT1,24
CCNP,cyclin P ,CCNP,5
PLD3,phospholipase D family member 3 ,PLD3,9
CLIP3,CAP-Gly domain containing linker protein 3 ,CLIP3,2
SLC1A5,solute carrier family 1 member 5 ,SLC1A5,172
BBC3,BCL2 binding component 3 ,BBC3,95
NKG7,natural killer cell granule protein 7 ,NKG7,26
CEACAM5,CEA cell adhesion molecule 5 ,CEACAM5,183
RABAC1,Rab acceptor 1 ,RABAC1,3
PTPRS,protein tyrosine phosphatase receptor type S ,PTPRS,36
SIGLEC5,sialic acid binding Ig like lectin 5 ,SIGLEC5,15
KLF1,KLF transcription factor 1 ,KLF1,30
TMEM147,transmembrane protein 147 ,TMEM147,10
HAMP,hepcidin antimicrobial peptide ,HAMP,45
KXD1,KxDL motif containing 1 ,KXD1,1
GRIK5,glutamate ionotropic receptor kainate type subunit 5 ,GRIK5,3
RASA4,RAS p21 protein activator 4 ,RASA4,7
DLX5,distal-less homeobox 5 ,DLX5,35
LFNG,LFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase ,LFNG,22
IQCE,IQ motif containing E ,IQCE,2
COBL,cordon-bleu WH2 repeat protein ,COBL,6
PTCD1,pentatricopeptide repeat domain 1 ,PTCD1,0
EIF3B,eukaryotic translation initiation factor 3 subunit B ,EIF3B,36
TFR2,transferrin receptor 2 ,TFR2,58
LSM5,"LSM5 homolog, U6 small nuclear RNA and mRNA degradation associated ",LSM5,1
TMEM106B,transmembrane protein 106B ,TMEM106B,9
BLVRA,biliverdin reductase A ,BLVRA,6
LIMK1,LIM domain kinase 1 ,LIMK1,140
LHX2,LIM homeobox 2 ,LHX2,39
ECM2,extracellular matrix protein 2 ,ECM2,8
AMBP,alpha-1-microglobulin/bikunin precursor ,AMBP,26
RLN1,relaxin 1 ,RLN1,11
RAPGEF1,Rap guanine nucleotide exchange factor 1 ,RAPGEF1,6
SETX,senataxin ,SETX,8
PHYH,phytanoyl-CoA 2-hydroxylase ,PHYH,3
RASSF4,Ras association domain family member 4 ,RASSF4,20
CUBN,cubilin ,CUBN,19
NSMCE4A,"NSE4 homolog A, SMC5-SMC6 complex component ",NSMCE4A,0
VSIR,V-set immunoregulatory receptor ,VSIR,18
MICU1,mitochondrial calcium uptake 1 ,MICU1,21
PPP3CB,protein phosphatase 3 catalytic subunit beta ,PPP3CB,9
MINPP1,multiple inositol-polyphosphate phosphatase 1 ,MINPP1,10
TLX1,T cell leukemia homeobox 1 ,TLX1,79
TWNK,twinkle mtDNA helicase ,TWNK,1
LHPP,phospholysine phosphohistidine inorganic pyrophosphate phosphatase ,LHPP,47
DKK1,dickkopf WNT signaling pathway inhibitor 1 ,DKK1,763
CCDC6,coiled-coil domain containing 6 ,CCDC6,149
CUL2,cullin 2 ,CUL2,57
DNAJC12,DnaJ heat shock protein family (Hsp40) member C12 ,DNAJC12,12
CASC3,CASC3 exon junction complex subunit ,CASC3,9
P2RX1,purinergic receptor P2X 1 ,P2RX1,9
CAMTA2,calmodulin binding transcription activator 2 ,CAMTA2,3
RASD1,ras related dexamethasone induced 1 ,RASD1,28
CHRNE,cholinergic receptor nicotinic epsilon subunit ,CHRNE,7
ALDH3A1,aldehyde dehydrogenase 3 family member A1 ,ALDH3A1,92
CCL7,C-C motif chemokine ligand 7 ,CCL7,98
CNTNAP1,contactin associated protein 1 ,CNTNAP1,8
EZH1,enhancer of zeste 1 polycomb repressive complex 2 subunit ,EZH1,104
DLX4,distal-less homeobox 4 ,DLX4,39
SGCA,sarcoglycan alpha ,SGCA,24
SMURF2,SMAD specific E3 ubiquitin protein ligase 2 ,SMURF2,86
MAP2K6,mitogen-activated protein kinase kinase 6 ,MAP2K6,35
TMEM97,transmembrane protein 97 ,TMEM97,17
CDR2L,cerebellar degeneration related protein 2 like ,CDR2L,17
GNRHR,gonadotropin releasing hormone receptor ,GNRHR,125
OCIAD1,OCIA domain containing 1 ,OCIAD1,11
UCP1,uncoupling protein 1 ,UCP1,62
KLHL2,kelch like family member 2 ,KLHL2,4
SOD3,superoxide dismutase 3 ,SOD3,83
FNBP4,formin binding protein 4 ,FNBP4,3
SC5D,sterol-C5-desaturase ,SC5D,4
SNX15,sorting nexin 15 ,SNX15,2
LPXN,leupaxin ,LPXN,17
DCPS,"decapping enzyme, scavenger ",DCPS,30
ST3GAL4,"ST3 beta-galactoside alpha-2,3-sialyltransferase 4 ",ST3GAL4,27
HPX,hemopexin ,HPX,32
ARHGEF17,Rho guanine nucleotide exchange factor 17 ,ARHGEF17,10
UPK2,uroplakin 2 ,UPK2,12
SLC1A2,solute carrier family 1 member 2 ,SLC1A2,12
SLC35F2,solute carrier family 35 member F2 ,SLC35F2,14
CHKA,choline kinase alpha ,CHKA,41
PRPF40B,pre-mRNA processing factor 40 homolog B ,PRPF40B,3
CLEC2B,C-type lectin domain family 2 member B ,CLEC2B,7
SLC11A2,solute carrier family 11 member 2 ,SLC11A2,13
MVK,mevalonate kinase ,MVK,24
IL23A,interleukin 23 subunit alpha ,IL23A,38
WNT5B,Wnt family member 5B ,WNT5B,75
MAGOHB,"mago homolog B, exon junction complex subunit ",MAGOHB,7
TRPV4,transient receptor potential cation channel subfamily V member 4 ,TRPV4,68
OAS3,2'-5'-oligoadenylate synthetase 3 ,OAS3,21
OAS2,2'-5'-oligoadenylate synthetase 2 ,OAS2,32
ARHGDIB,Rho GDP dissociation inhibitor beta ,ARHGDIB,24
EIF2B1,eukaryotic translation initiation factor 2B subunit alpha ,EIF2B1,4
SLC38A1,solute carrier family 38 member 1 ,SLC38A1,33
STX2,syntaxin 2 ,STX2,12
TIMELESS,timeless circadian regulator ,TIMELESS,78
GNPTAB,N-acetylglucosamine-1-phosphate transferase subunits alpha and beta ,GNPTAB,1
PRKAB1,protein kinase AMP-activated non-catalytic subunit beta 1 ,PRKAB1,8
COX6A1,cytochrome c oxidase subunit 6A1 ,COX6A1,5
FBXO5,F-box protein 5 ,FBXO5,18
MCM3,minichromosome maintenance complex component 3 ,MCM3,112
