,gene_id,search_string,MeSH_count
3212,LRRC52,"(""LRRC52"")",15
3213,LRRC59,"(""LRRC59"" OR ""PRO1855"" OR ""p34"")",905
3214,LRRC73,"(""LRRC73"" OR ""C6orf154"")",0
3215,LRRC8B,"(""LRRC8B"" OR ""TA-LRRP"" OR ""TALRRP"")",11
3216,LRRC8C,"(""LRRC8C"" OR ""AD158"" OR ""FAD158"")",22
3217,LRRC8D,"(""LRRC8D"" OR ""HsLRRC8D"" OR ""LRRC5"")",24
3218,LRRC8E,"(""LRRC8E"")",15
3219,LRRIQ1,"(""LRRIQ1"")",1
3220,LRRK1,"(""LRRK1"" OR ""OSMD"" OR ""RIPK6"" OR ""Roco1"")",80
3221,LRRTM2,"(""LRRTM2"")",23
3222,LSM4,"(""LSM4"" OR ""GRP"" OR ""YER112W"")",1787
3223,LSM5,"(""LSM5"" OR ""YER146W"")",5
3224,LSMEM1,"(""LSMEM1"" OR ""C7orf53"")",3
3225,LSMEM2,"(""LSMEM2"" OR ""C3orf45"")",0
3226,LSR,"(""LSR"" OR ""ILDR3"" OR ""LISCH7"")",872
3227,LST1,"(""LST1"" OR ""B144"" OR ""D6S49E"" OR ""LST-1"")",107
3228,LTA,"(""LTA"" OR ""LT"" OR ""TNFB"" OR ""TNFSF1"" OR ""TNLG1E"")",36050
3229,LTB,"(""LTB"" OR ""TNFC"" OR ""TNFSF3"" OR ""TNLG1C"" OR ""p33"")",1903
3230,LTB4R,"(""LTB4R"" OR ""BLT1"" OR ""BLTR"" OR ""CMKRL1"" OR ""GPR16"" OR ""LTB4R1"" OR ""LTBR1"" OR ""P2RY7"" OR ""P2Y7"")",401
3231,LTB4R2,"(""LTB4R2"" OR ""BLT2"" OR ""BLTR2"" OR ""JULF2"" OR ""KPG_004"" OR ""LTB4-R 2"" OR ""LTB4-R2"" OR ""NOP9"")",204
3232,LTBP4,"(""LTBP4"" OR ""ARCL1C"" OR ""LTBP-4"" OR ""LTBP4L"" OR ""LTBP4S"")",120
3233,LTBR,"(""LTBR"" OR ""D12S370"" OR ""LT-BETA-R"" OR ""TNF-R-III"" OR ""TNFCR"" OR ""TNFR-RP"" OR ""TNFR2-RP"" OR ""TNFR3"" OR ""TNFRSF3"")",224
3234,LTF,"(""LTF"" OR ""GIG12"" OR ""HEL110"" OR ""HLF2"" OR ""LF"")",21194
3235,LTK,"(""LTK"" OR ""TYK1"")",470
3236,LTV1,"(""LTV1"" OR ""C6orf93"" OR ""IPHAK"" OR ""dJ468K18.4"")",16
3237,LUC7L2,"(""LUC7L2"" OR ""CGI-59"" OR ""CGI-74"" OR ""LUC7B2"")",17
3238,LUC7L3,"(""LUC7L3"" OR ""CRA"" OR ""CREAP-1"" OR ""CROP"" OR ""LUC7A"" OR ""OA48-18"" OR ""hLuc7A"")",13372
3239,LUM,"(""LUM"" OR ""LDC"" OR ""SLRR2D"")",4447
3240,LURAP1,"(""LURAP1"" OR ""C1orf190"" OR ""LRAP35a"" OR ""LRP35A"")",8
3241,LURAP1L,"(""LURAP1L"" OR ""C9orf150"" OR ""HYST0841"" OR ""LRAP35b"" OR ""bA3L8.2"")",3
3242,LY6D,"(""LY6D"" OR ""E48"" OR ""Ly-6D"")",1175
3243,LY6G5B,"(""LY6G5B"" OR ""C6orf19"" OR ""G5b"")",13
3244,LY86,"(""LY86"" OR ""MD-1"" OR ""MD1"" OR ""MMD-1"" OR ""dJ80N2.1"")",4959
3245,LYPD3,"(""LYPD3"" OR ""C4.4A"")",55
3246,LYPD6,"(""LYPD6"")",18
3247,LYPD6B,"(""LYPD6B"" OR ""CT116"" OR ""LYPD7"")",10
3248,LYPLA1,"(""LYPLA1"" OR ""APT-1"" OR ""APT1"" OR ""LPL-I"" OR ""LPL1"" OR ""hAPT1"")",226
3249,LYRM4,"(""LYRM4"" OR ""C6orf149"" OR ""CGI-203"" OR ""COXPD19"" OR ""ISD11"")",50
3250,LYVE1,"(""LYVE1"" OR ""CRSBP-1"" OR ""HAR"" OR ""LYVE-1"" OR ""XLKD1"")",3785
3251,LYZ,"(""LYZ"" OR ""AMYLD5"" OR ""LYZF1"" OR ""LZM"")",337
3252,LZTR1,"(""LZTR1"" OR ""BTBD29"" OR ""LZTR-1"" OR ""NS10"" OR ""NS2"" OR ""SWNTS2"")",913
3253,LZTS2,"(""LZTS2"" OR ""LAPSER1"")",29
3254,MAB21L1,"(""MAB21L1"" OR ""CAGR1"" OR ""COFG"" OR ""Nbla00126"")",28
3255,MACIR,"(""MACIR"" OR ""C5orf30"")",16
3256,MACO1,"(""MACO1"" OR ""MACOILIN"" OR ""TMEM57"")",10
3257,MACROH2A1,"(""MACROH2A1"" OR ""H2A.y"" OR ""H2A/y"" OR ""H2AF12M"" OR ""H2AFY"" OR ""MACROH2A1.1"" OR ""mH2A1"" OR ""macroH2A1.2"")",135
3258,MACROH2A2,"(""MACROH2A2"" OR ""H2AFY2"")",32
3259,MAD1L1,"(""MAD1L1"" OR ""MAD1"" OR ""MVA7"" OR ""PIG9"" OR ""TP53I9"" OR ""TXBP181"")",497
3260,MAD2L1,"(""MAD2L1"" OR ""HSMAD2"" OR ""MAD2"")",1037
3261,MAD2L1BP,"(""MAD2L1BP"" OR ""CMT2"" OR ""p31comet"")",488
3262,MADCAM1,"(""MADCAM1"" OR ""MACAM1"")",371
3263,MADD,"(""MADD"" OR ""DEEAH"" OR ""DENN"" OR ""IG20"" OR ""NEDDISH"" OR ""RAB3GEP"" OR ""RabGEF"")",534
3264,MAEL,"(""MAEL"" OR ""CT128"" OR ""SPATA35"")",107
3265,MAF,"(""MAF"" OR ""AYGRP"" OR ""CCA4"" OR ""CTRCT21"" OR ""c-MAF"")",3334
3266,MAFF,"(""MAFF"" OR ""U-MAF"" OR ""hMafF"")",187
3267,MAFK,"(""MAFK"" OR ""NFE2U"" OR ""P18"")",1721
3268,MAG,"(""MAG"" OR ""GMA"" OR ""S-MAG"" OR ""SIGLEC-4A"" OR ""SIGLEC4"" OR ""SIGLEC4A"" OR ""SPG75"")",9200
3269,MAGEA11,"(""MAGEA11"" OR ""CT1.11"" OR ""MAGE-11"" OR ""MAGE11"" OR ""MAGEA-11"")",145
3270,MAGEA8,"(""MAGEA8"" OR ""CT1.8"" OR ""MAGE8"")",15
3271,MAGED1,"(""MAGED1"" OR ""DLXIN-1"" OR ""NRAGE"")",107
3272,MAGED2,"(""MAGED2"" OR ""11B6"" OR ""BARTS5"" OR ""BCG-1"" OR ""BCG1"" OR ""HCA10"" OR ""MAGE-D2"")",75
3273,MAGEF1,"(""MAGEF1"" OR ""MAGE-F1"")",5
3274,MAGI1,"(""MAGI1"" OR ""AIP-3"" OR ""AIP3"" OR ""BAIAP1"" OR ""BAP-1"" OR ""BAP1"" OR ""MAGI-1"" OR ""MAGI-1b"" OR ""Magi1d"" OR ""TNRC19"" OR ""WWP3"")",1702
3275,MAGI3,"(""MAGI3"" OR ""MAGI-3"" OR ""dJ730K3.2"")",64
3276,MAGOHB,"(""MAGOHB"" OR ""MGN2"" OR ""mago"" OR ""magoh"")",271
3277,MAGT1,"(""MAGT1"" OR ""CDG1CC"" OR ""IAP"" OR ""MRX95"" OR ""OST3B"" OR ""PRO0756"" OR ""SLC58A1"" OR ""XMEN"" OR ""bA217H1.1"")",5991
3278,MAL,"(""MAL"" OR ""HLD28"" OR ""MVP17"" OR ""VIP17"")",44711
3279,MAL2,"(""MAL2"")",78
3280,MAMDC2,"(""MAMDC2"")",16
3281,MAML2,"(""MAML2"" OR ""MAM-3"" OR ""MAM2"" OR ""MAM3"" OR ""MLL-MAML2"")",405
3282,MAMLD1,"(""MAMLD1"" OR ""CG1"" OR ""CXorf6"" OR ""F18"" OR ""HYSP2"")",38368
3283,MAN2A1,"(""MAN2A1"" OR ""AMan II"" OR ""GOLIM7"" OR ""MANA2"" OR ""MANII"")",57
3284,MAN2A2,"(""MAN2A2"" OR ""MANA2X"" OR ""alpha-MIIx"")",19
3285,MAN2C1,"(""MAN2C1"" OR ""CDDG2"" OR ""MAN6A8"" OR ""MANA"" OR ""MANA1"")",1064
3286,MANEAL,"(""MANEAL"")",3
3287,MANF,"(""MANF"" OR ""ARMET"" OR ""ARP"" OR ""DDDS"")",2688
3288,MAOA,"(""MAOA"" OR ""BRNRS"" OR ""MAO-A"")",2891
3289,MAP1B,"(""MAP1B"" OR ""DFNA83"" OR ""FUTSCH"" OR ""MAP5"" OR ""PPP1R102"" OR ""PVNH9"")",477
3290,MAP1LC3B,"(""MAP1LC3B"" OR ""ATG8F"" OR ""LC3B"" OR ""MAP1A/1BLC3"" OR ""MAP1LC3B-a"")",2831
3291,MAP1LC3C,"(""MAP1LC3C"" OR ""ATG8J"" OR ""LC3C"")",78
3292,MAP2K5,"(""MAP2K5"" OR ""HsT17454"" OR ""MAPKK5"" OR ""MEK5"" OR ""PRKMK5"")",300
3293,MAP2K6,"(""MAP2K6"" OR ""MAPKK6"" OR ""MEK6"" OR ""MKK6"" OR ""PRKMK6"" OR ""SAPKK-3"" OR ""SAPKK3"")",522
3294,MAP3K11,"(""MAP3K11"" OR ""MEKK11"" OR ""MLK-3"" OR ""MLK3"" OR ""PTK1"" OR ""SPRK"")",282
3295,MAP3K12,"(""MAP3K12"" OR ""DLK"" OR ""HP09298"" OR ""MEKK12"" OR ""MUK"" OR ""ZPK"" OR ""ZPKP1"")",670
3296,MAP3K21,"(""MAP3K21"" OR ""MLK4"" OR ""dJ862P8.3"")",20
3297,MAP3K3,"(""MAP3K3"" OR ""MAPKKK3"" OR ""MEKK3"")",247
3298,MAP3K6,"(""MAP3K6"" OR ""ASK2"" OR ""MAPKKK6"" OR ""MEKK6"")",29
3299,MAP3K8,"(""MAP3K8"" OR ""AURA2"" OR ""COT"" OR ""EST"" OR ""ESTF"" OR ""MEKK8"" OR ""TPL2"" OR ""Tpl-2"" OR ""c-COT"")",25905
3300,MAP3K9,"(""MAP3K9"" OR ""MEKK9"" OR ""MLK1"" OR ""PRKE1"")",59
3301,MAP4K4,"(""MAP4K4"" OR ""FLH21957"" OR ""HEL-S-31"" OR ""HGK"" OR ""MEKKK4"" OR ""NIK"")",1307
3302,MAP7,"(""MAP7"" OR ""E-MAP-115"" OR ""EMAP115"")",64
3303,MAP7D2,"(""MAP7D2"")",4
3304,MAP7D3,"(""MAP7D3"" OR ""MDP3"")",16
3305,MAP9,"(""MAP9"" OR ""ASAP"")",770
3306,MAPK1,"(""MAPK1"" OR ""ERK"" OR ""ERK-2"" OR ""ERK2"" OR ""ERT1"" OR ""MAPK2"" OR ""NS13"" OR ""P42MAPK"" OR ""PRKM1"" OR ""PRKM2"" OR ""p38"" OR ""p40"" OR ""p41"" OR ""p41mapk"" OR ""p42-MAPK"")",86226
3307,MAPK11,"(""MAPK11"" OR ""P38B"" OR ""P38BETA2"" OR ""PRKM11"" OR ""SAPK2"" OR ""SAPK2B"" OR ""p38-2"" OR ""p38Beta"")",328
3308,MAPK12,"(""MAPK12"" OR ""ERK-6"" OR ""ERK3"" OR ""ERK6"" OR ""MAPK 12"" OR ""P38GAMMA"" OR ""PRKM12"" OR ""SAPK-3"" OR ""SAPK3"")",324
3309,MAPK13,"(""MAPK13"" OR ""MAPK 13"" OR ""MAPK-13"" OR ""PRKM13"" OR ""SAPK4"" OR ""p38delta"")",270
3310,MAPK15,"(""MAPK15"" OR ""ERK7"" OR ""ERK8"")",57
3311,MAPK3,"(""MAPK3"" OR ""ERK-1"" OR ""ERK1"" OR ""ERT2"" OR ""HS44KDAP"" OR ""HUMKER1A"" OR ""P44ERK1"" OR ""P44MAPK"" OR ""PRKM3"" OR ""p44-ERK1"" OR ""p44-MAPK"")",23483
3312,MAPK7,"(""MAPK7"" OR ""BMK1"" OR ""ERK4"" OR ""ERK5"" OR ""PRKM7"")",820
3313,MAPK8IP1,"(""MAPK8IP1"" OR ""IB1"" OR ""JIP-1"" OR ""JIP1"" OR ""PRKM8IP"")",1402
3314,MAPK8IP2,"(""MAPK8IP2"" OR ""IB-2"" OR ""IB2"" OR ""JIP2"" OR ""PRKM8IPL"")",1187
3315,MAPK8IP3,"(""MAPK8IP3"" OR ""JIP-3"" OR ""JIP3"" OR ""JSAP1"" OR ""NEDBA"" OR ""SYD2"" OR ""syd"")",679
3316,MAPKAPK2,"(""MAPKAPK2"" OR ""MAPKAP-K2"" OR ""MK-2"" OR ""MK2"")",1007
3317,MAPRE1,"(""MAPRE1"" OR ""EB1"")",603
3318,MAPRE3,"(""MAPRE3"" OR ""EB3"" OR ""EBF3"" OR ""EBF3-S"" OR ""RP3"")",444
3319,MAPT,"(""MAPT"" OR ""DDPAC"" OR ""FTD1"" OR ""FTDP-17"" OR ""MAPTL"" OR ""MSTD"" OR ""MTBT1"" OR ""MTBT2"" OR ""PPND"" OR ""PPP1R103"" OR ""TAU"" OR ""Tau-PHF6"" OR ""tau-40"")",44279
3320,MARCHF10,"(""MARCHF10"" OR ""MARCH-X"" OR ""MARCH10"" OR ""RNF190"")",24
3321,MARCHF5,"(""MARCHF5"" OR ""MARCH-V"" OR ""MARCH5"" OR ""MITOL"" OR ""RNF153"")",96
3322,MARCHF6,"(""MARCHF6"" OR ""DOA10"" OR ""FAME3"" OR ""FCMTE3"" OR ""MARCH-VI"" OR ""MARCH6"" OR ""RNF176"" OR ""TEB4"")",79
3323,MARCKS,"(""MARCKS"" OR ""80K-L"" OR ""MACS"" OR ""PKCSL"" OR ""PRKCSL"")",2817
3324,MARCKSL1,"(""MARCKSL1"" OR ""F52"" OR ""MACMARCKS"" OR ""MLP"" OR ""MLP1"" OR ""MRP"")",6417
3325,MARK2,"(""MARK2"" OR ""EMK-1"" OR ""EMK1"" OR ""PAR-1"" OR ""Par-1b"" OR ""Par1b"")",2572
3326,MARS2,"(""MARS2"" OR ""COXPD25"" OR ""MetRS"" OR ""mtMetRS"")",76
3327,MARVELD2,"(""MARVELD2"" OR ""DFNB49"" OR ""MARVD2"" OR ""MRVLDC2"" OR ""Tric"")",592
3328,MARVELD3,"(""MARVELD3"" OR ""MARVD3"" OR ""MRVLDC3"")",26
3329,MASP1,"(""MASP1"" OR ""3MC1"" OR ""CRARF"" OR ""CRARF1"" OR ""MAP-1"" OR ""MAP1"" OR ""MASP"" OR ""MASP-3"" OR ""MASP3"" OR ""MAp44"" OR ""PRSS5"" OR ""RaRF"")",966
3330,MASP2,"(""MASP2"" OR ""MAP-2"" OR ""MAP19"" OR ""MASP-2"" OR ""MASP1P1"" OR ""sMAP"")",1178
3331,MAST1,"(""MAST1"" OR ""MCCCHCM"" OR ""SAST"")",119
3332,MAST2,"(""MAST2"" OR ""MAST205"" OR ""MTSSK"")",41
3333,MAT1A,"(""MAT1A"" OR ""MAT"" OR ""MATA1"" OR ""SAMS"" OR ""SAMS1"")",8415
3334,MATCAP1,"(""MATCAP1"" OR ""KIAA0895L"" OR ""TMCP1"")",2
3335,MATN3,"(""MATN3"" OR ""DIPOA"" OR ""EDM5"" OR ""HOA"" OR ""OADIP"" OR ""OS2"" OR ""SEMDBCD"")",2270
3336,MATR3,"(""MATR3"" OR ""ALS21"" OR ""MPD2"" OR ""VCPDM"")",138
3337,MB,"(""MB"" OR ""MYOSB"" OR ""PVALB"")",78169
3338,MBD6,"(""MBD6"")",17
3339,MBIP,"(""MBIP"")",34
3340,MBL2,"(""MBL2"" OR ""COLEC1"" OR ""HSMBPC"" OR ""MBL"" OR ""MBL2D"" OR ""MBP"" OR ""MBP-C"" OR ""MBP1"" OR ""MBPD"")",11438
3341,MBOAT1,"(""MBOAT1"" OR ""LPEAT1"" OR ""LPLAT"" OR ""LPLAT 1"" OR ""LPLAT14"" OR ""LPSAT"" OR ""OACT1"" OR ""dJ434O11.1"")",30
3342,MBOAT2,"(""MBOAT2"" OR ""LPAAT"" OR ""LPCAT"" OR ""LPCAT4"" OR ""LPEAT"" OR ""LPLAT 2"" OR ""LPLAT13"" OR ""OACT2"")",133
3343,MBOAT7,"(""MBOAT7"" OR ""BB1"" OR ""LENG4"" OR ""LPIAT"" OR ""LPIAT1"" OR ""LPLAT"" OR ""LPLAT11"" OR ""LRC4"" OR ""MBOA7"" OR ""MRT57"" OR ""OACT7"" OR ""hMBOA-7"")",447
3344,MBTPS1,"(""MBTPS1"" OR ""PCSK8"" OR ""S1P"" OR ""SEDKF"" OR ""SKI-1"")",4809
3345,MC1R,"(""MC1R"" OR ""CMM5"" OR ""MSH-R"" OR ""SHEP2"")",1154
3346,MCAM,"(""MCAM"" OR ""CD146"" OR ""HEMCAM"" OR ""METCAM"" OR ""MUC18"" OR ""MelCAM"")",1862
3347,MCCC2,"(""MCCC2"" OR ""MCCB"" OR ""MCCCbeta"")",428
3348,MCEMP1,"(""MCEMP1"" OR ""C19orf59"")",25
3349,MCF2L,"(""MCF2L"" OR ""ARHGEF14"" OR ""DBS"" OR ""OST"")",15656
3350,MCHR1,"(""MCHR1"" OR ""GPR24"" OR ""MCH-1R"" OR ""MCH1R"" OR ""SLC-1"" OR ""SLC1"")",315
3351,MCIDAS,"(""MCIDAS"" OR ""CILD42"" OR ""IDAS"" OR ""MCI"" OR ""MCIN"")",20604
3352,MCL1,"(""MCL1"" OR ""BCL2L3"" OR ""EAT"" OR ""MCL1-ES"" OR ""MCL1L"" OR ""MCL1S"" OR ""Mcl-1"" OR ""TM"" OR ""bcl2-L-3"" OR ""mcl1/EAT"")",61955
3353,MCM10,"(""MCM10"" OR ""CNA43"" OR ""DNA43"" OR ""IMD80"" OR ""PRO2249"")",127
3354,MCM2,"(""MCM2"" OR ""BM28"" OR ""CCNL1"" OR ""CDCL1"" OR ""D3S3194"" OR ""DFNA70"" OR ""MITOTIN"" OR ""cdc19"")",968
3355,MCM3,"(""MCM3"" OR ""HCC5"" OR ""P1-MCM3"" OR ""P1.h"" OR ""RLFB"")",273
3356,MCM4,"(""MCM4"" OR ""CDC21"" OR ""CDC54"" OR ""IMD54"" OR ""NKCD"" OR ""NKGCD"" OR ""P1-CDC21"" OR ""hCdc21"")",259
3357,MCM5,"(""MCM5"" OR ""CDC46"" OR ""MGORS8"" OR ""P1-CDC46"")",228
3358,MCM6,"(""MCM6"" OR ""MCG40308"" OR ""Mis5"" OR ""P105MCM"")",246
3359,MCM7,"(""MCM7"" OR ""CDC47"" OR ""MCM2"" OR ""P1.1-MCM3"" OR ""P1CDC47"" OR ""P85MCM"" OR ""PNAS146"" OR ""PPP1R104"")",1247
3360,MCMBP,"(""MCMBP"" OR ""C10orf119"" OR ""MCM-BP"")",18
3361,MCMDC2,"(""MCMDC2"" OR ""C8orf45"")",3
3362,MCOLN1,"(""MCOLN1"" OR ""LECD"" OR ""MG-2"" OR ""ML1"" OR ""ML4"" OR ""MLIV"" OR ""MST080"" OR ""MSTP080"" OR ""TRP-ML1"" OR ""TRPM-L1"" OR ""TRPML1"")",30601
3363,MCOLN2,"(""MCOLN2"" OR ""TRP-ML2"" OR ""TRPML2"")",59
3364,MCOLN3,"(""MCOLN3"" OR ""TRP-ML3"" OR ""TRPML3"")",74
3365,MCPH1,"(""MCPH1"" OR ""BRIT1"" OR ""MCT"")",5047
3366,MCRIP2,"(""MCRIP2"" OR ""C16orf14"" OR ""FAM195A"" OR ""c349E10.1"")",3
3367,MCTS1,"(""MCTS1"" OR ""IMD118"" OR ""MCT-1"" OR ""MCT1"")",968
3368,MCTS2,"(""MCTS2"" OR ""MCTS2P"" OR ""PSIMCT-1"")",7
3369,MDC1,"(""MDC1"" OR ""NFBD1"")",496
3370,MDFI,"(""MDFI"" OR ""I-MF"" OR ""I-mfa"")",79
3371,MDGA2,"(""MDGA2"" OR ""MAMDC1"" OR ""c14_5286"")",29
3372,MDK,"(""MDK"" OR ""ARAP"" OR ""MK"" OR ""NEGF2"")",21165
3373,MDP1,"(""MDP1"" OR ""FN6PASE"" OR ""MDP-1"")",49
3374,ME2,"(""ME2"" OR ""ODS1"")",365
3375,ME3,"(""ME3"" OR ""NADP-ME"")",174
3376,MEAF6,"(""MEAF6"" OR ""C1orf149"" OR ""CENP-28"" OR ""EAF6"" OR ""NY-SAR-91"")",28
3377,MECOM,"(""MECOM"" OR ""AML1-EVI-1"" OR ""EVI1"" OR ""KMT8E"" OR ""MDS1"" OR ""MDS1-EVI1"" OR ""PRDM3"" OR ""RUSAT2"")",857
3378,MECP2,"(""MECP2"" OR ""AUTSX3"" OR ""MRX16"" OR ""MRX79"" OR ""MRXS13"" OR ""MRXSL"" OR ""PPMX"" OR ""RS"" OR ""RTS"" OR ""RTT"")",80017
3379,MED1,"(""MED1"" OR ""CRSP1"" OR ""CRSP200"" OR ""DRIP205"" OR ""DRIP230"" OR ""PBP"" OR ""PPARBP"" OR ""PPARGBP"" OR ""RB18A"" OR ""TRAP220"" OR ""TRIP2"")",2098
3380,MED12L,"(""MED12L"" OR ""NIZIDS"" OR ""NOPAR"" OR ""TNRC11L"" OR ""TRALP"" OR ""TRALPUSH"")",24
3381,MED17,"(""MED17"" OR ""CRSP6"" OR ""CRSP77"" OR ""DRIP80"" OR ""SRB4"" OR ""TRAP80"")",46
3382,MED18,"(""MED18"" OR ""SRB5"" OR ""p28b"")",9
3383,MED20,"(""MED20"" OR ""PRO0213"" OR ""SRB2"" OR ""TRFP"")",47
3384,MED29,"(""MED29"" OR ""IXL"" OR ""MED2"")",288
3385,MED6,"(""MED6"" OR ""ARC33"" OR ""NY-REN-28"")",56
3386,MEF2B,"(""MEF2B"" OR ""RSRFR2"")",90
3387,MEF2C,"(""MEF2C"" OR ""C5DELq14.3"" OR ""DEL5q14.3"" OR ""NEDHSIL"")",759
3388,MEFV,"(""MEFV"" OR ""FMF"" OR ""MEF"" OR ""PAAND"" OR ""TRIM20"")",6820
3389,MEGF10,"(""MEGF10"" OR ""CMYO10A"" OR ""CMYO10B"" OR ""CMYP10A"" OR ""CMYP10B"" OR ""EMARDD"" OR ""SR-F3"")",62
3390,MEGF6,"(""MEGF6"" OR ""EGFL3"")",13
3391,MEIG1,"(""MEIG1"" OR ""SPATA39"" OR ""bA2K17.3"")",6
3392,MEIOB,"(""MEIOB"" OR ""C16orf73"" OR ""POF23"" OR ""SPGF22"" OR ""gs129"")",20
3393,MEIS1,"(""MEIS1"")",552
3394,MEIS2,"(""MEIS2"" OR ""CPCMR"" OR ""HsT18361"" OR ""MRG1"")",169
3395,MELK,"(""MELK"" OR ""HPK38"")",488
3396,MEOX1,"(""MEOX1"" OR ""KFS2"" OR ""MOX1"")",86
3397,MEOX2,"(""MEOX2"" OR ""GAX"" OR ""MOX2"")",191
3398,MEPE,"(""MEPE"" OR ""OF45"")",209
3399,MERTK,"(""MERTK"" OR ""MER"" OR ""RP38"" OR ""Tyro12"" OR ""c-Eyk"" OR ""c-mer"")",10503
3400,MESP2,"(""MESP2"" OR ""SCDO2"" OR ""bHLHc6"")",47
3401,METRN,"(""METRN"" OR ""C16orf23"" OR ""c380A1.2"")",26
3402,METTL13,"(""METTL13"" OR ""5630401D24Rik"" OR ""CGI-01"" OR ""DFNB26"" OR ""DFNB26M"" OR ""DFNM1"" OR ""EEF1AKNMT"" OR ""KIAA0859"" OR ""feat"")",618
3403,METTL17,"(""METTL17"" OR ""METT11D1"")",8
3404,METTL3,"(""METTL3"" OR ""IME4"" OR ""M6A"" OR ""MT-A70"" OR ""Spo8"" OR ""hMETTL3"")",5416
3405,METTL6,"(""METTL6"" OR ""hMETTL6"")",17
3406,MEX3A,"(""MEX3A"" OR ""MEX-3A"" OR ""RKHD4"" OR ""RNF162"")",44
3407,MFAP4,"(""MFAP4"")",94
3408,MFAP5,"(""MFAP5"" OR ""AAT9"" OR ""MAGP-2"" OR ""MAGP2"" OR ""MFAP-5"" OR ""MP25"")",101
3409,MFGE8,"(""MFGE8"" OR ""BA46"" OR ""EDIL1"" OR ""HMFG"" OR ""HsT19888"" OR ""MFG-E8"" OR ""MFGM"" OR ""OAcGD3S"" OR ""SED1"" OR ""SPAG10"" OR ""hP47"")",922
3410,MFNG,"(""MFNG"")",29
3411,MFSD4B,"(""MFSD4B"" OR ""KIAA1919"" OR ""NaGLT1"" OR ""SLC60A2"")",3
3412,MGAM,"(""MGAM"" OR ""MG"" OR ""MGA"")",10263
3413,MGAT1,"(""MGAT1"" OR ""GLCNAC-TI"" OR ""GLCT1"" OR ""GLYT1"" OR ""GNT-1"" OR ""GNT-I"" OR ""GnTI"" OR ""MGAT"")",471
3414,MGAT2,"(""MGAT2"" OR ""CDG2A"" OR ""CDGS2"" OR ""GLCNACTII"" OR ""GNT-II"" OR ""GNT2"")",96
3415,MGAT4A,"(""MGAT4A"" OR ""GNT-IV"" OR ""GNT-IVA"" OR ""GnT-4a"")",67
3416,MGAT4D,"(""MGAT4D"" OR ""GnT1IP"")",4
3417,MGAT5,"(""MGAT5"" OR ""GNT-V"" OR ""GNT-VA"" OR ""MGAT5A"" OR ""glcNAc-T V"")",313
3418,MGAT5B,"(""MGAT5B"" OR ""GnT-IX"" OR ""GnT-VB"")",37
3419,MGLL,"(""MGLL"" OR ""HU-K5"" OR ""HUK5"" OR ""MAGL"" OR ""MGL"")",37554
3420,MIA,"(""MIA"" OR ""CD-RAP"" OR ""MIA1"")",4341
3421,MIA3,"(""MIA3"" OR ""ARNT"" OR ""D320"" OR ""ODCD2"" OR ""TANGO"" OR ""TANGO1"" OR ""UNQ6077"")",2937
3422,MIB1,"(""MIB1"" OR ""DIP-1"" OR ""DIP1"" OR ""LVNC7"" OR ""MIB"" OR ""ZZANK2"" OR ""ZZZ6"")",5157
3423,MIB2,"(""MIB2"" OR ""ZZANK1"" OR ""ZZZ5"")",33
3424,MICA,"(""MICA"" OR ""MIC-A"" OR ""PERB11.1"")",2721
3425,MICAL2,"(""MICAL2"" OR ""Ebitein1"" OR ""MICAL-2"" OR ""MICAL2PV1"" OR ""MICAL2PV2"" OR ""MICALCL"" OR ""mical-cL"")",30
3426,MICAL3,"(""MICAL3"" OR ""MICAL-3"")",21
3427,MICB,"(""MICB"" OR ""PERB11.2"")",688
3428,MICOS10,"(""MICOS10"" OR ""C1orf151"" OR ""MINOS1"" OR ""MIO10"" OR ""Mic10"")",22
3429,MICU1,"(""MICU1"" OR ""CALC"" OR ""CBARA1"" OR ""EFHA3"" OR ""MPXPS"" OR ""ara CALC"")",515
3430,MICU3,"(""MICU3"" OR ""EFHA2"" OR ""hMICU3"")",14
3431,MID2,"(""MID2"" OR ""FXY2"" OR ""MRX101"" OR ""RNF60"" OR ""TRIM1"" OR ""XLID101"")",47
3432,MIEN1,"(""MIEN1"" OR ""C17orf37"" OR ""C35"" OR ""ORB3"" OR ""RDX12"" OR ""XTP4"")",388
3433,MIF,"(""MIF"" OR ""GIF"" OR ""GLIF"" OR ""MMIF"")",9564
3434,MINDY3,"(""MINDY3"" OR ""C10orf97"" OR ""CARP"" OR ""DERP5"" OR ""FAM188A"" OR ""MST126"" OR ""MSTP126"" OR ""my042"")",2214
3435,MINPP1,"(""MINPP1"" OR ""HIPER1"" OR ""MINPP2"" OR ""MIPP"" OR ""PCH16"")",66
3436,MIS18A,"(""MIS18A"" OR ""B28"" OR ""C21orf45"" OR ""C21orf46"" OR ""FASP1"" OR ""MIS18alpha"" OR ""hMis18alpha"")",324
3437,MISP,"(""MISP"" OR ""C19orf21"" OR ""MISP1"")",140
3438,MITF,"(""MITF"" OR ""CMM8"" OR ""COMMAD"" OR ""MI"" OR ""MITF-A"" OR ""WS2"" OR ""WS2A"" OR ""bHLHe32"")",165614
3439,MIX23,"(""MIX23"" OR ""CCDC58"")",7
3440,MKI67,"(""MKI67"" OR ""KIA"" OR ""MIB-"" OR ""MIB-1"" OR ""PPP1R105"")",5975
3441,MKNK1,"(""MKNK1"" OR ""MNK1"")",304
