PYCR3	NUDCD1	C8orf76	GDF6	FGFBP3	SHARPIN	POP1	GFUS	SYBU	TRHR
SETD7	NA	NA	NA	NA	NA	NA	NA	NA	NA
MARCHF6	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRD5A1	NA	NA	NA	NA	NA	NA	NA	NA	NA
OSMR	NA	NA	NA	NA	NA	NA	NA	NA	NA
TIMD4	NA	NA	NA	NA	NA	NA	NA	NA	NA
FGF18	NA	NA	NA	NA	NA	NA	NA	NA	NA
CDKAL1	NA	NA	NA	NA	NA	NA	NA	NA	NA
HIGD2A	NA	NA	NA	NA	NA	NA	NA	NA	NA
PLA2G7	NA	NA	NA	NA	NA	NA	NA	NA	NA
RNF44	NA	NA	NA	NA	NA	NA	NA	NA	NA
CYP39A1	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGFR	NA	NA	NA	NA	NA	NA	NA	NA	NA
SLC12A9	NA	NA	NA	NA	NA	NA	NA	NA	NA
GIGYF1	NA	NA	NA	NA	NA	NA	NA	NA	NA
DENND2A	NA	NA	NA	NA	NA	NA	NA	NA	NA
TMEM47	NA	NA	NA	NA	NA	NA	NA	NA	NA
CDK16	NA	NA	NA	NA	NA	NA	NA	NA	NA
CHST7	NA	NA	NA	NA	NA	NA	NA	NA	NA
NDUFB11	NA	NA	NA	NA	NA	NA	NA	NA	NA
GINS4	NA	NA	NA	NA	NA	NA	NA	NA	NA
PRDM14	NA	NA	NA	NA	NA	NA	NA	NA	NA
PSKH2	NA	NA	NA	NA	NA	NA	NA	NA	NA
NDUFB9	NA	NA	NA	NA	NA	NA	NA	NA	NA
SIGMAR1	NA	NA	NA	NA	NA	NA	NA	NA	NA
OR1K1	NA	NA	NA	NA	NA	NA	NA	NA	NA
MINDY3	NA	NA	NA	NA	NA	NA	NA	NA	NA
HABP2	NA	NA	NA	NA	NA	NA	NA	NA	NA
PAOX	NA	NA	NA	NA	NA	NA	NA	NA	NA
OR5F1	NA	NA	NA	NA	NA	NA	NA	NA	NA
SSRP1	NA	NA	NA	NA	NA	NA	NA	NA	NA
SLC43A1	NA	NA	NA	NA	NA	NA	NA	NA	NA
HIKESHI	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENDOD1	NA	NA	NA	NA	NA	NA	NA	NA	NA
RPS3	NA	NA	NA	NA	NA	NA	NA	NA	NA
AASDHPPT	NA	NA	NA	NA	NA	NA	NA	NA	NA
MTA2	NA	NA	NA	NA	NA	NA	NA	NA	NA
FADS3	NA	NA	NA	NA	NA	NA	NA	NA	NA
MYRF	NA	NA	NA	NA	NA	NA	NA	NA	NA
FADS2	NA	NA	NA	NA	NA	NA	NA	NA	NA
MS4A3	NA	NA	NA	NA	NA	NA	NA	NA	NA
NINL	NA	NA	NA	NA	NA	NA	NA	NA	NA
MS4A2	NA	NA	NA	NA	NA	NA	NA	NA	NA
CEP164	NA	NA	NA	NA	NA	NA	NA	NA	NA
SLC13A3	NA	NA	NA	NA	NA	NA	NA	NA	NA
PIGT	NA	NA	NA	NA	NA	NA	NA	NA	NA
CABLES2	NA	NA	NA	NA	NA	NA	NA	NA	NA
MRPL49	NA	NA	NA	NA	NA	NA	NA	NA	NA
TM7SF2	NA	NA	NA	NA	NA	NA	NA	NA	NA
PPP4C	NA	NA	NA	NA	NA	NA	NA	NA	NA
OR8K1	NA	NA	NA	NA	NA	NA	NA	NA	NA
OR5M9	NA	NA	NA	NA	NA	NA	NA	NA	NA
ARID5B	NA	NA	NA	NA	NA	NA	NA	NA	NA
BLTP3B	NA	NA	NA	NA	NA	NA	NA	NA	NA
ADRA2A	NA	NA	NA	NA	NA	NA	NA	NA	NA
CCDC83	NA	NA	NA	NA	NA	NA	NA	NA	NA
PRSS23	NA	NA	NA	NA	NA	NA	NA	NA	NA
CCT5	NA	NA	NA	NA	NA	NA	NA	NA	NA
DOCK1	NA	NA	NA	NA	NA	NA	NA	NA	NA
DLAT	NA	NA	NA	NA	NA	NA	NA	NA	NA
PIH1D2	NA	NA	NA	NA	NA	NA	NA	NA	NA
TEX12	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTS	NA	NA	NA	NA	NA	NA	NA	NA	NA
CRIM1	NA	NA	NA	NA	NA	NA	NA	NA	NA
SLC7A11	NA	NA	NA	NA	NA	NA	NA	NA	NA
DSC2	NA	NA	NA	NA	NA	NA	NA	NA	NA
THRSP	NA	NA	NA	NA	NA	NA	NA	NA	NA
NARS2	NA	NA	NA	NA	NA	NA	NA	NA	NA
ATP6V1G3	NA	NA	NA	NA	NA	NA	NA	NA	NA
CDC123	NA	NA	NA	NA	NA	NA	NA	NA	NA
PIGF	NA	NA	NA	NA	NA	NA	NA	NA	NA
AMN1	NA	NA	NA	NA	NA	NA	NA	NA	NA
NBAS	NA	NA	NA	NA	NA	NA	NA	NA	NA
GUF1	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBXO4	NA	NA	NA	NA	NA	NA	NA	NA	NA
NVL	NA	NA	NA	NA	NA	NA	NA	NA	NA
MCHR2	NA	NA	NA	NA	NA	NA	NA	NA	NA
MZT2B	NA	NA	NA	NA	NA	NA	NA	NA	NA
TMEM163	NA	NA	NA	NA	NA	NA	NA	NA	NA
TMEM178A	NA	NA	NA	NA	NA	NA	NA	NA	NA
SPC25	NA	NA	NA	NA	NA	NA	NA	NA	NA
KCNK13	NA	NA	NA	NA	NA	NA	NA	NA	NA
PPM1B	NA	NA	NA	NA	NA	NA	NA	NA	NA
IGSF10	NA	NA	NA	NA	NA	NA	NA	NA	NA
UGT3A2	NA	NA	NA	NA	NA	NA	NA	NA	NA
GMCL1	NA	NA	NA	NA	NA	NA	NA	NA	NA
BMP3	NA	NA	NA	NA	NA	NA	NA	NA	NA
TXNDC11	NA	NA	NA	NA	NA	NA	NA	NA	NA
SYCP2L	NA	NA	NA	NA	NA	NA	NA	NA	NA
UXS1	NA	NA	NA	NA	NA	NA	NA	NA	NA
TMEM87B	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTPRR	NA	NA	NA	NA	NA	NA	NA	NA	NA
PLA2R1	NA	NA	NA	NA	NA	NA	NA	NA	NA
SCN3A	NA	NA	NA	NA	NA	NA	NA	NA	NA
CD96	NA	NA	NA	NA	NA	NA	NA	NA	NA
ATG3	NA	NA	NA	NA	NA	NA	NA	NA	NA
ADGRF5	NA	NA	NA	NA	NA	NA	NA	NA	NA
ADGRF4	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRAPPC8	NA	NA	NA	NA	NA	NA	NA	NA	NA
LPCAT1	NA	NA	NA	NA	NA	NA	NA	NA	NA
RMND5A	NA	NA	NA	NA	NA	NA	NA	NA	NA
HGD	NA	NA	NA	NA	NA	NA	NA	NA	NA
CEBPG	NA	NA	NA	NA	NA	NA	NA	NA	NA
DGKE	NA	NA	NA	NA	NA	NA	NA	NA	NA
GDPD1	NA	NA	NA	NA	NA	NA	NA	NA	NA
ASB17	NA	NA	NA	NA	NA	NA	NA	NA	NA
ANKH	NA	NA	NA	NA	NA	NA	NA	NA	NA
GPR15	NA	NA	NA	NA	NA	NA	NA	NA	NA
CERS3	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABCA6	NA	NA	NA	NA	NA	NA	NA	NA	NA
DISP1	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRIM11	NA	NA	NA	NA	NA	NA	NA	NA	NA
CCSAP	NA	NA	NA	NA	NA	NA	NA	NA	NA
ASZ1	NA	NA	NA	NA	NA	NA	NA	NA	NA
GPR26	NA	NA	NA	NA	NA	NA	NA	NA	NA
LY96	NA	NA	NA	NA	NA	NA	NA	NA	NA
CXADR	NA	NA	NA	NA	NA	NA	NA	NA	NA
C21orf91	NA	NA	NA	NA	NA	NA	NA	NA	NA
ADAMTS1	NA	NA	NA	NA	NA	NA	NA	NA	NA
ADAMTS5	NA	NA	NA	NA	NA	NA	NA	NA	NA
RAB6B	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABCC3	NA	NA	NA	NA	NA	NA	NA	NA	NA
VOPP1	NA	NA	NA	NA	NA	NA	NA	NA	NA
ODF1	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTUD6B	NA	NA	NA	NA	NA	NA	NA	NA	NA
RHOC	NA	NA	NA	NA	NA	NA	NA	NA	NA
NIFK	NA	NA	NA	NA	NA	NA	NA	NA	NA
LRGUK	NA	NA	NA	NA	NA	NA	NA	NA	NA
AKR1B1	NA	NA	NA	NA	NA	NA	NA	NA	NA
NUP205	NA	NA	NA	NA	NA	NA	NA	NA	NA
CYP2C18	NA	NA	NA	NA	NA	NA	NA	NA	NA
PDE11A	NA	NA	NA	NA	NA	NA	NA	NA	NA
RBM45	NA	NA	NA	NA	NA	NA	NA	NA	NA
CASP10	NA	NA	NA	NA	NA	NA	NA	NA	NA
FZD7	NA	NA	NA	NA	NA	NA	NA	NA	NA
SLC26A2	NA	NA	NA	NA	NA	NA	NA	NA	NA
MED7	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRIM42	NA	NA	NA	NA	NA	NA	NA	NA	NA
ADCY8	NA	NA	NA	NA	NA	NA	NA	NA	NA
RASA2	NA	NA	NA	NA	NA	NA	NA	NA	NA
ATP1B3	NA	NA	NA	NA	NA	NA	NA	NA	NA
TMBIM4	NA	NA	NA	NA	NA	NA	NA	NA	NA
WIF1	NA	NA	NA	NA	NA	NA	NA	NA	NA
MMP16	NA	NA	NA	NA	NA	NA	NA	NA	NA
ADK	NA	NA	NA	NA	NA	NA	NA	NA	NA
KCNMA1	NA	NA	NA	NA	NA	NA	NA	NA	NA
DCK	NA	NA	NA	NA	NA	NA	NA	NA	NA
ADAMTS3	NA	NA	NA	NA	NA	NA	NA	NA	NA
CFAP418	NA	NA	NA	NA	NA	NA	NA	NA	NA
DRAM2	NA	NA	NA	NA	NA	NA	NA	NA	NA
PPEF2	NA	NA	NA	NA	NA	NA	NA	NA	NA
NAAA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CCT8	NA	NA	NA	NA	NA	NA	NA	NA	NA
TIAM1	NA	NA	NA	NA	NA	NA	NA	NA	NA
SCAF4	NA	NA	NA	NA	NA	NA	NA	NA	NA
ANKRD9	NA	NA	NA	NA	NA	NA	NA	NA	NA
PCDH1	NA	NA	NA	NA	NA	NA	NA	NA	NA
KCNS2	NA	NA	NA	NA	NA	NA	NA	NA	NA
TYSND1	NA	NA	NA	NA	NA	NA	NA	NA	NA
CD109	NA	NA	NA	NA	NA	NA	NA	NA	NA
NODAL	NA	NA	NA	NA	NA	NA	NA	NA	NA
ZDHHC5	NA	NA	NA	NA	NA	NA	NA	NA	NA
GLYATL2	NA	NA	NA	NA	NA	NA	NA	NA	NA
TBC1D31	NA	NA	NA	NA	NA	NA	NA	NA	NA
FRRS1	NA	NA	NA	NA	NA	NA	NA	NA	NA
PDE6D	NA	NA	NA	NA	NA	NA	NA	NA	NA
SST	NA	NA	NA	NA	NA	NA	NA	NA	NA
FANCD2	NA	NA	NA	NA	NA	NA	NA	NA	NA
NMNAT2	NA	NA	NA	NA	NA	NA	NA	NA	NA
HTR5A	NA	NA	NA	NA	NA	NA	NA	NA	NA
CLDN12	NA	NA	NA	NA	NA	NA	NA	NA	NA
FZD1	NA	NA	NA	NA	NA	NA	NA	NA	NA
GATAD1	NA	NA	NA	NA	NA	NA	NA	NA	NA
ARMC12	NA	NA	NA	NA	NA	NA	NA	NA	NA
KIT	NA	NA	NA	NA	NA	NA	NA	NA	NA
PREX2	NA	NA	NA	NA	NA	NA	NA	NA	NA
DGKI	NA	NA	NA	NA	NA	NA	NA	NA	NA
DRC1	NA	NA	NA	NA	NA	NA	NA	NA	NA
CIB4	NA	NA	NA	NA	NA	NA	NA	NA	NA
RHPN1	NA	NA	NA	NA	NA	NA	NA	NA	NA
MRAS	NA	NA	NA	NA	NA	NA	NA	NA	NA
ACTR1B	NA	NA	NA	NA	NA	NA	NA	NA	NA
EIF5B	NA	NA	NA	NA	NA	NA	NA	NA	NA
CNOT11	NA	NA	NA	NA	NA	NA	NA	NA	NA
CATIP	NA	NA	NA	NA	NA	NA	NA	NA	NA
CD1A	NA	NA	NA	NA	NA	NA	NA	NA	NA
SLCO2B1	NA	NA	NA	NA	NA	NA	NA	NA	NA
PAGE5	NA	NA	NA	NA	NA	NA	NA	NA	NA
SLAMF8	NA	NA	NA	NA	NA	NA	NA	NA	NA
HTR6	NA	NA	NA	NA	NA	NA	NA	NA	NA
FCER1G	NA	NA	NA	NA	NA	NA	NA	NA	NA
SLC5A11	NA	NA	NA	NA	NA	NA	NA	NA	NA
ARHGAP17	NA	NA	NA	NA	NA	NA	NA	NA	NA
CACHD1	NA	NA	NA	NA	NA	NA	NA	NA	NA
IL10RB	NA	NA	NA	NA	NA	NA	NA	NA	NA
ATP5PO	NA	NA	NA	NA	NA	NA	NA	NA	NA
KCNE2	NA	NA	NA	NA	NA	NA	NA	NA	NA
SIM2	NA	NA	NA	NA	NA	NA	NA	NA	NA
CELF3	NA	NA	NA	NA	NA	NA	NA	NA	NA
PGLYRP3	NA	NA	NA	NA	NA	NA	NA	NA	NA
ACE	NA	NA	NA	NA	NA	NA	NA	NA	NA
CHCHD6	NA	NA	NA	NA	NA	NA	NA	NA	NA
ANKRD18B	NA	NA	NA	NA	NA	NA	NA	NA	NA
ZFYVE28	NA	NA	NA	NA	NA	NA	NA	NA	NA
NR2F6	NA	NA	NA	NA	NA	NA	NA	NA	NA
CILP2	NA	NA	NA	NA	NA	NA	NA	NA	NA
FLAD1	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZGP1	NA	NA	NA	NA	NA	NA	NA	NA	NA
FGFR4	NA	NA	NA	NA	NA	NA	NA	NA	NA
CYP11B1	NA	NA	NA	NA	NA	NA	NA	NA	NA
ATP5MF	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTGER1	NA	NA	NA	NA	NA	NA	NA	NA	NA
ALKBH4	NA	NA	NA	NA	NA	NA	NA	NA	NA
LTC4S	NA	NA	NA	NA	NA	NA	NA	NA	NA
POLR2J	NA	NA	NA	NA	NA	NA	NA	NA	NA
SCGB3A1	NA	NA	NA	NA	NA	NA	NA	NA	NA
CCDC116	NA	NA	NA	NA	NA	NA	NA	NA	NA
DCUN1D1	NA	NA	NA	NA	NA	NA	NA	NA	NA
COX7A1	NA	NA	NA	NA	NA	NA	NA	NA	NA
GRIN2C	NA	NA	NA	NA	NA	NA	NA	NA	NA
CYGB	NA	NA	NA	NA	NA	NA	NA	NA	NA
SDR9C7	NA	NA	NA	NA	NA	NA	NA	NA	NA
AQP5	NA	NA	NA	NA	NA	NA	NA	NA	NA
C6orf136	NA	NA	NA	NA	NA	NA	NA	NA	NA
KRT83	NA	NA	NA	NA	NA	NA	NA	NA	NA
ZNF563	NA	NA	NA	NA	NA	NA	NA	NA	NA
LEMD2	NA	NA	NA	NA	NA	NA	NA	NA	NA
ZNF653	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTX4	NA	NA	NA	NA	NA	NA	NA	NA	NA
CLPB	NA	NA	NA	NA	NA	NA	NA	NA	NA
STX5	NA	NA	NA	NA	NA	NA	NA	NA	NA
TPCN2	NA	NA	NA	NA	NA	NA	NA	NA	NA
CZIB	NA	NA	NA	NA	NA	NA	NA	NA	NA
USP24	NA	NA	NA	NA	NA	NA	NA	NA	NA
LAPTM5	NA	NA	NA	NA	NA	NA	NA	NA	NA
TMCO4	NA	NA	NA	NA	NA	NA	NA	NA	NA
DOCK6	NA	NA	NA	NA	NA	NA	NA	NA	NA
KCNT2	NA	NA	NA	NA	NA	NA	NA	NA	NA
ZNF496	NA	NA	NA	NA	NA	NA	NA	NA	NA
LRRC52	NA	NA	NA	NA	NA	NA	NA	NA	NA
GARIN4	NA	NA	NA	NA	NA	NA	NA	NA	NA
RBMS1	NA	NA	NA	NA	NA	NA	NA	NA	NA
PPP1R21	NA	NA	NA	NA	NA	NA	NA	NA	NA
LHCGR	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKDCC	NA	NA	NA	NA	NA	NA	NA	NA	NA
HAAO	NA	NA	NA	NA	NA	NA	NA	NA	NA
REL	NA	NA	NA	NA	NA	NA	NA	NA	NA
PEX13	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFTN2	NA	NA	NA	NA	NA	NA	NA	NA	NA
SPRTN	NA	NA	NA	NA	NA	NA	NA	NA	NA
MAIP1	NA	NA	NA	NA	NA	NA	NA	NA	NA
KCNJ3	NA	NA	NA	NA	NA	NA	NA	NA	NA
DNAAF10	NA	NA	NA	NA	NA	NA	NA	NA	NA
SLC16A14	NA	NA	NA	NA	NA	NA	NA	NA	NA
TEKT4	NA	NA	NA	NA	NA	NA	NA	NA	NA
KCNIP3	NA	NA	NA	NA	NA	NA	NA	NA	NA
SLC9A4	NA	NA	NA	NA	NA	NA	NA	NA	NA
RNF149	NA	NA	NA	NA	NA	NA	NA	NA	NA
BMP10	NA	NA	NA	NA	NA	NA	NA	NA	NA
TGFA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GNPDA2	NA	NA	NA	NA	NA	NA	NA	NA	NA
NIPAL1	NA	NA	NA	NA	NA	NA	NA	NA	NA
DCST1	NA	NA	NA	NA	NA	NA	NA	NA	NA
LRRC58	NA	NA	NA	NA	NA	NA	NA	NA	NA
FSTL1	NA	NA	NA	NA	NA	NA	NA	NA	NA
CXCR1	NA	NA	NA	NA	NA	NA	NA	NA	NA
CCT3	NA	NA	NA	NA	NA	NA	NA	NA	NA
SSR2	NA	NA	NA	NA	NA	NA	NA	NA	NA
STK36	NA	NA	NA	NA	NA	NA	NA	NA	NA
IHH	NA	NA	NA	NA	NA	NA	NA	NA	NA
GLB1L	NA	NA	NA	NA	NA	NA	NA	NA	NA
RETSAT	NA	NA	NA	NA	NA	NA	NA	NA	NA
FABP1	NA	NA	NA	NA	NA	NA	NA	NA	NA
CCDC191	NA	NA	NA	NA	NA	NA	NA	NA	NA
THOC7	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERICH6	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTX3	NA	NA	NA	NA	NA	NA	NA	NA	NA
PCOLCE2	NA	NA	NA	NA	NA	NA	NA	NA	NA
MTMR14	NA	NA	NA	NA	NA	NA	NA	NA	NA
CXCL5	NA	NA	NA	NA	NA	NA	NA	NA	NA
DNAJC5G	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRIM54	NA	NA	NA	NA	NA	NA	NA	NA	NA
OSBPL11	NA	NA	NA	NA	NA	NA	NA	NA	NA
LIPH	NA	NA	NA	NA	NA	NA	NA	NA	NA
IFT122	NA	NA	NA	NA	NA	NA	NA	NA	NA
RHO	NA	NA	NA	NA	NA	NA	NA	NA	NA
SLC51A	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTOP1	NA	NA	NA	NA	NA	NA	NA	NA	NA
IL15	NA	NA	NA	NA	NA	NA	NA	NA	NA
SLC45A2	NA	NA	NA	NA	NA	NA	NA	NA	NA
LMBRD2	NA	NA	NA	NA	NA	NA	NA	NA	NA
CMBL	NA	NA	NA	NA	NA	NA	NA	NA	NA
RICTOR	NA	NA	NA	NA	NA	NA	NA	NA	NA
GALNT10	NA	NA	NA	NA	NA	NA	NA	NA	NA
GPR85	NA	NA	NA	NA	NA	NA	NA	NA	NA
TEX47	NA	NA	NA	NA	NA	NA	NA	NA	NA
STEAP1	NA	NA	NA	NA	NA	NA	NA	NA	NA
FABP5	NA	NA	NA	NA	NA	NA	NA	NA	NA
SHH	NA	NA	NA	NA	NA	NA	NA	NA	NA
CASD1	NA	NA	NA	NA	NA	NA	NA	NA	NA
SLC13A4	NA	NA	NA	NA	NA	NA	NA	NA	NA
RGS20	NA	NA	NA	NA	NA	NA	NA	NA	NA
SUN3	NA	NA	NA	NA	NA	NA	NA	NA	NA
EN2	NA	NA	NA	NA	NA	NA	NA	NA	NA
SPIDR	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABCB8	NA	NA	NA	NA	NA	NA	NA	NA	NA
ASIC3	NA	NA	NA	NA	NA	NA	NA	NA	NA
FASTK	NA	NA	NA	NA	NA	NA	NA	NA	NA
C9orf24	NA	NA	NA	NA	NA	NA	NA	NA	NA
CNTNAP3	NA	NA	NA	NA	NA	NA	NA	NA	NA
HSD3B7	NA	NA	NA	NA	NA	NA	NA	NA	NA
CPA6	NA	NA	NA	NA	NA	NA	NA	NA	NA
CCDC136	NA	NA	NA	NA	NA	NA	NA	NA	NA
METTL27	NA	NA	NA	NA	NA	NA	NA	NA	NA
OR1Q1	NA	NA	NA	NA	NA	NA	NA	NA	NA
AQP7	NA	NA	NA	NA	NA	NA	NA	NA	NA
AQP3	NA	NA	NA	NA	NA	NA	NA	NA	NA
MELK	NA	NA	NA	NA	NA	NA	NA	NA	NA
DEUP1	NA	NA	NA	NA	NA	NA	NA	NA	NA
PGM2L1	NA	NA	NA	NA	NA	NA	NA	NA	NA
FOLR2	NA	NA	NA	NA	NA	NA	NA	NA	NA
TMEM63C	NA	NA	NA	NA	NA	NA	NA	NA	NA
NGB	NA	NA	NA	NA	NA	NA	NA	NA	NA
AKR1E2	NA	NA	NA	NA	NA	NA	NA	NA	NA
SSX3	NA	NA	NA	NA	NA	NA	NA	NA	NA
SEC61A2	NA	NA	NA	NA	NA	NA	NA	NA	NA
JAKMIP3	NA	NA	NA	NA	NA	NA	NA	NA	NA
STK32C	NA	NA	NA	NA	NA	NA	NA	NA	NA
WAPL	NA	NA	NA	NA	NA	NA	NA	NA	NA
SHLD2	NA	NA	NA	NA	NA	NA	NA	NA	NA
ARHGAP42	NA	NA	NA	NA	NA	NA	NA	NA	NA
CPSF2	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAPRIN2	NA	NA	NA	NA	NA	NA	NA	NA	NA
LRRK2	NA	NA	NA	NA	NA	NA	NA	NA	NA
AMN	NA	NA	NA	NA	NA	NA	NA	NA	NA
IKBIP	NA	NA	NA	NA	NA	NA	NA	NA	NA
AVPR1A	NA	NA	NA	NA	NA	NA	NA	NA	NA
HPS6	NA	NA	NA	NA	NA	NA	NA	NA	NA
CCT2	NA	NA	NA	NA	NA	NA	NA	NA	NA
TMEM132B	NA	NA	NA	NA	NA	NA	NA	NA	NA
GNPTAB	NA	NA	NA	NA	NA	NA	NA	NA	NA
COX11	NA	NA	NA	NA	NA	NA	NA	NA	NA
CYYR1	NA	NA	NA	NA	NA	NA	NA	NA	NA
CCDC182	NA	NA	NA	NA	NA	NA	NA	NA	NA
GARRE1	NA	NA	NA	NA	NA	NA	NA	NA	NA
RNF169	NA	NA	NA	NA	NA	NA	NA	NA	NA
ALG8	NA	NA	NA	NA	NA	NA	NA	NA	NA
CLEC4D	NA	NA	NA	NA	NA	NA	NA	NA	NA
HSP90B1	NA	NA	NA	NA	NA	NA	NA	NA	NA
POLR3E	NA	NA	NA	NA	NA	NA	NA	NA	NA
MMP3	NA	NA	NA	NA	NA	NA	NA	NA	NA
COG1	NA	NA	NA	NA	NA	NA	NA	NA	NA
PLIN1	NA	NA	NA	NA	NA	NA	NA	NA	NA
PEX11A	NA	NA	NA	NA	NA	NA	NA	NA	NA
ANPEP	NA	NA	NA	NA	NA	NA	NA	NA	NA
GLYATL1	NA	NA	NA	NA	NA	NA	NA	NA	NA
DCTN5	NA	NA	NA	NA	NA	NA	NA	NA	NA
PLK1	NA	NA	NA	NA	NA	NA	NA	NA	NA
ZBTB39	NA	NA	NA	NA	NA	NA	NA	NA	NA
OR4D6	NA	NA	NA	NA	NA	NA	NA	NA	NA
NEMP1	NA	NA	NA	NA	NA	NA	NA	NA	NA
STAT6	NA	NA	NA	NA	NA	NA	NA	NA	NA
ATP23	NA	NA	NA	NA	NA	NA	NA	NA	NA
EEF1AKMT3	NA	NA	NA	NA	NA	NA	NA	NA	NA
MS4A8	NA	NA	NA	NA	NA	NA	NA	NA	NA
EVA1C	NA	NA	NA	NA	NA	NA	NA	NA	NA
NAT16	NA	NA	NA	NA	NA	NA	NA	NA	NA
TPX2	NA	NA	NA	NA	NA	NA	NA	NA	NA
RNF214	NA	NA	NA	NA	NA	NA	NA	NA	NA
FN3K	NA	NA	NA	NA	NA	NA	NA	NA	NA
USP32	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA4	NA	NA	NA	NA	NA	NA	NA	NA	NA
RAB8A	NA	NA	NA	NA	NA	NA	NA	NA	NA
CACNB3	NA	NA	NA	NA	NA	NA	NA	NA	NA
TUBA1A	NA	NA	NA	NA	NA	NA	NA	NA	NA
TUBA1C	NA	NA	NA	NA	NA	NA	NA	NA	NA
GPD1	NA	NA	NA	NA	NA	NA	NA	NA	NA
PRODH2	NA	NA	NA	NA	NA	NA	NA	NA	NA
DIP2B	NA	NA	NA	NA	NA	NA	NA	NA	NA
SOAT2	NA	NA	NA	NA	NA	NA	NA	NA	NA
ATP5PD	NA	NA	NA	NA	NA	NA	NA	NA	NA
CYP7A1	NA	NA	NA	NA	NA	NA	NA	NA	NA
SLC22A11	NA	NA	NA	NA	NA	NA	NA	NA	NA
GPR25	NA	NA	NA	NA	NA	NA	NA	NA	NA
ANTXR1	NA	NA	NA	NA	NA	NA	NA	NA	NA
MFF	NA	NA	NA	NA	NA	NA	NA	NA	NA
ECEL1	NA	NA	NA	NA	NA	NA	NA	NA	NA
C3AR1	NA	NA	NA	NA	NA	NA	NA	NA	NA
PANK1	NA	NA	NA	NA	NA	NA	NA	NA	NA
PRELID1	NA	NA	NA	NA	NA	NA	NA	NA	NA
MBOAT2	NA	NA	NA	NA	NA	NA	NA	NA	NA
OR10V1	NA	NA	NA	NA	NA	NA	NA	NA	NA
HSPB2	NA	NA	NA	NA	NA	NA	NA	NA	NA
HOXD4	NA	NA	NA	NA	NA	NA	NA	NA	NA
HSPBAP1	NA	NA	NA	NA	NA	NA	NA	NA	NA
BCL2L1	NA	NA	NA	NA	NA	NA	NA	NA	NA
IGF1	NA	NA	NA	NA	NA	NA	NA	NA	NA
DDI1	NA	NA	NA	NA	NA	NA	NA	NA	NA
MAEA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTGER4	NA	NA	NA	NA	NA	NA	NA	NA	NA
OR1L3	NA	NA	NA	NA	NA	NA	NA	NA	NA
OR7G3	NA	NA	NA	NA	NA	NA	NA	NA	NA
SPRY3	NA	NA	NA	NA	NA	NA	NA	NA	NA
OR5B2	NA	NA	NA	NA	NA	NA	NA	NA	NA
MAT2A	NA	NA	NA	NA	NA	NA	NA	NA	NA
TMEM37	NA	NA	NA	NA	NA	NA	NA	NA	NA
UGT1A6	NA	NA	NA	NA	NA	NA	NA	NA	NA
ACHE	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRH	NA	NA	NA	NA	NA	NA	NA	NA	NA
PEX6	NA	NA	NA	NA	NA	NA	NA	NA	NA
TACR1	NA	NA	NA	NA	NA	NA	NA	NA	NA
SCN1A	NA	NA	NA	NA	NA	NA	NA	NA	NA
GPR82	NA	NA	NA	NA	NA	NA	NA	NA	NA
CYTL1	NA	NA	NA	NA	NA	NA	NA	NA	NA
N6AMT1	NA	NA	NA	NA	NA	NA	NA	NA	NA
NTSR2	NA	NA	NA	NA	NA	NA	NA	NA	NA
HTRA3	NA	NA	NA	NA	NA	NA	NA	NA	NA
PROKR1	NA	NA	NA	NA	NA	NA	NA	NA	NA
OR5A2	NA	NA	NA	NA	NA	NA	NA	NA	NA
OR8I2	NA	NA	NA	NA	NA	NA	NA	NA	NA
TMEM223	NA	NA	NA	NA	NA	NA	NA	NA	NA
RNF139	NA	NA	NA	NA	NA	NA	NA	NA	NA
OR8J1	NA	NA	NA	NA	NA	NA	NA	NA	NA
COPS6	NA	NA	NA	NA	NA	NA	NA	NA	NA
KCNG3	NA	NA	NA	NA	NA	NA	NA	NA	NA
