# Observed cut height: 0.0962339
# Observed size of largest cluster at observed cut height: 26
# Expected size of largest cluster at observed cut height: 6.5
# Observed maximum ratio statistic: 4.000
# Expected maximum ratio statistic: 1.764
# p-value: 0.02
# Clusters:
BTNL3	BTNL8	DMBT1	FCGBP	GPRIN2	GREB1	KLK1	MAP6	MSLN	MUC16	MUC2	MUC3A	MUC4	MUC5AC	MUC5B	MUC6	PACC1	PDZK1IP1	PNP	SERPINA4	SLC5A1	TFF1	TFF2	TFF3	TMEM106B	XDH
B3GNT2	B3GNT3	C1GALT1	C1GALT1C1	GALNT6	TSPAN15	TSPAN9
HOXB4	HOXB5	HOXB6	HOXB7	HOXC6	TCF21
ABCA9	ACY3	ASPA	PMM1	PMM2
ADAMTS2	ADAMTS4	CCBE1	CTHRC1	EGFL7
ANKS4B	CDHR2	CDHR5	MYO7B	USH1C
CHPF	CHSY3	CSGALNACT1	CSGALNACT2	SLC30A1
CYP2C18	CYP2C8	CYP2C9	CYP2J2	CYP4F3
DNAH11	DNAH12	DNAH3	DNAH5	DNAH7
GJA4	GJB1	GJB2	GJB3	GJB4
LRRC8B	LRRC8D	LRRC8E	SLC44A1	TRIM2
MLPH	RAB27B	SYTL1	SYTL2	SYTL5
ATP10B	ATP8B1	ATP8B2	TMEM30B
CA13	CA2	SLC26A3	SLC4A4
CCDC112	CCDC148	NOL4L	TEX9
CCNB1IP1	H1-3	H1-5	ZNF662
CEMIP2	MAN2B1	MAN2B2	SIAE
CLDN10	CLDN18	CLDN2	TJP3
CMPK2	DCTPP1	ENTPD3	ENTPD8
CSPG4	MGAM	MGAM2	SI
FABP1	GNPNAT1	GPD1	GPD2
GOLGA7B	ORMDL3	SPTLC2	SPTSSB
POMK	SLC35F2	TMEM120A	TPRG1
SLC3A1	SLC7A11	SLC7A7	SLC7A8
SULT1B1	SULT1C2	SULT1C4	SULT1E1
ACER2	CERS4	CERS6
ADH1B	ADH1C	ADH6
ALDH1A2	AOX1	INMT
ARHGAP10	ARHGAP26	C2CD2
ARHGEF17	RASL12	RERG
C3orf52	TMPRSS2	TMPRSS4
CD99	CD99L2	PILRB
CDAN1	MAMDC2	TK1
CPT2	SLC25A20	SLC25A29
CYP3A4	CYP3A5	UGT2B7
DARS2	FAAH	FAAH2
DBP	HLF	HNF4G
DNAJC27	FAM184A	LRRC61
ETV4	ETV5	SLC45A3
FAM3B	FUT3	FUT6
FRAS1	FREM2	HMCN1
FUT8	MGAT1	MGAT2
GAS1	IHH	SHH
GCNT1	GCNT3	GCNT4
GDF15	PLEKHA6	TCEAL9
GGT5	GGT6	GGT7
GRHL1	GRHL2	ZNF76
HTRA3	PCSK6	TMEM25
LGR4	LGR5	RNF43
LRFN3	MANEAL	ST3GAL4
MYO5B	RAB11FIP1	RAB25
OAS1	OAS2	OAS3
OSBPL3	PITPNM3	ZFPL1
PDE11A	PDE2A	PDE5A
PDE1A	PDE1B	PDE1C
PLPP2	PLPP3	SGPP2
TAS2R13	TAS2R30	TAS2R50
UCK1	UCK2	UCKL1
AARSD1	TRIM45
SCAMP1
SCAND1
SCARA3
SCARA5
SCARB1
SCARF1
SCD5
SCEL
SCG2
SCG5
SCGB2A1
SCIN
SCLT1
SCLY
SCMH1
SCML1
SCML2
SCN2A
SCN7A
SCN8A
SCN9A
SCNN1A
SCOC
SCRN2
SCYL1
SCYL2
SCYL3
SDC1
SDC2
SDC4
SDCBP2
SDF4
SDHAF2
SDK2
SDR16C5
SDR42E1
SEC16B
SEC22B
SEC22C
SEC23B
SEC24A
SEC24D
SEC31B
SEC61A2
SEC63
SEL1L
SEL1L3
SELENOH
SELENOK
SELENOM
SELENON
SELENOO
SELENOP
SELL
SELPLG
SEMA3A
SEMA3E
SEMA3F
SEMA4C
SEMA5A
SEMA6B
SEMA6C
SENP3
SENP8
SEPTIN11
SEPTIN4
SEPTIN5
SERGEF
SERINC2
SERP2
SERPINA1
SERPINB1
SERPINE1
SERPINE2
SERPINF1
SERPING1
SERPINH1
SERTAD4
SESN1
SESN2
SETD1A
SETD1B
SETMAR
SETX
SF1
SF3A1
SF3A2
SF3B4
SFMBT1
SFMBT2
SFN
SFRP4
SFTA2
SGCE
SGF29
SGIP1
SGK1
SGK3
SGMS1
SGMS2
SGO1
SGO2
SGPL1
SGSH
SGSM2
SGTA
SH2B1
SH2D3A
SH2D3C
SH3BGR
SH3BP5
SH3GL1
SH3PXD2A
SH3PXD2B
SH3RF1
SH3RF2
SH3TC2
SHANK2
SHANK3
SHC2
SHCBP1
SHISA2
SHOC2
SHPK
SHPRH
SHROOM3
SIDT2
SIGLEC11
SIGMAR1
SIKE1
SIM2
SIMC1
SIN3B
SIPA1
SIPA1L1
SIPA1L2
SIPA1L3
SIRPA
SIRT2
SIRT3
SIVA1
SIX5
SKA1
SKA3
SKAP1
SKI
SKIL
SKP1
SKP2
SLAIN1
SLAMF6
SLAMF7
SLC11A1
SLC11A2
SLC12A2
SLC12A4
SLC12A6
SLC14A1
SLC15A1
SLC16A13
SLC16A3
SLC17A5
SLC18B1
SLC19A1
SLC19A3
SLC1A1
SLC1A3
SLC1A4
SLC20A1
SLC22A23
SLC25A11
SLC25A12
SLC25A13
SLC25A15
SLC25A17
SLC25A22
SLC25A23
SLC25A24
SLC25A4
SLC25A6
SLC26A2
SLC26A5
SLC26A9
SLC27A1
SLC27A2
SLC28A2
SLC2A1
SLC2A4RG
SLC2A8
SLC30A6
SLC31A2
SLC34A2
SLC37A1
SLC38A1
SLC38A9
SLC39A14
SLC39A3
SLC3A2
SLC41A1
SLC44A4
SLC45A4
SLC4A7
SLC5A3
SLC66A2
SLC6A12
SLC6A19
SLC6A20
SLC7A1
SLC7A6
SLC7A6OS
SLC8A1
SLC9A1
SLC9A2
SLC9A3
SLC9A4
SLC9A5
SLC9A9
SLC9C2
SLF1
SLFN11
SLFN12
SLFN12L
SLIT3
SLK
SLPI
SLX4IP
SMAD1
SMAD2
SMAD9
SMAP1
SMARCA1
SMARCA2
SMARCB1
SMARCD3
SMC2
SMC4
SMC6
SMCHD1
SMDT1
SMG1
SMIM24
SMIM3
SMN1
SMO
SMPD1
SMPD3
SMPD4
SMS
SMTN
SMYD2
SMYD3
SMYD4
SMYD5
SNAI2
SNAP25
SNAP47
SNAPC2
SNAPC4
SNCA
SNCAIP
SNRNP70
SNRPA
SNRPD2
SNRPE
SNRPG
SNRPN
SNTA1
SNTB1
SNUPN
SNX10
SNX13
SNX21
SNX3
SNX30
SNX7
SOCS2
SOCS3
SOCS4
SOCS6
SORBS2
SORBS3
SORD
SORL1
SORT1
SOSTDC1
SOWAHA
SOWAHB
SOX12
SOX6
SOX9
SP110
SP2
SP3
SPA17
SPACA6
SPACA9
SPAG1
SPAG17
SPAG4
SPAG5
SPAG7
SPARCL1
SPART
SPATA17
SPATA18
SPATA20
SPATA6L
SPC24
SPC25
SPCS2
SPCS3
SPDEF
SPDYA
SPECC1L
SPEG
SPG11
SPG7
SPHK2
SPIB
SPICE1
SPIN2B
SPIN3
SPINDOC
SPINK1
SPINK5
SPN
SPON2
SPP1
SPPL2A
SPRED1
SPRTN
SPRY4
SPRYD3
SPSB1
SPSB3
SPTBN1
SPTBN2
SPTLC3
SPTY2D1
SRBD1
SRCAP
SREBF1
SRF
SRFBP1
SRGAP2
SRM
SRP14
SRPK1
SRPX2
SRRM1
SRRM2
SRRT
SRSF11
SRSF5
SRSF6
SSBP3
SSBP4
SSR2
SSTR1
SSX2IP
ST13
ST3GAL3
ST3GAL5
ST6GAL1
ST8SIA4
STAB1
STAG1
STAM2
STAR
STARD10
STARD3
STARD7
STARD9
STAT1
STAT5A
STAT5B
STAT6
STAU2
STBD1
STC2
STEAP1
STEAP3
STIL
STIM1
STING1
STK10
STK11
STK11IP
STK17B
STK19
STK24
STK25
STK26
STK31
STK36
STK38L
STK39
STK4
STK40
STMN3
STOM
STON1
STON2
STPG2
STRA6
STRADA
STRBP
STRN
STRN3
STRN4
STS
STX10
STX16
STX18
STX19
STX2
STX4
STX5
STXBP1
STXBP2
STXBP5
STXBP5L
STXBP6
STYK1
SUCO
SUGP2
SULF2
SUMF1
SUMO2
SUMO4
SUN2
SUOX
SUPT5H
SUPT7L
SUSD3
SUV39H2
SUZ12
SV2A
SVEP1
SVIL
SWI5
SYCP2
SYDE1
SYF2
SYK
SYNE1
SYNE2
SYNE3
SYNE4
SYNGAP1
SYNGR1
SYNJ2
SYNJ2BP
SYNM
SYNPO
SYNPO2
SYNRG
SYT11
SYT16
SYT17
SYT8
SYTL4
SYVN1
TAB1
TAC3
TACC2
TACC3
TACSTD2
TAF13
TAF15
TAF1A
TAF1B
TAF1C
TAF3
TAF4
TAF6
TAF9B
TAGAP
TAGLN
TANC1
TANC2
TAOK1
TAOK2
TAOK3
TAP1
TAP2
TARDBP
TARS1
TAS2R19
TAS2R3
TAS2R31
TAS2R4
TAS2R43
TAS2R46
TASOR
TASOR2
TAX1BP1
TAX1BP3
TBC1D10A
TBC1D10B
TBC1D14
TBC1D17
TBC1D20
TBC1D25
TBC1D2B
TBC1D31
TBC1D32
TBC1D4
TBC1D7
TBC1D8B
TBCA
TBKBP1
TBL1X
TBL1XR1
TBL3
TBX2
TBX3
TBXAS1
TCEA1
TCEA2
TCEANC2
TCF20
TCF23
TCF25
TCF3
TCF7
TCF7L1
TCIRG1
TCN1
TCP11L2
TDRD5
TDRD7
TDRKH
TEAD2
TEAD3
TEC
TECR
TEF
TEFM
TELO2
TENM4
TENT4A
TENT5C
TEP1
TERF1
TERF2IP
TES
TESC
TESK1
TESK2
TESMIN
TET1
TET2
TET3
TFAM
TFAP2A
TFB1M
TFB2M
TFCP2L1
TFPI
TGFA
TGFB1
TGFB1I1
TGFB2
TGFB3
TGFBR2
TGFBR3
TGM2
THADA
THAP3
THAP7
THAP8
THBD
THBS3
THEM6
THOP1
THRB
THSD4
THSD7A
THYN1
TIAM1
TICRR
TIE1
TIGD4
TIMELESS
TIMM22
TIMM44
TIMP1
TIMP2
TIMP3
TJAP1
TJP1
TLCD4
TLDC2
TLE1
TLE2
TLE4
TLE5
TLE6
TLL2
TLN2
TLR1
TLR3
TLR5
TLR6
TLR7
TM4SF1
TM4SF4
TM7SF2
TM9SF1
TMBIM4
TMC5
TMC6
TMC7
TMCC1
TMCO6
TMED1
TMED2
TMED3
TMED7
TMEM117
TMEM123
TMEM129
TMEM139
TMEM165
TMEM171
TMEM182
TMEM184A
TMEM185A
TMEM200A
TMEM201
TMEM204
TMEM209
TMEM214
TMEM216
TMEM222
TMEM230
TMEM231
TMEM232
TMEM259
TMEM33
TMEM38A
TMEM43
TMEM45B
TMEM80
TMEM87A
TMEM8B
TMEM92
TMEM94
TMEM97
TMEM98
TMF1
TMOD1
TMOD3
TMSB4X
TMTC2
TMTC3
TMUB1
TMUB2
TMX1
TNFAIP3
TNFAIP8
TNFRSF10A
TNFRSF10C
TNFRSF11A
TNFRSF11B
TNFRSF12A
TNFRSF19
TNFRSF1A
TNFRSF21
TNFSF10
TNFSF12
TNFSF13
TNFSF13B
TNFSF15
TNIK
TNK2
TNKS1BP1
TNPO1
TNPO2
TNRC6B
TNS1
TNS2
TNS4
TNXB
TOM1L1
TOM1L2
TOMM5
TOMM7
TOP1MT
TOP2A
TOP3B
TOPBP1
TOR1AIP2
TOR2A
TOX
TP53I3
TP53INP2
TPBG
TPD52
TPGS1
TPK1
TPM2
TPM4
TPP1
TPR
TPT1
TPX2
TRABD
TRAF1
TRAF3IP2
TRAF3IP3
TRAF4
TRAK1
TRAM1
TRAPPC1
TRAPPC10
TRAPPC2L
TRAPPC8
TREM2
TRH
TRIB1
TRIB2
TRIM14
TRIM15
TRIM16L
TRIM28
TRIM29
TRIM3
TRIM31
TRIM39
TRIM52
TRIM56
TRIM59
TRIOBP
TRIP10
TRIP11
TRIP12
TRIP13
TRIP6
TRIR
TRMT1
TRMT10B
TRMT112
TRMT12
TRMT2A
TRMT61A
TRMT9B
TRO
TROAP
TRPC1
TRPC4
TRPM2
TRPM4
TRPM7
TRPS1
TRPV1
TRPV2
TRPV4
TRPV6
TRUB1
TSC2
TSC22D1
TSEN34
TSGA10
TSHZ1
TSHZ3
TSKU
TSNARE1
TSPAN1
TSPAN12
TSPAN18
TSPAN3
TSPAN33
TSPAN4
TSPAN5
TSPAN6
TSPAN7
TSPAN8
TSPOAP1
TSPYL2
TSPYL4
TSR2
TSSC4
TTC28
TTC39A
TTC39B
TTC7B
TTC8
TTF2
TTLL3
TTLL6
TUB
TUBA1A
TUBA1B
TUBA1C
TUBB
TUBB6
TUBG2
TUBGCP4
TUBGCP6
TUFT1
TULP3
TULP4
TUSC1
TUT1
TUT7
TWF2
TXK
TXLNB
TXN
TXN2
TXNDC17
TXNDC5
TXNDC9
TXNRD2
TYK2
TYMS
TYRO3
TYW5
U2AF1
U2AF2
UAP1L1
UBA52
UBA6
UBA7
UBALD1
UBASH3B
UBE2B
UBE2C
UBE2E2
UBE2G2
UBE2I
UBE2M
UBE2S
UBE2T
UBE2V1
UBE3C
UBE3D
UBE4A
UBQLN4
UBR1
UBR3
UBR5
UBTD1
UBXN1
UBXN10
UBXN11
UBXN6
UBXN8
UCHL1
UCHL5
UEVLD
UGCG
UGDH
UGGT1
UGT1A6
UGT8
UHMK1
UHRF1
ULBP3
ULK1
ULK2
ULK4
UNC119
UNC13A
UNC13C
UNC5C
UNC5CL
UNC93B1
UNK
UNKL
UPF3A
UPF3B
UPK1B
UQCRB
UQCRQ
USB1
USE1
USF2
USP11
USP18
USP20
USP21
USP24
USP27X
USP3
USP34
USP35
USP36
USP37
USP38
USP43
USP51
USP53
USP6NL
USP9X
UTP14C
UTP15
UTRN
VAMP1
VAMP2
VAMP5
VAMP8
VANGL1
VARS2
VASH1
VASN
VASP
VAT1
VAV1
VAV2
VAV3
VCAM1
VCAN
VCPIP1
VDAC2
VEGFB
VEGFC
VILL
VIM
VIPR1
VIT
VKORC1
VLDLR
VMP1
VPS13B
VPS13C
VPS28
VPS35
VPS4A
VPS4B
VPS50
VPS51
VPS9D1
VRK1
VRK2
VSIG2
VSIG4
VSIR
VSTM2L
VTA1
VTCN1
VTI1A
VWA2
VWA5A
VWA8
WAPL
WASF1
WASF2
WASF3
WASHC2A
WASHC2C
WASHC5
WBP1
WBP11
WBP2
WDFY3
WDHD1
WDR19
WDR24
WDR3
WDR43
WDR45
WDR5
WDR59
WDR6
WDR62
WDR7
WDR72
WDR73
WDR76
WDR81
WDR83OS
WDR90
WDR91
WDTC1
WEE1
WFS1
WHAMM
WHRN
WIPF2
WIPF3
WIZ
WNK2
WNK4
WNT2B
WNT4
WNT7A
WRN
WSB1
WSB2
WT1
WTIP
WWC1
WWC3
WWP1
XAB2
XBP1
XIAP
XPNPEP1
XPO4
XPR1
XRCC1
XRCC2
XRCC3
XRCC4
XRN1
YBX1
YBX3
YES1
YIF1B
YIPF5
YJU2
YOD1
YPEL3
YWHAE
ZBED3
ZBED6
ZBTB16
ZBTB17
ZBTB20
ZBTB22
ZBTB3
ZBTB33
ZBTB38
ZBTB4
ZBTB42
ZBTB46
ZBTB47
ZBTB48
ZBTB6
ZC2HC1C
ZC3H11A
ZC3H12A
ZC3H18
ZC3H3
ZC3H7B
ZC3HAV1
ZDBF2
ZDHHC13
ZDHHC2
ZDHHC21
ZER1
ZFAND2B
ZFAND5
ZFHX3
ZFP2
ZFP28
ZFP30
ZFP36
ZFP36L1
ZFP36L2
ZFP69B
ZFPM1
ZFPM2
ZGPAT
ZGRF1
ZHX2
ZHX3
ZKSCAN1
ZMAT3
ZMIZ1
ZMIZ2
ZMPSTE24
ZMYM1
ZMYM2
ZMYM3
ZMYND8
ZNF10
ZNF101
ZNF106
ZNF124
ZNF135
ZNF138
ZNF148
ZNF155
ZNF165
ZNF174
ZNF184
ZNF195
ZNF205
ZNF212
ZNF213
ZNF214
ZNF215
ZNF217
ZNF219
ZNF221
ZNF223
ZNF23
ZNF232
ZNF233
ZNF235
ZNF239
ZNF25
ZNF260
ZNF264
ZNF266
ZNF267
ZNF28
ZNF281
ZNF284
ZNF292
ZNF316
ZNF331
ZNF333
ZNF335
ZNF337
ZNF34
ZNF346
ZNF385A
ZNF395
ZNF396
ZNF41
ZNF414
ZNF423
ZNF425
ZNF428
ZNF429
ZNF431
ZNF440
ZNF443
ZNF444
ZNF451
ZNF460
ZNF468
ZNF471
ZNF480
ZNF484
ZNF486
ZNF496
ZNF500
ZNF511
ZNF512
ZNF512B
ZNF516
ZNF517
ZNF518A
ZNF521
ZNF532
ZNF540
ZNF543
ZNF551
ZNF552
ZNF556
ZNF557
ZNF558
ZNF562
ZNF564
ZNF567
ZNF573
ZNF576
ZNF577
ZNF579
ZNF580
ZNF593
ZNF598
ZNF608
ZNF611
ZNF613
ZNF619
ZNF620
ZNF624
ZNF644
ZNF652
ZNF660
ZNF664
ZNF667
ZNF669
ZNF670
ZNF675
ZNF678
ZNF680
ZNF681
ZNF688
ZNF69
ZNF692
ZNF701
ZNF703
ZNF717
ZNF724
ZNF726
ZNF730
ZNF737
ZNF747
ZNF749
ZNF763
ZNF764
ZNF768
ZNF770
ZNF771
ZNF772
ZNF774
ZNF775
ZNF777
ZNF780A
ZNF782
ZNF783
ZNF790
ZNF792
ZNF800
ZNF805
ZNF81
ZNF852
ZNF860
ZNF888
ZNF92
ZNFX1
ZNRD2
ZNRF2
ZRANB3
ZRSR2
ZSCAN16
ZSCAN18
ZSCAN20
ZSCAN23
ZSCAN26
ZSCAN32
ZSWIM5
ZSWIM7
ZSWIM8
ZUP1
ZWILCH
ZWINT
ZYX
ZZZ3
