"","GAMuT_20095","GAMuT_20104","GAMuT_20800","GAMuT_OV0711","GAMuT_1000"
"ENSG00000136689",97,560,104,651,930
"ENSG00000136699",112,1396,320,548,1091
"ENSG00000136709",1518,4363,2229,3792,3930
"ENSG00000136710",251,1047,378,918,883
"ENSG00000136715",151,1524,285,586,787
"ENSG00000136717",151,2761,259,865,1482
"ENSG00000136718",435,2725,648,1121,1302
"ENSG00000136720",27,279,108,152,242
"ENSG00000136731",2597,8180,4320,6280,7584
"ENSG00000136732",32,50,49,149,131
"ENSG00000136738",578,1535,411,1050,769
"ENSG00000136754",1964,5578,1642,3799,2466
"ENSG00000136758",4651,12217,3438,6606,4806
"ENSG00000136770",899,1982,466,1290,941
"ENSG00000136783",971,1675,594,1225,347
"ENSG00000136802",466,1202,860,1118,1190
"ENSG00000136807",210,1544,281,636,697
"ENSG00000136810",11960,8208,4836,8470,1445
"ENSG00000136811",625,2232,971,782,1010
"ENSG00000136813",6803,12065,4755,7355,3678
"ENSG00000136816",706,2685,409,670,566
"ENSG00000136819",923,1825,929,1072,711
"ENSG00000136824",3046,5044,2071,1945,726
"ENSG00000136826",581,651,984,2249,4227
"ENSG00000136827",602,1734,608,816,445
"ENSG00000136828",953,2047,498,1942,660
"ENSG00000136830",1935,8124,2181,4307,5831
"ENSG00000136840",158,538,247,209,118
"ENSG00000136842",52,16,70,102,21
"ENSG00000136848",787,2356,902,1618,1770
"ENSG00000136854",474,151,1110,220,129
"ENSG00000136856",74,1151,53,227,259
"ENSG00000136859",12,146,95,85,126
"ENSG00000136861",1470,3424,1414,1592,1646
"ENSG00000136866",20,57,5,122,184
"ENSG00000136867",97,258,65,218,109
"ENSG00000136868",1598,2705,884,1468,1210
"ENSG00000136869",386,507,232,1210,335
"ENSG00000136870",1378,2721,1400,2034,721
"ENSG00000136872",927,5385,241,5695,39
"ENSG00000136874",1071,1994,912,1281,856
"ENSG00000136875",732,1881,990,1134,732
"ENSG00000136877",165,1484,196,643,661
"ENSG00000136878",120,720,188,380,439
"ENSG00000136883",269,1117,219,592,446
"ENSG00000136888",2111,2237,2497,2411,1232
"ENSG00000136891",1801,2521,1050,1207,642
"ENSG00000136895",101,557,127,316,141
"ENSG00000136897",1481,1831,1290,1444,495
"ENSG00000136908",211,787,228,332,444
"ENSG00000136925",598,1315,658,1186,597
"ENSG00000136930",1769,3055,1607,1814,1152
"ENSG00000136931",8,10,1,76,84
"ENSG00000136932",449,535,335,638,277
"ENSG00000136933",420,558,437,323,229
"ENSG00000136935",877,816,878,1352,760
"ENSG00000136936",361,332,342,477,262
"ENSG00000136937",2970,4751,2719,3016,1173
"ENSG00000136938",783,1425,864,1062,694
"ENSG00000136940",714,1115,660,1051,535
"ENSG00000136942",7435,15733,5403,7131,4043
"ENSG00000136943",51,449,72,779,255
"ENSG00000136950",366,1443,435,579,575
"ENSG00000136960",12,338,143,950,928
"ENSG00000136982",186,727,284,135,146
"ENSG00000136986",1229,2891,1422,1947,2374
"ENSG00000136997",1012,3664,1771,3257,1821
"ENSG00000136999",13,135,21,7,176
"ENSG00000137033",919,60,23,933,269
"ENSG00000137038",993,1327,752,1144,905
"ENSG00000137040",870,960,1019,1559,900
"ENSG00000137054",531,849,554,605,512
"ENSG00000137055",1392,2457,833,1356,605
"ENSG00000137070",61,157,53,107,132
"ENSG00000137073",1521,2962,1581,2374,1534
"ENSG00000137074",523,1142,501,667,434
"ENSG00000137075",1041,2486,1023,1658,970
"ENSG00000137076",3328,16415,4005,7808,8829
"ENSG00000137094",5,31,27,31,58
"ENSG00000137100",340,483,285,432,473
"ENSG00000137103",50,171,91,247,223
"ENSG00000137106",932,2695,866,1563,1053
"ENSG00000137124",1282,3863,826,975,704
"ENSG00000137133",193,410,230,311,304
"ENSG00000137135",208,903,191,188,183
"ENSG00000137145",10798,9577,5449,12800,5049
"ENSG00000137154",36538,43826,26729,28837,25342
"ENSG00000137161",153,1728,425,569,1269
"ENSG00000137166",195,1937,173,498,1698
"ENSG00000137168",311,1364,608,793,1265
"ENSG00000137171",270,1065,277,1918,1917
"ENSG00000137177",1264,5106,1155,7566,5055
"ENSG00000137185",66,764,89,449,573
"ENSG00000137193",159,1711,128,1122,231
"ENSG00000137198",93,572,61,55,127
"ENSG00000137200",483,2445,503,1405,1853
"ENSG00000137203",50,934,107,139,17
"ENSG00000137207",418,2107,672,1661,2818
"ENSG00000137210",375,1150,318,788,911
"ENSG00000137216",228,2083,265,1170,2261
"ENSG00000137218",7,126,14,54,99
"ENSG00000137221",66,542,105,294,642
"ENSG00000137266",633,1380,978,1928,5695
"ENSG00000137267",51,574,127,283,614
"ENSG00000137269",679,2910,782,1903,2175
"ENSG00000137274",258,908,396,935,537
"ENSG00000137275",608,2396,852,1884,1340
"ENSG00000137288",126,1251,253,433,893
"ENSG00000137309",483,8498,1013,2659,4685
"ENSG00000137310",199,686,295,320,359
"ENSG00000137312",337,3886,468,1304,1952
"ENSG00000137331",158,2705,1012,763,415
"ENSG00000137337",148,998,339,457,786
"ENSG00000137338",16,487,20,40,153
"ENSG00000137343",51,277,87,250,436
"ENSG00000137364",801,2696,767,2118,698
"ENSG00000137393",62,1120,442,646,920
"ENSG00000137404",35,141,56,69,168
"ENSG00000137409",555,5553,1106,2585,5929
"ENSG00000137411",145,897,264,746,956
"ENSG00000137413",231,1249,324,733,1188
"ENSG00000137414",1090,1737,1148,1763,1779
"ENSG00000137449",441,1803,228,1744,793
"ENSG00000137460",188,362,215,820,590
"ENSG00000137462",56,309,140,225,152
"ENSG00000137463",17,0,0,26,47
"ENSG00000137474",24,203,84,98,632
"ENSG00000137478",173,951,351,731,703
"ENSG00000137486",292,1421,284,1089,876
"ENSG00000137491",547,5029,545,3501,890
"ENSG00000137492",415,1828,382,846,807
"ENSG00000137494",127,657,209,582,447
"ENSG00000137496",26,275,54,121,205
"ENSG00000137497",2216,12738,3406,11222,13061
"ENSG00000137500",555,1075,631,1425,1160
"ENSG00000137501",8666,5301,5978,20177,13279
"ENSG00000137502",304,628,328,1094,354
"ENSG00000137504",1421,3919,1265,3355,4177
"ENSG00000137507",124,315,69,298,895
"ENSG00000137509",265,2039,806,862,1239
"ENSG00000137513",363,1117,289,811,701
"ENSG00000137522",163,851,249,589,1009
"ENSG00000137547",1019,1410,1034,1361,788
"ENSG00000137563",364,1569,363,112,614
"ENSG00000137571",169,61,245,182,21
"ENSG00000137573",36,980,1104,178,95
"ENSG00000137574",1357,1912,1411,1641,1373
"ENSG00000137575",3130,4495,3745,4553,5855
"ENSG00000137601",213,293,405,991,866
"ENSG00000137628",1582,16617,1067,4795,1322
"ENSG00000137642",5075,9985,3313,18912,14012
"ENSG00000137648",2751,5773,3602,9011,4542
"ENSG00000137656",197,983,230,467,625
"ENSG00000137672",53,66,145,47,36
"ENSG00000137673",41,435,1786,1770,59
"ENSG00000137691",4,12,1,58,104
"ENSG00000137692",192,1395,213,523,586
"ENSG00000137693",1241,5608,1547,5536,5105
"ENSG00000137699",30,168,1845,461,95
"ENSG00000137700",179,1779,193,1425,1070
"ENSG00000137709",26,28,24,481,58
"ENSG00000137710",204,2560,177,600,2670
"ENSG00000137713",922,3216,1242,2726,1851
"ENSG00000137714",489,1988,285,813,761
"ENSG00000137720",230,210,408,596,340
"ENSG00000137726",28,49,20,193,212
"ENSG00000137727",47,69,10,58,86
"ENSG00000137747",5,173,149,19,142
"ENSG00000137752",200,2670,86,1026,306
"ENSG00000137760",211,341,237,689,613
"ENSG00000137764",268,726,149,775,323
"ENSG00000137766",2,2,0,21,795
"ENSG00000137767",629,1121,917,1204,597
"ENSG00000137770",1235,2048,1633,2530,1441
"ENSG00000137776",1653,4045,1971,4221,4115
"ENSG00000137801",2709,5002,1285,2429,4367
"ENSG00000137802",60,780,89,425,461
"ENSG00000137804",1424,4029,1429,762,759
"ENSG00000137806",173,440,138,386,231
"ENSG00000137807",732,2302,656,542,480
"ENSG00000137809",265,154,17,389,842
"ENSG00000137812",1983,3931,1496,1558,847
"ENSG00000137814",505,1275,633,857,524
"ENSG00000137815",756,2364,856,1952,1517
"ENSG00000137817",30,399,258,1017,939
"ENSG00000137818",1984,10109,1996,9785,6553
"ENSG00000137819",304,490,106,337,34
"ENSG00000137821",78,165,103,352,86
"ENSG00000137822",530,987,496,1163,789
"ENSG00000137824",346,1063,348,905,967
"ENSG00000137825",69,337,61,193,185
"ENSG00000137831",2414,6627,2814,6406,2245
"ENSG00000137834",95,1130,104,467,853
"ENSG00000137841",18,248,68,271,194
"ENSG00000137842",797,1615,947,1522,1258
"ENSG00000137845",3975,10256,4543,11028,8510
"ENSG00000137857",0,158,2,38,367
"ENSG00000137860",0,1876,2,4041,4103
"ENSG00000137868",6,74,9,11,2
"ENSG00000137871",1952,1999,2292,3865,2122
"ENSG00000137872",113,4392,17,798,1186
"ENSG00000137876",1511,1838,1323,2283,1207
"ENSG00000137877",11,592,115,68,72
"ENSG00000137878",63,111,75,143,194
"ENSG00000137880",50,968,73,131,145
"ENSG00000137936",233,720,140,1120,344
"ENSG00000137941",13,377,20,63,976
"ENSG00000137942",1784,6974,2029,7263,5401
"ENSG00000137944",618,1092,536,1161,637
"ENSG00000137947",458,1002,648,1041,919
"ENSG00000137955",2199,3912,1419,3031,1797
"ENSG00000137959",339,17226,23,418,238
"ENSG00000137960",1253,4277,486,3060,1258
"ENSG00000137962",479,1340,1503,4520,641
"ENSG00000137965",149,5000,116,637,503
"ENSG00000137968",9,26,302,9,418
"ENSG00000137992",657,1758,553,1334,1267
"ENSG00000137996",514,2167,478,1278,964
"ENSG00000138002",486,1190,759,1648,1345
"ENSG00000138018",2261,6473,3296,5695,3084
"ENSG00000138028",19,228,285,550,458
"ENSG00000138029",2765,4417,2235,4950,2906
"ENSG00000138030",39,985,69,198,41
"ENSG00000138031",276,1638,670,783,547
"ENSG00000138032",887,3209,1068,2485,1863
"ENSG00000138035",572,2942,1010,1532,835
"ENSG00000138036",541,992,623,845,532
"ENSG00000138039",2,0,0,13,21
"ENSG00000138050",275,762,411,762,494
"ENSG00000138061",29,460,51,450,268
"ENSG00000138069",1818,4868,2610,4450,3569
"ENSG00000138071",3572,11337,5762,8994,5558
"ENSG00000138073",258,1942,519,846,1301
"ENSG00000138074",136,2847,471,644,627
"ENSG00000138078",2061,2284,3265,3506,2527
"ENSG00000138079",1249,1545,15,4161,357
"ENSG00000138080",69,173,35,460,968
"ENSG00000138081",1152,3034,1308,2653,2043
"ENSG00000138085",553,1702,1209,1810,2551
"ENSG00000138092",193,1340,415,330,556
"ENSG00000138095",8367,18837,7490,12233,7104
"ENSG00000138101",41,1142,61,519,188
"ENSG00000138107",732,2075,746,2006,2169
"ENSG00000138109",206,244,12,405,1330
"ENSG00000138111",60,115,52,129,224
"ENSG00000138115",16,32,2,19,51
"ENSG00000138119",4989,3956,6081,11475,7235
"ENSG00000138131",1,5,2,25,19
"ENSG00000138134",739,936,780,1862,166
"ENSG00000138138",2188,1586,1740,3228,1947
"ENSG00000138152",19,15,35,35,124
"ENSG00000138160",2201,1649,1315,992,980
"ENSG00000138161",59,52,69,34,46
"ENSG00000138162",914,2379,721,2307,1260
"ENSG00000138166",201,674,501,515,107
"ENSG00000138172",9,100,106,71,81
"ENSG00000138175",235,204,185,269,239
"ENSG00000138180",1383,1397,705,507,422
"ENSG00000138182",2656,2420,1342,1292,1165
"ENSG00000138185",54,266,248,138,210
"ENSG00000138190",1426,916,986,1983,1167
"ENSG00000138193",949,1157,445,3296,4593
"ENSG00000138207",4,9,14,92,311
"ENSG00000138231",190,630,242,621,832
"ENSG00000138246",2353,6739,2395,5815,4999
"ENSG00000138279",1123,2399,1558,2759,2586
"ENSG00000138286",477,395,373,835,717
"ENSG00000138303",267,419,309,797,553
"ENSG00000138315",27,7,7,40,129
"ENSG00000138316",14,48,23,20,17
"ENSG00000138326",22239,10913,12939,16135,11135
"ENSG00000138336",112,179,45,358,519
"ENSG00000138346",533,752,424,413,435
"ENSG00000138356",16,62,1,189,64
"ENSG00000138363",714,2850,1702,1704,1581
"ENSG00000138375",170,991,374,619,521
"ENSG00000138376",509,1819,1352,871,951
"ENSG00000138378",12,120,18,21,46
"ENSG00000138380",291,315,336,757,402
"ENSG00000138381",877,1203,1281,1481,695
"ENSG00000138382",409,1118,576,722,483
"ENSG00000138385",1070,4688,2350,1997,1498
"ENSG00000138386",2306,1942,4361,3483,5184
"ENSG00000138398",1766,3452,2550,4290,2254
"ENSG00000138399",931,1853,721,2068,1180
"ENSG00000138411",88,337,206,302,399
"ENSG00000138413",1884,19514,2769,6112,8926
"ENSG00000138430",1515,5374,3422,2404,935
"ENSG00000138433",697,885,919,1101,716
"ENSG00000138434",3925,11370,8959,10905,13562
"ENSG00000138439",341,2475,513,1660,918
"ENSG00000138442",629,2291,1021,1779,863
"ENSG00000138443",677,2378,1613,1459,1749
"ENSG00000138448",3141,6720,3775,7298,5330
"ENSG00000138449",6342,7598,15111,37906,2089
"ENSG00000138459",915,925,823,2226,761
"ENSG00000138463",304,781,355,844,435
"ENSG00000138468",935,580,612,2173,1393
"ENSG00000138495",173,297,194,291,267
"ENSG00000138496",719,6733,1506,1535,885
"ENSG00000138587",76,115,30,112,174
"ENSG00000138592",1765,3292,1653,3458,2104
"ENSG00000138593",1104,2626,1334,3785,2760
"ENSG00000138594",2031,5847,2081,4980,3666
"ENSG00000138600",1680,4089,1047,4072,2842
"ENSG00000138604",1595,1261,868,4329,1034
"ENSG00000138606",200,28,617,123,108
"ENSG00000138613",156,722,328,615,394
"ENSG00000138614",731,1855,898,1671,1377
"ENSG00000138615",83,95,1,210,209
"ENSG00000138617",143,249,122,456,233
"ENSG00000138621",46,296,67,193,370
"ENSG00000138623",14,62,39,199,40
"ENSG00000138629",147,863,210,475,531
"ENSG00000138639",61,248,385,363,1076
"ENSG00000138640",1814,9043,952,6684,2342
"ENSG00000138641",831,1032,710,1588,1637
"ENSG00000138642",280,11000,217,905,392
"ENSG00000138646",39,3292,16,187,86
"ENSG00000138658",543,398,591,585,575
"ENSG00000138660",878,840,695,1656,852
"ENSG00000138663",486,1214,552,1082,743
"ENSG00000138668",1447,3825,1770,3820,3596
"ENSG00000138669",15,85,53,153,187
"ENSG00000138670",435,1701,667,696,1337
"ENSG00000138674",3394,6940,3622,9005,7786
"ENSG00000138678",81,169,71,443,713
"ENSG00000138685",28,34,15,142,67
"ENSG00000138686",280,347,336,741,473
"ENSG00000138688",6913,7382,5573,15980,12450
"ENSG00000138696",35,367,3,134,563
"ENSG00000138698",786,1857,751,1404,881
"ENSG00000138709",1104,980,991,2559,1847
"ENSG00000138722",3,5,86,47,15
"ENSG00000138735",2685,2480,435,7234,2707
"ENSG00000138738",72,188,17,269,1172
"ENSG00000138744",191,652,397,573,508
"ENSG00000138750",823,2119,886,1665,1171
"ENSG00000138756",1291,4777,1002,2952,1103
"ENSG00000138757",3599,9782,4456,8298,5571
"ENSG00000138758",2659,8896,2228,5255,4301
"ENSG00000138759",298,9881,68,1934,11111
"ENSG00000138760",3849,9197,3831,10281,6096
"ENSG00000138764",804,1705,776,2498,1646
"ENSG00000138767",1865,2814,1326,3527,1478
"ENSG00000138768",2919,5756,2651,6406,5122
"ENSG00000138771",3522,11764,2236,9628,13767
"ENSG00000138772",1106,3555,1693,4305,3844
"ENSG00000138777",1190,2459,1185,2790,1650
"ENSG00000138778",1998,2381,1120,962,1159
"ENSG00000138780",318,862,365,927,1092
"ENSG00000138785",205,512,236,462,395
"ENSG00000138792",104,4587,220,154,232
"ENSG00000138794",616,1023,313,1111,535
"ENSG00000138795",70,469,41,61,31
"ENSG00000138796",799,1525,709,2025,1364
"ENSG00000138801",617,1582,1072,1665,3501
"ENSG00000138802",1141,1746,1186,2854,2300
"ENSG00000138814",1298,1952,1775,4233,2930
"ENSG00000138821",1490,501,1751,192,518
"ENSG00000138823",21,4794,1,6031,962
"ENSG00000138829",520,59,48,661,710
"ENSG00000138834",122,750,229,791,1134
"ENSG00000138835",396,2114,527,923,1193
"ENSG00000138867",1264,2497,1538,4310,2523
"ENSG00000138942",187,733,205,611,581
"ENSG00000138964",19,139,59,90,49
"ENSG00000139044",300,1919,297,1716,2732
"ENSG00000139083",1000,3457,1122,2141,1591
"ENSG00000139112",193,752,302,455,491
"ENSG00000139116",1592,2347,1126,2681,1301
"ENSG00000139117",50,398,54,896,770
"ENSG00000139131",286,1144,239,696,337
"ENSG00000139132",3195,4587,2254,7266,5527
"ENSG00000139133",180,432,210,513,237
"ENSG00000139144",0,1944,0,1507,3194
"ENSG00000139146",1244,2215,1147,2095,703
"ENSG00000139154",767,1425,672,2045,1085
"ENSG00000139160",78,166,60,271,147
"ENSG00000139163",4728,6248,3623,11341,9463
"ENSG00000139168",600,1124,460,951,534
"ENSG00000139173",421,606,200,729,149
"ENSG00000139174",81,131,19,226,418
"ENSG00000139178",177,1499,385,887,1306
"ENSG00000139180",570,1406,296,793,426
"ENSG00000139182",66,646,118,380,602
"ENSG00000139190",20,100,33,50,47
"ENSG00000139192",278,1091,202,807,552
"ENSG00000139197",444,1963,259,896,600
"ENSG00000139211",342,344,369,480,232
"ENSG00000139218",6418,9600,4615,10234,3939
"ENSG00000139220",20,8,7,197,26
"ENSG00000139233",396,564,274,499,304
"ENSG00000139263",1695,5308,647,5094,2212
"ENSG00000139266",75,294,94,250,253
"ENSG00000139278",128,203,145,488,183
"ENSG00000139289",1899,1011,3663,2533,425
"ENSG00000139291",328,1841,232,1206,460
"ENSG00000139292",22,688,24,198,3
"ENSG00000139318",1911,1723,4221,5461,1441
"ENSG00000139323",2214,1537,1457,2849,1122
"ENSG00000139324",1337,2493,1117,2317,1156
"ENSG00000139329",755,487,587,2811,647
"ENSG00000139343",383,1197,340,490,367
"ENSG00000139350",914,1772,644,1260,558
"ENSG00000139354",891,2108,442,1221,5383
"ENSG00000139364",51,18,100,45,6
"ENSG00000139370",225,1252,322,1160,496
"ENSG00000139372",256,621,189,453,295
"ENSG00000139405",139,956,95,368,282
"ENSG00000139410",31,650,61,153,174
"ENSG00000139428",386,1011,286,611,444
"ENSG00000139433",373,1026,295,618,396
"ENSG00000139436",833,1636,732,1917,1163
"ENSG00000139437",212,935,191,529,281
"ENSG00000139438",74,253,24,37,20
"ENSG00000139496",2316,3804,1822,3940,2552
"ENSG00000139505",1210,1478,874,1823,1375
"ENSG00000139508",977,1424,111,1288,750
"ENSG00000139514",1470,4290,941,1821,2758
"ENSG00000139515",44,73,18,101,456
"ENSG00000139517",1088,2615,591,2283,2740
"ENSG00000139531",110,984,189,450,357
"ENSG00000139540",150,2931,47,2258,1122
"ENSG00000139546",109,755,110,375,307
"ENSG00000139567",279,940,125,136,107
"ENSG00000139579",231,1056,264,386,299
"ENSG00000139597",473,259,429,386,398
"ENSG00000139613",898,3165,891,2367,2005
"ENSG00000139618",2069,2551,1725,1176,1014
"ENSG00000139620",438,1152,469,966,666
"ENSG00000139624",176,763,307,563,485
"ENSG00000139625",28,55,36,207,117
"ENSG00000139626",35,298,36,90,63
"ENSG00000139629",422,2645,328,2105,3756
"ENSG00000139631",88,254,63,361,295
"ENSG00000139636",227,854,171,709,379
"ENSG00000139637",190,834,205,610,509
"ENSG00000139641",995,6044,1636,2899,2767
"ENSG00000139644",14889,43089,13547,28303,22945
"ENSG00000139645",500,4648,482,1115,840
"ENSG00000139651",567,2505,514,1049,817
"ENSG00000139668",706,876,507,731,489
"ENSG00000139675",31,35,41,76,64
"ENSG00000139679",361,396,446,897,534
"ENSG00000139684",3012,2541,1718,2599,2070
"ENSG00000139687",2544,3362,1538,3432,2218
"ENSG00000139697",3534,7884,3041,4736,3310
"ENSG00000139718",104,1179,102,439,545
"ENSG00000139719",180,586,143,401,188
"ENSG00000139722",395,1105,498,1134,2119
"ENSG00000139725",94,199,73,641,341
"ENSG00000139726",931,2857,883,1489,784
"ENSG00000139734",564,1434,307,267,382
"ENSG00000139737",2,19,0,433,1360
"ENSG00000139746",2845,3083,1844,3896,3726
"ENSG00000139793",2719,3330,3595,5505,4144
"ENSG00000139826",1206,1250,459,1723,1293
"ENSG00000139832",288,818,171,637,1048
"ENSG00000139835",356,928,153,608,642
"ENSG00000139842",1965,3112,1509,3694,3474
"ENSG00000139865",56,636,46,212,933
"ENSG00000139874",35,486,43,535,961
"ENSG00000139880",16,194,47,63,174
"ENSG00000139899",8,45,14,44,47
"ENSG00000139910",19,0,3,73,194
"ENSG00000139921",1085,3475,1284,2552,2627
"ENSG00000139926",87,314,366,282,168
"ENSG00000139946",165,758,681,2764,2919
"ENSG00000139970",4,63,8,31,23
"ENSG00000139971",70,40,24,175,84
"ENSG00000139973",4,4,1,194,882
"ENSG00000139974",137,337,310,380,436
"ENSG00000139977",673,1977,745,1759,1336
"ENSG00000139990",350,1827,547,1317,2759
"ENSG00000139998",854,1835,1199,437,703
"ENSG00000140006",358,963,462,811,660
"ENSG00000140009",139,7,0,559,318
"ENSG00000140022",373,868,392,1610,1053
"ENSG00000140025",158,440,156,286,208
"ENSG00000140030",41,89,85,69,26
"ENSG00000140043",150,188,163,295,351
"ENSG00000140044",70,455,38,339,376
"ENSG00000140057",134,170,309,145,229
"ENSG00000140092",106,36,59,541,2351
"ENSG00000140104",51,321,74,197,382
"ENSG00000140105",453,4268,776,1240,1668
"ENSG00000140153",241,913,402,814,1172
"ENSG00000140157",840,2989,912,2272,1591
"ENSG00000140199",808,971,792,1885,1645
"ENSG00000140259",470,1147,758,1025,962
"ENSG00000140262",3404,4891,2931,4982,2735
"ENSG00000140263",159,2124,306,796,566
"ENSG00000140264",1711,8565,3207,5150,9019
"ENSG00000140265",394,1160,461,1057,1026
"ENSG00000140274",0,1698,1,168,177
"ENSG00000140279",20,12100,23,2150,1589
"ENSG00000140280",91,454,146,244,111
"ENSG00000140284",667,1387,400,818,590
"ENSG00000140297",2582,14172,3283,15129,10566
"ENSG00000140299",816,2142,970,2664,1790
"ENSG00000140307",255,1460,305,407,286
"ENSG00000140319",1040,2243,1214,2381,2237
"ENSG00000140320",132,982,135,667,1014
"ENSG00000140323",30,132,27,81,397
"ENSG00000140326",84,810,96,346,408
"ENSG00000140332",152,2619,243,557,1592
"ENSG00000140350",826,4108,1069,2394,2262
"ENSG00000140365",152,800,228,641,655
"ENSG00000140367",409,1567,989,768,816
"ENSG00000140374",1799,3723,1842,3694,1830
"ENSG00000140382",596,1864,761,1982,1764
"ENSG00000140386",631,735,699,1618,1264
"ENSG00000140391",5969,14825,8230,23091,16367
"ENSG00000140395",329,1277,514,1089,1001
"ENSG00000140396",1945,6134,2837,5489,6950
"ENSG00000140398",41,289,41,285,377
"ENSG00000140400",241,1478,318,1649,2331
"ENSG00000140403",506,2251,665,1814,1237
"ENSG00000140406",103,841,206,296,810
"ENSG00000140416",4625,5649,9651,7999,4688
"ENSG00000140443",570,1818,1317,2748,1122
"ENSG00000140450",1408,4151,1160,4227,584
"ENSG00000140451",37,543,26,40,104
"ENSG00000140455",1465,3123,1055,3392,2486
"ENSG00000140459",42,3,0,46,15
"ENSG00000140463",218,366,252,562,688
"ENSG00000140464",214,2557,392,850,858
"ENSG00000140470",41,171,27,81,668
"ENSG00000140471",306,536,477,676,739
"ENSG00000140474",101,1066,227,945,593
"ENSG00000140479",148,2284,373,1404,227
"ENSG00000140497",484,3765,917,2537,4291
"ENSG00000140511",6,70,69,14,47
"ENSG00000140521",396,2248,692,1185,1304
"ENSG00000140525",1163,2819,1630,1287,1377
"ENSG00000140526",5524,5340,8304,33707,16726
"ENSG00000140534",149,1591,170,159,403
"ENSG00000140543",132,199,96,370,240
"ENSG00000140545",64,178,358,190,450
"ENSG00000140548",96,1365,186,454,633
"ENSG00000140553",234,2235,468,1314,1701
"ENSG00000140563",1888,2672,1503,3987,1325
"ENSG00000140564",209,2660,247,1422,4101
"ENSG00000140575",9640,22910,13864,23497,13340
"ENSG00000140577",241,1383,304,906,668
"ENSG00000140598",1394,1835,881,1901,799
"ENSG00000140612",818,1888,1183,1807,2317
"ENSG00000140632",589,2100,911,2412,2509
"ENSG00000140650",475,686,391,995,1034
"ENSG00000140678",43,499,109,197,55
"ENSG00000140682",32,69,62,78,296
"ENSG00000140688",323,1327,447,1496,2432
"ENSG00000140691",20,191,28,142,206
"ENSG00000140694",768,1443,945,1902,1207
"ENSG00000140718",474,701,691,1282,1321
"ENSG00000140740",4109,4814,2734,6546,3686
"ENSG00000140743",483,527,559,951,1039
"ENSG00000140749",84,180,143,170,35
"ENSG00000140750",415,800,370,1641,848
"ENSG00000140807",11,78,113,102,90
"ENSG00000140829",247,934,462,1078,1917
"ENSG00000140830",123,271,218,405,268
"ENSG00000140832",401,1101,383,1046,400
"ENSG00000140835",50,363,256,1145,2324
"ENSG00000140836",554,2464,733,2180,1761
"ENSG00000140848",150,299,236,246,288
"ENSG00000140853",279,1799,521,418,502
"ENSG00000140854",66,338,107,298,519
"ENSG00000140859",34,680,146,198,507
"ENSG00000140873",34,1,1,36,69
"ENSG00000140876",99,58,71,144,51
"ENSG00000140931",37,81,134,138,122
"ENSG00000140937",1079,541,369,3003,1178
"ENSG00000140939",56,207,149,313,297
"ENSG00000140941",529,420,792,974,737
"ENSG00000140943",992,2940,1400,3288,3942
"ENSG00000140945",18,256,529,50,52
"ENSG00000140948",559,1248,558,1823,1430
"ENSG00000140950",215,1082,361,1091,564
"ENSG00000140961",13,90,19,95,485
"ENSG00000140968",650,2141,456,1464,770
"ENSG00000140983",114,1004,131,641,1303
"ENSG00000140987",155,402,241,469,468
"ENSG00000140988",2130,2955,2058,4170,2936
"ENSG00000140990",279,944,351,791,1152
"ENSG00000140992",365,954,515,1227,1125
"ENSG00000140993",29,282,10,157,266
"ENSG00000140995",111,650,132,577,835
"ENSG00000141002",528,1545,707,1815,2536
"ENSG00000141012",49,441,109,342,780
"ENSG00000141013",158,413,215,420,694
"ENSG00000141026",113,493,116,333,292
"ENSG00000141027",3811,15151,3591,10189,6645
"ENSG00000141030",802,1756,850,1420,537
"ENSG00000141034",195,652,196,389,255
"ENSG00000141040",18,102,8,194,150
"ENSG00000141052",111,13,8,572,451
"ENSG00000141068",111,415,173,498,378
"ENSG00000141076",429,783,523,913,784
"ENSG00000141084",182,552,237,620,673
"ENSG00000141098",127,436,202,575,702
"ENSG00000141101",482,786,598,1081,1228
"ENSG00000141127",227,1304,404,808,601
"ENSG00000141179",318,484,375,700,840
"ENSG00000141198",2008,1251,1955,3715,3825
"ENSG00000141219",307,402,359,894,1661
"ENSG00000141232",615,1310,1251,3402,4223
"ENSG00000141252",783,2056,1011,1785,1209
"ENSG00000141258",120,843,267,902,1525
"ENSG00000141279",1746,3123,2146,4201,5079
"ENSG00000141293",243,101,445,389,90
"ENSG00000141295",97,388,134,344,1108
"ENSG00000141298",547,1548,841,1581,2757
"ENSG00000141337",7,21,19,84,242
"ENSG00000141338",147,28,2,707,592
"ENSG00000141349",94,887,163,548,1156
"ENSG00000141367",11630,21823,13219,25329,40979
"ENSG00000141376",192,847,387,1073,1659
"ENSG00000141378",354,451,408,631,937
"ENSG00000141380",1196,3255,799,2806,1801
"ENSG00000141384",330,848,165,682,401
"ENSG00000141385",1363,4653,551,3733,2627
"ENSG00000141401",294,1122,162,1019,610
"ENSG00000141404",28,192,7,123,32
"ENSG00000141424",535,1300,675,1487,803
"ENSG00000141425",1248,4361,778,2948,1563
"ENSG00000141428",243,367,114,267,160
"ENSG00000141429",3476,4677,1790,6727,2305
"ENSG00000141431",40,5,0,128,71
"ENSG00000141441",603,1675,652,2203,1765
"ENSG00000141446",949,2637,649,2137,3534
"ENSG00000141447",525,2271,283,2644,969
"ENSG00000141448",526,3081,213,1956,4503
"ENSG00000141449",6,16,0,1176,220
"ENSG00000141452",216,1406,112,575,582
