"","GAMuT_23091","GAMuT_32035","GAMuT_32810","GAMuT_41361","GAMuT_41828","GAMuT_49009","GAMuT_51027","GAMuT_51052","GAMuT_51056","GAMuT_70066","GAMuT_IC294"
"ENSG00000162882",25,18,33,21,26,16,29,12,7,65,10
"ENSG00000162885",717,538,1204,667,610,388,548,514,913,907,985
"ENSG00000162889",1550,1013,2601,907,1965,946,1411,952,1352,1042,1306
"ENSG00000162896",33309,66170,49319,10193,14613,18707,108121,14658,108597,37764,78339
"ENSG00000162909",12461,8327,22513,10562,20672,5926,8781,12511,7226,5155,11263
"ENSG00000162910",386,173,372,140,248,172,214,190,308,199,150
"ENSG00000162923",3252,4109,11087,4909,5869,3181,3230,4243,6035,5663,6022
"ENSG00000162924",589,939,1296,971,1195,767,680,1080,1050,1182,1313
"ENSG00000162927",221,333,645,449,511,413,222,412,452,566,370
"ENSG00000162928",1253,1243,2109,1642,2257,1192,890,1596,894,1395,1462
"ENSG00000162929",298,436,482,611,722,691,390,673,278,646,676
"ENSG00000162944",134,151,267,210,132,71,202,22,166,538,187
"ENSG00000162946",167,307,641,304,332,178,394,243,220,774,421
"ENSG00000162949",1254,1424,530,2282,1871,1945,972,2988,1220,1604,1183
"ENSG00000162959",32,166,245,268,165,104,63,298,266,290,354
"ENSG00000162961",605,445,778,482,906,363,385,511,317,544,380
"ENSG00000162971",436,680,806,877,701,561,474,976,666,818,904
"ENSG00000162972",244,192,261,184,315,157,154,189,104,236,167
"ENSG00000162976",838,636,788,437,1264,567,630,668,431,920,411
"ENSG00000162980",1894,1983,2459,2210,3091,1223,1277,2134,1475,2693,2348
"ENSG00000162981",108,170,89,106,199,159,152,385,84,540,354
"ENSG00000162989",11,44,542,53,5,93,3,8,125,531,104
"ENSG00000162994",247,306,297,451,387,194,188,409,418,506,523
"ENSG00000162997",47,89,56,72,50,37,43,78,69,71,106
"ENSG00000162998",140,199,2794,254,129,416,204,39,106,1588,169
"ENSG00000162999",315,325,385,245,715,114,145,220,166,366,394
"ENSG00000163001",920,712,629,574,999,533,597,782,491,845,510
"ENSG00000163002",481,499,550,505,664,340,423,471,442,571,681
"ENSG00000163006",157,244,250,227,267,159,191,271,259,418,340
"ENSG00000163013",56,139,149,216,78,74,139,139,75,423,127
"ENSG00000163017",769,71,377,97,106,123,425,1,423,729,295
"ENSG00000163026",264,290,372,274,388,232,315,290,234,384,299
"ENSG00000163029",1424,1350,2057,1867,2336,1271,1387,1510,1353,2113,1741
"ENSG00000163041",280,329,615,367,303,266,200,421,362,262,423
"ENSG00000163050",1955,1344,2496,1331,1247,868,1076,1606,1489,1103,1703
"ENSG00000163053",87,76,112,114,112,14,72,11,92,484,149
"ENSG00000163069",1060,945,1258,1087,1809,583,843,1203,821,1617,1196
"ENSG00000163071",1398,892,689,420,1408,417,1049,910,575,440,802
"ENSG00000163072",2772,956,1374,1267,2657,874,1010,1174,1613,943,1748
"ENSG00000163075",16,14,15,75,38,4,26,33,79,57,22
"ENSG00000163082",1811,1889,2663,1725,2783,1577,1562,2712,1357,1567,1540
"ENSG00000163083",43,133,32,76,28,47,175,4,54,32,28
"ENSG00000163093",30,63,66,56,36,35,41,79,44,90,66
"ENSG00000163104",2016,2160,2973,2307,3161,1748,1662,2797,2193,2821,2571
"ENSG00000163106",326,96,88,85,39,107,134,14,68,104,35
"ENSG00000163110",6525,6892,10207,9020,13351,4664,4244,8473,4017,4705,6406
"ENSG00000163116",49,66,97,81,50,42,37,96,73,83,122
"ENSG00000163125",1247,1582,4689,1615,1868,1247,1329,1834,3135,2097,3245
"ENSG00000163131",8574,5936,22994,2107,7080,5367,5388,1694,5368,4967,8595
"ENSG00000163138",279,488,513,456,545,349,396,586,457,544,594
"ENSG00000163145",62,130,386,148,75,39,200,18,380,699,161
"ENSG00000163155",181,217,485,199,242,162,178,216,231,304,280
"ENSG00000163156",233,200,517,236,287,160,198,226,342,245,244
"ENSG00000163159",528,387,919,391,608,283,470,348,541,485,486
"ENSG00000163161",983,1056,1158,1076,1118,872,1034,1251,818,1182,1076
"ENSG00000163162",1378,1730,3134,1999,2652,1605,1469,2074,1149,1631,2336
"ENSG00000163166",1594,1706,2758,1511,1780,1357,1458,1429,1503,1967,1920
"ENSG00000163170",258,113,186,102,317,74,109,111,89,97,177
"ENSG00000163171",260,323,765,672,237,292,382,270,600,961,463
"ENSG00000163191",2140,2264,6915,1667,4692,1803,2771,2234,2862,1050,1978
"ENSG00000163214",818,934,1033,891,1038,600,821,833,904,1403,1019
"ENSG00000163219",146,289,398,261,207,247,263,60,284,323,272
"ENSG00000163220",70,93,57,19,20,12,62,36,14,55,12
"ENSG00000163235",1179,1054,1065,1869,3112,1195,1097,1230,623,579,758
"ENSG00000163249",529,372,518,411,821,384,393,503,362,498,412
"ENSG00000163251",2908,3485,3831,5848,5141,4945,2150,5747,2037,3478,2493
"ENSG00000163257",973,1407,1756,1549,1214,984,1074,1358,1179,1840,1829
"ENSG00000163281",403,483,712,485,635,288,393,413,519,899,470
"ENSG00000163291",271,239,523,168,338,160,209,280,279,382,319
"ENSG00000163293",991,677,813,1088,1545,1026,421,1341,751,1021,462
"ENSG00000163297",2077,1956,11036,2462,5157,2509,2154,1173,2227,2562,2778
"ENSG00000163312",479,489,477,538,644,336,348,468,370,658,563
"ENSG00000163319",396,364,407,313,448,321,320,350,254,393,414
"ENSG00000163320",2329,3031,4156,3188,4665,1946,1976,3221,2395,4569,3717
"ENSG00000163322",549,449,470,520,583,198,322,420,363,809,512
"ENSG00000163328",193,210,293,183,237,76,225,61,217,693,286
"ENSG00000163344",637,372,651,377,502,301,402,383,235,314,359
"ENSG00000163346",3357,2431,5845,2471,2843,1709,2918,1486,3112,5745,2052
"ENSG00000163347",1280,2561,6269,3416,2306,936,2417,751,1711,6007,2068
"ENSG00000163348",592,615,1495,645,675,539,680,725,754,748,785
"ENSG00000163349",3413,3452,5058,3381,6024,2549,3101,3797,2954,4872,4146
"ENSG00000163359",9176,10294,22187,8305,5096,7336,27158,910,19893,39146,10596
"ENSG00000163362",1334,1327,6098,1303,1499,1726,1525,1759,2423,1005,2184
"ENSG00000163364",50,81,86,65,45,19,77,11,53,279,69
"ENSG00000163374",609,691,1472,883,844,598,626,712,981,951,1141
"ENSG00000163376",69,60,116,52,179,18,75,40,54,53,56
"ENSG00000163378",447,499,752,638,799,654,404,566,433,803,662
"ENSG00000163382",1072,572,1377,689,1085,374,603,723,737,498,635
"ENSG00000163389",785,605,905,573,1284,479,782,667,712,1026,798
"ENSG00000163393",230,423,525,329,285,510,265,494,231,419,276
"ENSG00000163399",16697,6526,23582,8878,18957,4753,10011,8681,6630,8609,10135
"ENSG00000163406",109,128,611,293,105,678,605,87,451,1207,91
"ENSG00000163412",901,1171,1547,1477,1985,668,859,1449,1045,1352,1393
"ENSG00000163428",1702,2145,2950,1881,3018,1059,1389,2299,2063,4369,2546
"ENSG00000163430",4055,3575,6410,3011,3302,2897,6651,342,3597,16211,4260
"ENSG00000163431",257,318,661,523,251,120,323,50,341,886,319
"ENSG00000163435",5352,7149,18028,9717,5688,10902,8997,6468,7685,4842,7199
"ENSG00000163444",534,394,1082,328,541,357,387,446,708,590,768
"ENSG00000163453",2571,4478,6448,4547,2890,1686,4257,476,4347,9641,3385
"ENSG00000163463",33,78,202,97,81,78,58,123,207,59,179
"ENSG00000163466",6517,4809,6809,5187,10665,4484,4886,4582,4031,4496,4145
"ENSG00000163468",5592,3225,7997,2436,6011,2388,3539,2334,4053,5008,4793
"ENSG00000163472",74,119,171,136,112,129,130,138,122,139,112
"ENSG00000163479",4750,2162,5470,2197,4219,1550,2684,2186,2590,2829,2370
"ENSG00000163481",251,185,289,152,264,159,227,168,144,192,147
"ENSG00000163482",496,991,1192,902,919,733,805,1459,1226,1211,1013
"ENSG00000163491",28,104,86,84,78,61,78,27,107,208,84
"ENSG00000163492",18,29,84,36,46,40,15,13,35,269,53
"ENSG00000163501",489,394,89,605,434,519,416,464,312,441,369
"ENSG00000163507",258,257,421,310,263,162,303,156,243,600,442
"ENSG00000163510",1047,1000,1553,1128,1436,810,787,1048,859,1169,1215
"ENSG00000163512",1238,1118,1277,1139,1857,831,899,1115,866,1701,1238
"ENSG00000163513",7892,5906,7900,6644,13439,4867,7159,9038,4721,4390,6675
"ENSG00000163516",793,938,1464,1243,1060,1034,808,1386,1297,1026,1209
"ENSG00000163517",452,363,444,216,283,270,342,354,159,265,239
"ENSG00000163520",37,5,18,21,8,20,54,3,8,83,17
"ENSG00000163521",155,138,226,71,109,42,109,51,178,333,133
"ENSG00000163527",5640,3836,6859,3570,8109,2640,3375,3730,3733,6646,4893
"ENSG00000163528",302,122,242,158,225,99,163,135,131,181,202
"ENSG00000163531",258,353,543,691,438,460,389,41,356,2234,655
"ENSG00000163535",205,200,225,168,202,132,189,113,178,516,317
"ENSG00000163536",50,27,53,42,41,23,32,34,50,79,38
"ENSG00000163539",2025,2136,2392,2753,2787,1700,1568,2444,1771,3052,2541
"ENSG00000163541",1588,926,1209,1079,1590,732,934,952,769,1504,1097
"ENSG00000163545",58,56,145,98,63,38,78,50,60,127,91
"ENSG00000163558",4773,6574,7516,3129,9072,3275,4618,3683,3861,2194,2736
"ENSG00000163563",53,106,128,36,114,42,94,9,72,142,65
"ENSG00000163565",3907,2234,7934,1456,2379,1968,2139,220,4674,2710,4716
"ENSG00000163577",140,149,139,197,153,31,209,97,162,209,118
"ENSG00000163584",839,559,532,354,807,390,738,420,386,702,535
"ENSG00000163586",0,2,4,9,11,24,0,2,2,47,9
"ENSG00000163590",1377,1102,669,1963,2195,1390,1140,2339,848,1178,507
"ENSG00000163596",111,308,231,296,163,123,131,225,258,528,309
"ENSG00000163597",1969,1211,1209,1008,1726,770,1388,1018,1064,1819,1321
"ENSG00000163602",1077,1309,2499,1355,1846,972,1119,1182,1110,2876,1615
"ENSG00000163605",1815,1883,2847,1910,3454,1286,1331,1849,1369,2655,2170
"ENSG00000163606",12,78,91,45,33,35,58,9,26,58,51
"ENSG00000163607",392,352,417,311,605,287,265,366,251,396,230
"ENSG00000163608",1230,969,1288,1059,1325,870,963,1168,986,1448,1185
"ENSG00000163611",1850,2206,3239,2164,3016,2249,1370,2231,1857,2162,2238
"ENSG00000163617",307,541,498,552,421,401,429,615,536,625,482
"ENSG00000163618",243,661,2460,1551,77,472,401,808,1899,501,1224
"ENSG00000163624",1813,2237,3496,2200,2817,2114,1169,2775,1216,1367,2166
"ENSG00000163625",2903,4323,5856,5661,4826,3895,3954,4806,4320,6924,5196
"ENSG00000163626",619,497,592,378,641,306,353,529,324,495,520
"ENSG00000163629",2257,1425,683,1233,2179,142,600,817,2203,2762,624
"ENSG00000163633",158,228,218,294,318,174,93,301,144,212,308
"ENSG00000163634",773,553,926,519,823,376,508,474,592,797,730
"ENSG00000163635",940,1430,2283,1916,2090,1379,1138,2261,1662,1918,1952
"ENSG00000163636",1219,1067,1396,1121,1776,747,863,975,843,1440,1112
"ENSG00000163637",590,901,887,834,768,262,837,67,527,1883,793
"ENSG00000163638",1095,1139,2798,573,1253,309,2860,1873,3357,2782,5917
"ENSG00000163644",1154,817,1235,744,1694,461,523,731,1055,2412,1051
"ENSG00000163655",1970,1572,1935,1622,2340,1076,1627,1693,1338,2731,1956
"ENSG00000163659",2129,1990,3178,2316,5394,2139,1605,2821,1683,1661,2173
"ENSG00000163660",3076,4680,6425,6334,7427,4516,3592,6309,4842,5241,6721
"ENSG00000163681",2935,3593,4986,4184,6077,3145,3248,5066,3460,3666,4211
"ENSG00000163682",919,1454,1259,1237,1680,575,1320,881,999,1980,1145
"ENSG00000163683",8997,6730,8315,7981,16713,4175,3749,8989,2150,5639,4301
"ENSG00000163684",476,435,539,465,530,288,296,482,398,666,541
"ENSG00000163686",785,448,452,671,1222,441,485,717,330,560,318
"ENSG00000163689",17,24,28,19,25,61,29,1,19,106,29
"ENSG00000163694",5938,4299,7072,5468,9636,4216,3246,7370,3182,3420,4827
"ENSG00000163697",1803,1130,2071,2708,2920,1089,1296,1807,1563,2345,1180
"ENSG00000163701",451,703,1265,1120,933,884,438,1404,410,774,710
"ENSG00000163702",580,363,553,380,416,283,430,283,220,335,323
"ENSG00000163703",507,443,656,486,665,466,378,517,309,322,297
"ENSG00000163704",21,14,26,31,20,11,33,26,17,37,18
"ENSG00000163710",47,36,24,90,86,3,31,7,37,100,40
"ENSG00000163714",3234,4673,6358,4894,4892,3310,3404,5372,4969,6012,5954
"ENSG00000163719",742,626,1173,832,807,653,703,798,592,762,731
"ENSG00000163728",1769,3082,4029,3118,3320,2465,2044,3284,3156,4028,3813
"ENSG00000163734",203,1037,305,264,532,190,591,286,1112,148,782
"ENSG00000163735",41,2118,1191,119,1223,12,1,186,300,6,1
"ENSG00000163738",183,288,468,406,473,238,182,467,349,616,567
"ENSG00000163739",25,39,39,103,227,16,203,20,294,25,335
"ENSG00000163743",654,884,965,821,1090,612,481,884,500,1099,817
"ENSG00000163754",631,532,955,385,796,349,504,414,393,693,427
"ENSG00000163755",1008,1162,1627,929,1548,708,809,1060,976,1162,1106
"ENSG00000163762",133,699,957,150,158,50,135,588,462,630,265
"ENSG00000163781",1519,1557,2065,1560,2088,1501,1432,1673,1469,2398,2135
"ENSG00000163785",1839,2082,3012,2234,3030,1578,1782,2227,2121,4204,2583
"ENSG00000163788",1569,1590,2208,1689,2115,1104,1583,1724,1114,2096,1783
"ENSG00000163792",194,104,241,228,74,89,155,8,111,877,195
"ENSG00000163795",321,274,311,218,325,315,265,354,208,167,205
"ENSG00000163798",583,563,852,570,730,486,517,518,547,639,537
"ENSG00000163803",206,281,224,307,470,360,238,226,148,110,209
"ENSG00000163806",37,96,114,201,98,102,75,158,102,122,102
"ENSG00000163807",664,503,902,533,767,379,487,538,375,875,683
"ENSG00000163808",159,142,137,157,137,133,205,54,105,426,328
"ENSG00000163811",1956,1849,2018,1754,2478,1265,1755,1856,1817,2340,2193
"ENSG00000163812",3448,2846,4374,4257,4993,2740,2953,3509,2219,2718,3132
"ENSG00000163814",2091,2169,4282,2881,3215,2253,2575,2857,1813,1507,2244
"ENSG00000163817",1470,2950,2480,2727,3932,639,1656,2308,2738,801,2330
"ENSG00000163818",748,825,1078,748,992,437,590,816,806,1109,860
"ENSG00000163820",2948,2784,3985,3250,2891,2303,2417,2916,2328,3897,2724
"ENSG00000163823",47,209,164,47,107,73,177,18,91,187,100
"ENSG00000163827",39,32,64,103,45,18,36,15,72,149,104
"ENSG00000163832",557,340,429,333,472,245,383,350,295,567,298
"ENSG00000163840",2999,2980,6132,2388,5038,2341,3439,4374,3613,3856,4747
"ENSG00000163848",2645,3220,4935,3247,4863,2177,2083,3222,2808,4727,3693
"ENSG00000163864",75,114,148,108,68,75,95,59,112,185,90
"ENSG00000163866",857,573,522,629,965,477,622,651,383,620,506
"ENSG00000163867",404,705,850,785,868,416,399,936,585,802,829
"ENSG00000163870",494,356,502,311,493,270,391,363,242,402,336
"ENSG00000163872",1276,1450,1873,1719,1831,1500,1918,1642,1790,2305,1645
"ENSG00000163874",380,458,621,715,308,752,707,274,376,292,474
"ENSG00000163875",870,1045,1306,972,1670,594,671,1031,718,1167,738
"ENSG00000163877",627,525,808,556,901,475,530,603,401,592,505
"ENSG00000163879",365,394,394,327,609,177,332,431,448,485,425
"ENSG00000163882",1030,717,882,715,946,653,948,847,493,738,672
"ENSG00000163884",144,37,70,33,122,7,44,36,82,120,63
"ENSG00000163898",6895,4424,9502,7101,12955,5893,2726,8028,2269,3439,3838
"ENSG00000163900",722,629,720,668,935,445,634,800,679,1004,744
"ENSG00000163902",11672,4702,7697,3503,12874,3710,6063,5104,3653,4520,4284
"ENSG00000163904",1250,1062,1624,1138,1654,940,893,1310,1085,1401,1129
"ENSG00000163909",372,632,1141,410,259,580,1498,21,336,1149,521
"ENSG00000163913",1244,806,846,820,1600,940,912,1070,838,1008,783
"ENSG00000163918",218,183,205,181,237,175,229,177,156,271,281
"ENSG00000163923",69,54,38,27,44,12,75,42,40,88,62
"ENSG00000163930",849,699,1004,809,843,649,962,821,585,944,735
"ENSG00000163931",4260,1867,1455,2107,2414,1218,2080,2043,1718,2453,1722
"ENSG00000163932",1225,1189,2134,1444,1903,1590,1307,1953,642,1407,973
"ENSG00000163933",428,412,593,408,487,300,403,434,443,585,524
"ENSG00000163935",1177,822,1212,841,1335,1085,785,837,513,790,731
"ENSG00000163938",2726,1974,2342,1268,2273,1514,1915,1681,2325,2128,2607
"ENSG00000163939",3250,3355,5510,3835,4748,3100,2979,3679,3082,4750,3484
"ENSG00000163945",402,772,847,750,543,822,576,873,727,750,859
"ENSG00000163946",3633,3616,5142,4065,4944,2516,2912,3950,2845,5533,4262
"ENSG00000163947",1174,788,974,987,1366,994,1020,1266,991,954,1002
"ENSG00000163950",610,510,722,580,787,420,593,556,376,790,569
"ENSG00000163956",2197,1087,1369,918,1392,1113,1592,1068,715,1246,798
"ENSG00000163960",1807,2202,3370,2627,2765,1729,1851,2149,1614,3543,2601
"ENSG00000163961",1349,1150,1550,1293,1790,1141,1155,1206,857,1530,1443
"ENSG00000163964",477,351,503,315,508,215,322,279,244,493,403
"ENSG00000163975",92,45,95,135,197,37,240,32,112,27,21
"ENSG00000163993",36232,10540,11535,11285,37768,10994,12124,11644,2799,4486,7921
"ENSG00000163995",112,144,283,227,147,131,132,241,153,98,179
"ENSG00000164002",150,116,139,132,173,100,167,139,133,302,146
"ENSG00000164008",202,144,153,155,192,105,115,143,112,178,128
"ENSG00000164010",741,547,460,492,550,349,449,683,389,597,399
"ENSG00000164011",157,186,219,155,190,134,168,187,181,220,182
"ENSG00000164022",1484,1261,1909,1010,1894,983,1096,1327,818,1372,1416
"ENSG00000164023",2775,2072,3918,3108,7910,1692,2008,3223,1289,1589,2032
"ENSG00000164024",1153,1001,1022,1146,1538,888,966,1377,810,1207,1049
"ENSG00000164031",1956,2639,3734,2713,4438,1709,1486,3339,2194,3218,3208
"ENSG00000164032",1704,1250,1543,885,2063,949,1447,964,388,1380,1107
"ENSG00000164035",88,92,117,101,86,26,55,19,186,461,292
"ENSG00000164038",931,1666,1167,958,1676,392,1689,1438,1865,670,1481
"ENSG00000164039",861,1205,1050,1171,1048,767,936,1278,620,1182,940
"ENSG00000164040",1464,2093,2870,3232,2461,2546,1424,3778,1542,2902,2160
"ENSG00000164045",92,55,72,53,87,51,94,82,64,127,96
"ENSG00000164048",272,358,484,440,363,288,330,521,367,501,302
"ENSG00000164050",1355,1769,2480,1942,1468,1745,2211,1852,1846,1480,1622
"ENSG00000164051",273,178,235,135,232,116,222,129,185,224,170
"ENSG00000164054",2299,1424,2539,1283,2219,1185,2240,1508,1531,1797,1524
"ENSG00000164056",510,629,862,485,614,667,542,595,596,512,855
"ENSG00000164061",17,21,25,130,17,22,49,20,39,64,28
"ENSG00000164062",2242,1348,1523,1177,2209,1091,1642,1574,847,1043,1057
"ENSG00000164066",699,1026,1315,1083,847,896,953,1431,1161,1290,1382
"ENSG00000164068",500,518,724,556,624,513,601,621,474,655,512
"ENSG00000164070",488,325,413,341,709,87,281,225,190,211,537
"ENSG00000164073",942,802,1176,1077,1522,612,621,1139,697,1005,1074
"ENSG00000164074",583,719,865,927,887,820,504,929,706,879,816
"ENSG00000164077",188,81,156,99,163,79,145,115,114,124,109
"ENSG00000164078",3073,2267,4017,2423,3940,2505,2598,3796,2145,1476,2786
"ENSG00000164080",880,1193,1648,1361,1220,1099,1192,1459,1021,1609,1384
"ENSG00000164081",1116,676,819,407,948,562,641,725,503,711,496
"ENSG00000164086",197,169,177,158,219,99,212,68,123,173,176
"ENSG00000164087",113,76,69,56,91,68,133,52,65,156,82
"ENSG00000164088",147,174,159,233,203,146,249,203,103,288,141
"ENSG00000164091",2467,2795,3751,3040,3350,2189,2712,2445,1928,4032,2586
"ENSG00000164096",1772,2116,2003,1409,1811,1922,2250,1025,1064,2635,1355
"ENSG00000164099",926,2184,1970,1079,1160,3280,1367,3758,1718,1983,2569
"ENSG00000164104",762,653,1010,927,846,499,667,321,382,1575,873
"ENSG00000164105",106,59,287,466,226,73,86,57,153,263,97
"ENSG00000164109",139,135,144,93,149,99,163,77,88,301,219
"ENSG00000164111",13774,5873,9285,5436,16087,3196,8145,5896,5296,5081,5772
"ENSG00000164114",786,1063,1293,528,623,623,228,1548,1140,1583,1121
"ENSG00000164116",95,191,252,134,98,38,118,20,286,361,225
"ENSG00000164117",1115,732,891,798,2078,584,529,768,428,707,592
"ENSG00000164118",742,958,1126,1122,3023,556,591,1241,649,922,1072
"ENSG00000164120",5512,6911,10285,9147,16080,7966,1221,21894,4125,9242,7249
"ENSG00000164124",1207,1097,2391,1312,2347,1511,910,1548,1155,1719,1611
"ENSG00000164125",915,1681,2250,1789,2101,456,1280,181,3418,12433,2624
"ENSG00000164134",2022,1836,2597,1943,2800,1432,1819,2079,1901,2612,2844
"ENSG00000164136",89,221,441,362,192,230,167,286,181,293,274
"ENSG00000164142",456,524,661,455,474,609,430,761,459,503,352
"ENSG00000164144",2370,2462,4081,2017,3954,1877,1758,2561,1702,2224,2585
"ENSG00000164151",2083,2109,2788,2451,3267,1774,1992,2447,2034,3373,2789
"ENSG00000164161",1015,2479,1770,2137,829,1500,2203,81,315,2851,1544
"ENSG00000164162",271,280,425,316,392,199,229,312,294,412,363
"ENSG00000164163",1973,1837,2251,1322,2327,1035,1448,1602,1560,2549,2246
"ENSG00000164164",1187,1949,2775,2035,2352,1389,1724,2977,1878,2349,2649
"ENSG00000164167",297,283,380,296,453,213,250,239,205,302,331
"ENSG00000164168",1626,1014,1580,1127,2472,894,1013,1382,1091,1349,1256
"ENSG00000164169",565,497,669,629,768,381,453,606,403,727,505
"ENSG00000164171",4543,1970,6990,3584,10632,2193,3834,1557,2168,1124,3309
"ENSG00000164172",818,513,608,540,935,290,367,591,443,765,519
"ENSG00000164176",485,698,1619,1072,806,398,746,67,435,3556,676
"ENSG00000164180",818,1164,1605,1600,1451,1039,783,1628,1260,1772,1556
"ENSG00000164181",409,38,21,214,406,241,139,79,101,451,85
"ENSG00000164182",294,113,151,111,226,89,154,105,108,162,173
"ENSG00000164187",2074,1486,2932,1791,3464,1301,952,2387,1417,1962,2108
"ENSG00000164190",5103,6191,9407,7517,8353,6081,5047,7565,5840,8806,7536
"ENSG00000164197",238,185,320,193,161,52,180,123,319,676,260
"ENSG00000164209",2138,2243,3062,2345,4288,1375,1275,2753,1664,2601,2525
"ENSG00000164211",1487,914,2696,1127,3089,912,386,1393,1464,2371,1646
"ENSG00000164219",1477,1587,2610,1870,2671,1249,1122,2091,1494,2162,2231
"ENSG00000164221",245,264,336,343,390,191,178,362,223,310,281
"ENSG00000164237",144,2687,2944,3963,215,2450,1645,3618,904,2411,3011
"ENSG00000164241",379,429,878,678,441,217,377,967,391,641,503
"ENSG00000164244",3903,3193,6334,3126,7174,2307,2250,3790,2830,3331,3183
"ENSG00000164251",3599,2968,5048,2663,7250,1869,1933,4270,1492,1473,2565
"ENSG00000164252",1610,1511,1950,1446,2272,1097,1148,1450,1290,1951,1510
"ENSG00000164253",865,874,868,777,1213,590,685,779,535,1467,933
"ENSG00000164258",870,652,818,658,923,526,600,538,406,933,619
"ENSG00000164266",61190,26738,30079,13795,57238,21271,27528,37480,8340,13322,11408
"ENSG00000164283",62,236,110,182,41,162,513,6,597,140,129
"ENSG00000164284",482,592,825,511,706,460,526,442,521,705,563
"ENSG00000164291",142,145,153,157,200,77,90,118,140,282,164
"ENSG00000164292",846,890,1298,1036,1404,283,949,69,1190,5916,1252
"ENSG00000164294",1713,887,1298,314,903,642,977,434,1224,1668,848
"ENSG00000164296",272,225,317,207,318,115,208,223,249,310,240
"ENSG00000164300",4671,4354,7619,5660,8824,3090,4691,5507,3751,5438,6126
"ENSG00000164303",382,824,1051,558,483,224,535,39,387,2769,766
"ENSG00000164305",2354,1437,2165,1298,3261,1862,1411,1157,817,1839,1162
"ENSG00000164306",695,417,561,482,603,350,352,303,332,623,547
"ENSG00000164307",3838,3090,5892,2680,4524,2021,3635,2336,2725,3303,3915
"ENSG00000164308",1489,543,952,1348,2801,1871,532,6409,1294,1570,979
"ENSG00000164309",168,137,122,139,126,273,136,67,247,680,144
"ENSG00000164318",63,111,151,75,50,27,82,107,101,222,86
"ENSG00000164323",1627,2156,2489,1774,2901,1150,1457,1150,1963,2719,2149
"ENSG00000164327",2555,2872,5513,4267,4919,3161,2284,3665,3179,3377,4615
"ENSG00000164329",1250,1885,2294,2255,2165,1499,1287,2371,1934,2540,2306
"ENSG00000164330",114,202,212,238,230,68,124,21,294,585,302
"ENSG00000164331",661,599,1421,725,713,412,445,660,458,793,675
"ENSG00000164332",646,592,856,592,1044,469,487,578,425,808,801
"ENSG00000164338",511,463,764,374,624,303,447,479,453,642,581
"ENSG00000164342",842,1164,1435,616,1750,676,956,789,713,1001,1508
"ENSG00000164346",1483,829,1444,956,1746,536,772,968,890,1388,1046
"ENSG00000164347",1361,1057,1552,1460,1959,1343,1088,1441,1041,1209,1371
"ENSG00000164366",447,484,600,445,601,312,366,460,294,531,424
"ENSG00000164379",882,770,480,776,596,576,757,825,624,364,482
"ENSG00000164402",1476,1356,2031,1484,1926,1698,1814,1389,1151,2042,1330
"ENSG00000164403",262,409,282,312,393,351,290,672,464,277,423
"ENSG00000164405",2420,1227,1773,832,2183,1041,1333,1085,533,1118,1122
"ENSG00000164406",21,31,32,50,15,21,13,52,33,73,39
"ENSG00000164414",1224,658,733,675,1649,474,450,780,467,575,676
"ENSG00000164418",262,631,1179,486,173,377,599,67,320,1598,506
"ENSG00000164430",92,182,326,209,88,146,181,129,130,140,216
"ENSG00000164440",43,89,88,102,59,15,36,9,63,322,68
"ENSG00000164442",550,378,398,554,801,214,247,444,476,1563,406
"ENSG00000164463",1636,2119,4427,2463,3239,1568,1205,2356,1600,2839,2379
"ENSG00000164465",1053,772,851,897,1089,839,837,830,579,730,620
"ENSG00000164466",1200,937,1544,1084,1738,806,985,1153,908,1480,1201
"ENSG00000164484",61,129,168,175,79,92,190,19,72,198,93
"ENSG00000164488",46,25,204,85,15,19,92,112,125,0,186
"ENSG00000164494",675,526,834,484,970,393,434,541,475,635,538
"ENSG00000164506",1867,2039,4115,2699,3354,2046,1357,2989,1569,2296,2156
"ENSG00000164535",584,453,572,566,844,424,425,651,355,352,429
"ENSG00000164542",611,444,431,757,1156,236,435,703,423,783,663
"ENSG00000164543",851,636,1063,1207,2232,662,775,965,311,1051,639
"ENSG00000164548",1031,2143,3059,2673,2073,1839,1338,2713,2632,2668,2350
"ENSG00000164574",7931,5292,4483,4633,8743,4711,6479,5890,4574,3790,4185
"ENSG00000164576",1109,1066,1473,1066,1452,885,942,1143,551,1728,1269
"ENSG00000164587",14861,6894,8733,7149,12681,6124,9601,6291,4411,8099,7649
"ENSG00000164591",84,101,169,118,58,47,106,6,43,397,114
"ENSG00000164597",2278,2109,2940,2202,3342,1989,1524,2417,2129,2369,2242
"ENSG00000164603",363,502,743,503,581,402,393,468,424,703,546
"ENSG00000164609",2201,1616,2647,1707,2756,1332,1410,1614,1249,1752,1425
"ENSG00000164610",84,100,122,107,100,85,86,88,77,113,94
"ENSG00000164611",181,83,92,99,108,81,131,33,74,244,154
"ENSG00000164615",873,505,684,453,783,307,440,381,246,744,422
"ENSG00000164626",1982,2338,3610,2218,1100,3032,2163,2650,1479,2282,1680
"ENSG00000164631",1683,1596,2495,1690,2170,1204,1416,1673,1203,2422,2102
"ENSG00000164638",22,16,16,98,15,12,23,3,31,71,14
"ENSG00000164647",305,400,327,153,338,203,188,525,235,224,410
"ENSG00000164649",1863,949,1101,574,1486,712,968,1200,939,795,1246
"ENSG00000164654",1576,1464,1587,1415,2243,1432,1191,1656,1169,1422,1423
