,NCT_ID,Phase,Status,Disease Name,Drug Name,Mechanism of Action,Action Type,Target Approved Name,Target Approved Symbol,Drug Type,Breif Summary,Impact On Cacner Progression,Cancer Type
258,NCT02646748,1,Completed,breast cancer,ITACITINIB,Tyrosine-protein kinase JAK1 inhibitor,INHIBITOR,Janus kinase 1,JAK1,Small molecule,"This is an open-label, multicenter, Phase 1b platform study in subjects with advanced or metastatic solid tumors (Part 1a) and subjects with selected solid tumors (Part 1b and Part 2). Two treatment groups (Group A and Group B) will be evaluated

Part 1a utilizes a 3+3 design to evaluate pembrolizumab and INCB combinations in advanced solid tumors. Group A will evaluate a JAK inhibitor with JAK1 selectivity itacitinib (INCB039110) in combination with pembrolizumab (MK-3475) and Group B will evaluate a PI3K-delta inhibitor (INCB050465) in combination with pembrolizumab to determine the maximum tolerated dose (MTD) or PAD and recommend a dose for the Part 1b safety expansion with each combination.

Once the recommended dose has been identified in Part 1a, subjects with select solid tumor types will be enrolled into safety expansion cohorts based upon prior treatment history with a PD-1 pathway-targeted agent (Part 1b) for each combination.

Part 2 utilizes a Simon 2-Stage design to evaluate INCB050465 in combination with pembrolizumab in patients with small cell lung cancer (SCLC) and a 1 stage design to evaluate the combination in patients with non-small cell lung cancer (NSCLC) and urothelial cancer (UC).",yes,NA
288,NCT02876302,2,"Active, not recruiting",inflammatory breast carcinoma,RUXOLITINIB,Tyrosine-protein kinase JAK2 inhibitor,INHIBITOR,Janus kinase 2,JAK2,Small molecule,"This research study is studying Ruxolitinib as possible treatment for Inflammatory Breast Cancer (IBC).

The Following drugs will be use in combination with Ruxolinitinib.

* Paclitaxel (also called Taxol)
* Doxorubicin also called Adriamycin
* Cyclophosphamide, also called Cytoxan",yes,NA
293,NCT03012230,1,"Active, not recruiting",triple-negative breast cancer,RUXOLITINIB PHOSPHATE,Tyrosine-protein kinase JAK2 inhibitor,INHIBITOR,Janus kinase 2,JAK2,Small molecule,"This phase I trial studies the side effects and best dose of ruxolitinib phosphate when given together with pembrolizumab in treating patients with stage IV triple negative breast cancer that has spread to other places in the body. Immunotherapy with monoclonal antibodies, such as pembrolizumab, may help the body's immune system attack the cancer, and may interfere with the ability of tumor cells to grow and spread. Ruxolitinib phosphate may stop the growth of tumor cells by blocking some of the enzymes needed for cell growth. Giving pembrolizumab and ruxolitinib phosphate together may work better in treating patients with stage IV triple negative breast cancer.",yes,TNBC
411,NCT04520269,1,Recruiting,breast cancer,PACRITINIB,Tyrosine-protein kinase JAK2 inhibitor,INHIBITOR,Janus kinase 2,JAK2,Small molecule,"This is a single arm, open-label, lead in phase Ib dose confirmation, followed by phase II study with 2 parallel study cohorts. Patients will be pre-screened for presence of 1q21.3 copy number amplification in plasma samples prior to screening process. Only patients with confirmed plasma cell-free DNA (cfDNA) 1q21.3 copy number amplification who successfully meet study eligibility criteria will be enrolled.

The phase Ib segment will be carried out in a standard 3+3 design, with a projected enrolment of 3 to 18 patients to determine the RP2D. In the phase II portion, 2 parallel cohorts will be enrolled (Cohort A: 1q21.3 amplified breast cancers, Cohort B: 1q21.3 amplified other solid tumors). Based on the Simon 2 stage optimal design, 12 patients will be enrolled in each cohort for stage I of the study, and assessed for PFS. If at least 3 of 12 patients meet study response criteria, the study will then be expanded to stage 2 to include a total of 25 patients in each cohort. Accounting for 10% attrition rate, a maximum of 28 patients will be enrolled into each cohort for phase II of the study.",yes,NA
89,NCT00509587,2,Completed,breast cancer,PAZOPANIB,Vascular endothelial growth factor receptor inhibitor,INHIBITOR,kinase insert domain receptor,KDR,Small molecule,This phase II trial is studying how well giving pazopanib works in treating patients with recurrent or metastatic invasive breast cancer. Pazopanib may stop the growth of tumor cells by blocking some of the enzymes needed for cell growth and by blocking blood flow to the tumor.,yes,NA
400,NCT04296370,3,Recruiting,breast cancer,RIVOCERANIB,Vascular endothelial growth factor receptor 2 inhibitor,INHIBITOR,kinase insert domain receptor,KDR,Small molecule,"This is a multicenter, randomized, open-label, 3-arm Phase 3 study to evaluate the efficacy and safety of Fluzoparib alone or with Apatinib versus Physicians Choice Chemotherapy, as treatment, in patients with a Germline BRCA Mutation and HER2-negative Metastatic Breast Cancer. The study contains a Safety Lead-in Phase in which the safety and tolerability of Fluzoparib+Apatinib will be assessed prior to the Phase 3 portion of the study.",yes,Her2-
402,NCT04296370,3,Recruiting,breast cancer,RIVOCERANIB MESYLATE,Vascular endothelial growth factor receptor 2 inhibitor,INHIBITOR,kinase insert domain receptor,KDR,Small molecule,"This is a multicenter, randomized, open-label, 3-arm Phase 3 study to evaluate the efficacy and safety of Fluzoparib alone or with Apatinib versus Physicians Choice Chemotherapy, as treatment, in patients with a Germline BRCA Mutation and HER2-negative Metastatic Breast Cancer. The study contains a Safety Lead-in Phase in which the safety and tolerability of Fluzoparib+Apatinib will be assessed prior to the Phase 3 portion of the study.",yes,Her2-
171,NCT01416389,2,Completed,breast cancer,LITRONESIB,Kinesin-like protein 1 inhibitor,INHIBITOR,kinesin family member 11,KIF11,Small molecule,The purpose of the study is to evaluate the anti-tumor activity of LY2523355 relative to ixabepilone for the treatment of metastatic or locally recurrent breast cancer using change in tumor size as a continuous measure of response.,yes,NA
73,NCT00372476,4,Completed,breast cancer,IMATINIB,Stem cell growth factor receptor inhibitor,INHIBITOR,"KIT proto-oncogene, receptor tyrosine kinase",KIT,Small molecule,"This study is designed to investigate the safety and efficacy of the combination of imatinib and vinorelbine in patients with advanced, anthracycline resistant breast cancer",yes,NA
141,NCT01147484,2,Completed,breast cancer,FORETINIB,Stem cell growth factor receptor inhibitor,INHIBITOR,"KIT proto-oncogene, receptor tyrosine kinase",KIT,Small molecule,"The purpose of this study is to find out what effects this new drug foretinib has on this type of breast cancer, called ""triple negative"" breast cancer because the cancer tissue is estrogen, progesterone and HER2 receptor negative.",yes,TNBC
450,NCT05089643,2,Recruiting,triple-negative breast cancer,ANLOTINIB,Stem cell growth factor receptor inhibitor,INHIBITOR,"KIT proto-oncogene, receptor tyrosine kinase",KIT,Small molecule,"The hypothesis of this study is to discover if the capecitabine plus Anlotinib can shrink or slow the growth of pretreated advanced TNBC.

It is a single-arm phase II clinical study of capecitabine combined with antinib in the treatment of recurrent or metastatic triple-negative breast cancer",yes,TNBC
354,NCT03505528,1,Completed,breast cancer,PHENELZINE SULFATE,Monoamine oxidase inhibitor,INHIBITOR,monoamine oxidase A,MAOA,Small molecule,"This phase 1b study will determine the safety and efficacy of combined treatment of Abraxane and phenelzine sulfate (Nardil) for metastatic or locally advanced breast cancer.

Participants may be eligible to join this study if they are aged 18 years or above and have been diagnosed with metastatic breast cancer or inoperable locally advanced breast cancer.

All participants will receive a combination of intravenous Abraxane and an oral dose of phenelzine sulfate. Abraxane will be administered weekly for the first 3 weeks of a 4-week cycle for 3 consecutive cycles. Phenelzine sulfate will be taken daily for the duration of the 3 cycles. Five patient cohort groups will receive a progressively increasing dose of phenelzine sulfate. Safety and efficacy will be assessed weekly over the 3 cycles of treatment.

Although both drugs have been used in clinical care for more than a decade, they have not been intentionally combined together in a cancer therapy setting. This means that the combined effect of these two drugs has not been documented. This is being addressed in this study.",yes,NA
356,NCT03505528,1,Completed,breast cancer,PHENELZINE,Monoamine oxidase inhibitor,INHIBITOR,monoamine oxidase A,MAOA,Small molecule,"This phase 1b study will determine the safety and efficacy of combined treatment of Abraxane and phenelzine sulfate (Nardil) for metastatic or locally advanced breast cancer.

Participants may be eligible to join this study if they are aged 18 years or above and have been diagnosed with metastatic breast cancer or inoperable locally advanced breast cancer.

All participants will receive a combination of intravenous Abraxane and an oral dose of phenelzine sulfate. Abraxane will be administered weekly for the first 3 weeks of a 4-week cycle for 3 consecutive cycles. Phenelzine sulfate will be taken daily for the duration of the 3 cycles. Five patient cohort groups will receive a progressively increasing dose of phenelzine sulfate. Safety and efficacy will be assessed weekly over the 3 cycles of treatment.

Although both drugs have been used in clinical care for more than a decade, they have not been intentionally combined together in a cancer therapy setting. This means that the combined effect of these two drugs has not been documented. This is being addressed in this study.",yes,NA
207,NCT01964924,2,Completed,triple-negative breast cancer,TRAMETINIB,Dual specificity mitogen-activated protein kinase kinase; MEK1/2 inhibitor,INHIBITOR,mitogen-activated protein kinase kinase 1,MAP2K1,Small molecule,"This phase II trial studies how well trametinib and v-akt murine thymoma viral oncogene homolog 1 (Akt) inhibitor GSK2141795 work in treating patients with triple-negative breast cancer (breast cancer cells that do not have estrogen receptors, progesterone receptors, or large amounts of human epidermal growth factor receptor 2 \[HER2/neu\] protein) that has spread to other places in the body. Trametinib and Akt inhibitor GSK2141795 may stop the growth of tumor cells by blocking some of the enzymes needed for cell growth.",yes,TNBC
324,NCT03202316,2,"Active, not recruiting",breast carcinoma,COBIMETINIB,Dual specificity mitogen-activated protein kinase kinase 1 inhibitor,INHIBITOR,mitogen-activated protein kinase kinase 1,MAP2K1,Small molecule,"This phase II trial studies how well atezolizumab, cobimetinib, and eribulin work in treating patients with inflammatory breast cancer that has spread to other places in the body (metastatic). Immunotherapy with monoclonal antibodies, such as atezolizumab, may help the body's immune system attack the cancer, and may interfere with the ability of tumor cells to grow and spread. Cobimetinib may stop the growth of tumor cells by blocking some of the enzymes needed for cell growth. Drugs used in chemotherapy, such as eribulin, work in different ways to stop the growth of tumor cells, either by killing the cells, by stopping them from dividing, or by stopping them from spreading. Giving atezolizumab, cobimetinib, and eribulin may work better in treating patients with inflammatory breast cancer.",yes,NA
469,NCT05608252,1,Recruiting,breast cancer,AVUTOMETINIB,Dual specificity mitogen-activated protein kinase kinase 1 inhibitor,INHIBITOR,mitogen-activated protein kinase kinase 1,MAP2K1,Small molecule,"This research is being done to evaluate the safety and effectiveness of a drug currently known as VS-6766 in combination with the drugs abemaciclib and fulvestrant in HR+/HER2-negative breast cancer.

The names of the study drugs involved in this study are:

* VS-6766
* Abemaciclib
* Fulvestrant",yes,HR+/Her2-
28,NCT00033384,2,Completed,breast cancer,CI-1040,Dual specificity mitogen-activated protein kinase kinase 2 inhibitor,INHIBITOR,mitogen-activated protein kinase kinase 2,MAP2K2,Small molecule,"RATIONALE: CI-1040 may stop the growth of tumors by blocking the enzymes necessary for cancer cell growth and by stopping blood flow to the tumor.

PURPOSE: Phase II trial to study the effectiveness of CI-1040 in treating patients who have metastatic or unresectable breast, colon, pancreatic, or non-small cell lung cancer.",yes,NA
170,NCT01390818,1,Completed,breast cancer,PIMASERTIB,Dual specificity mitogen-activated protein kinase kinase 2 inhibitor,INHIBITOR,mitogen-activated protein kinase kinase 2,MAP2K2,Small molecule,"This research trial is testing a combination of two experimental drugs, MSC1936369B (Mitogen-activated protein extracellular signal-regulated kinase (MEK) Inhibitor) and SAR245409 (Phosphatidylinositol 3-kinase (Pi3K)/Mammalian Target of Rapamycin (mTOR) inhibitor), in the treatment of locally advanced or metastatic solid tumors. The primary purpose of the study is to determine the maximum tolerated dose of the drug combination.",yes,NA
371,NCT03801369,2,Recruiting,triple-negative breast cancer,SELUMETINIB,Dual specificity mitogen-activated protein kinase kinase 2 inhibitor,INHIBITOR,mitogen-activated protein kinase kinase 2,MAP2K2,Small molecule,"This phase II study assesses the efficacy of the combination of olaparib with durvalumab, selumetinib, or capivasertib or ceralasertib alone in the treatment of patients with metastatic triple negative breast cancer (TNBC). Olaparib may stop growth of tumor cells by inhibiting some of the enzymes (ADP ribose polymerase \[PARP\]) needed for cell growth. Durvalumab, a monoclonal antibody, inhibits the growth and spread of tumors by stimulating the patient's antitumor immune response. Selumetinib, capivasertib, and ceralasertib are inhibitor drugs that may stop the growth of tumor cells by blocking some of the enzymes (MEK, AKT, ATR) needed for cell growth. Giving olaparib together with durvalumab, selumetinib, or capivasertib or giving ceralasertib alone may provide an effective method to treat patients with metastatic triple negative breast cancer.",yes,TNBC
378,NCT03971409,2,Recruiting,triple-negative breast cancer,BINIMETINIB,Dual specificity mitogen-activated protein kinase kinase 2 inhibitor,INHIBITOR,mitogen-activated protein kinase kinase 2,MAP2K2,Small molecule,"This phase II trial studies how well the combination of avelumab with liposomal doxorubicin with or without binimetinib, or the combination of avelumab with sacituzumab govitecan works in treating patients with triple negative breast cancer that is stage IV or is not able to be removed by surgery (unresectable) and has come back (recurrent). Immunotherapy with checkpoint inhibitors like avelumab require activation of the patient's immune system.

This trial includes a two week induction or lead-in of medications that can stimulate the immune system. It is our hope that this induction will improve the response to immunotherapy with avelumab. One treatment, sacituzumab Govitecan, is a monoclonal antibody called sacituzumab linked to a chemotherapy drug called SN-38. Sacituzumab govitecan is a form of targeted therapy because it attaches to specific molecules (receptors) on the surface of tumor cells, known as Tumor-associated calcium signal transducer 2 (TROP2) receptors, and delivers SN-38 to kill them. Another treatment, liposomal doxorubicin, is a form of the anticancer drug doxorubicin that is contained in very tiny, fat-like particles. It may have fewer side effects and work better than doxorubicin, and may enhance factors associated with immune response. The third medication is called binimetinib, which may stop the growth of tumor cells by blocking some of the enzymes needed for cell growth, and may help activate the immune system. It is not yet known whether giving avelumab in combination with liposomal doxorubicin with or without binimetinib, or the combination of avelumab with sacituzumab govitecan will work better in treating patients with triple negative breast cancer.",yes,TNBC
174,NCT01441947,2,"Active, not recruiting",breast cancer,CABOZANTINIB,Hepatocyte growth factor receptor inhibitor,INHIBITOR,"MET proto-oncogene, receptor tyrosine kinase",MET,Small molecule,"The study drug cabozantinib works by inhibiting several different proteins which are believed to be involved in breast cancer tumor growth, its ability to spread, and its ability to form new blood vessels. This drug has been used in other research studies and information from those other research studies suggests that this drug may help to prevent cancer growth.

The single agent portion of this study is now closed to accrual. This research study is now examining the efficacy of cabozantinib in combination with fulvestrant for treatment of hormone-receptor-positive breast cancer that has spread to bone.",yes,HR+
186,NCT01575522,2,Completed,triple-negative breast cancer,TIVANTINIB,Hepatocyte growth factor receptor inhibitor,INHIBITOR,"MET proto-oncogene, receptor tyrosine kinase",MET,Small molecule,This phase II trial studies how well tivantinib works in treating patients with recurrent or metastatic breast cancer. Tivantinib may stop the growth of tumor cells by blocking some of the enzymes needed for cell growth.,yes,NA
266,NCT02791334,1,"Active, not recruiting",breast cancer,MERESTINIB,Hepatocyte growth factor receptor inhibitor,INHIBITOR,"MET proto-oncogene, receptor tyrosine kinase",MET,Small molecule,The main purpose of this study is to evaluate the safety and tolerability of anti-programmed cell death ligand 1 (PD-L1) checkpoint antibody LY3300054 in participants with advanced refractory solid tumors.,yes,NA
452,NCT05092373,1,Recruiting,breast carcinoma,CABOZANTINIB S-MALATE,Hepatocyte growth factor receptor inhibitor,INHIBITOR,"MET proto-oncogene, receptor tyrosine kinase",MET,Small molecule,"This phase Ib trial tests the safety, side effects, and best dose of tumor treating fields therapy in combination with either cabozantinib or nab-paclitaxel and atezolizumab in treating patients with solid tumors involving the abdomen or thorax that have spread to other parts of the body (advanced). Tumor treating fields therapy on this study utilizes NovoTTF systems that are wearable devices that use electrical fields at different frequencies that may help stop the growth of tumor cells by interrupting cancer cells' ability to divide. Cabozantinib is in a class of medications called kinase inhibitors. It works by blocking the action of an abnormal protein that signals tumor cells to multiply. This helps slow or stop the spread of tumor cells. Chemotherapy drugs, such as nab-paclitaxel, work in different ways to stop the growth of tumor cells, either by killing the cells, by stopping them from dividing, or by stopping them from spreading. Immunotherapy with monoclonal antibodies, such as atezolizumab, may help the body's immune system attack the cancer, and may interfere with the ability of tumor cells to grow and spread. Giving tumor treating fields therapy in combination with either cabozantinib, or with nab-paclitaxel and atezolizumab may help control advanced solid tumors involving the abdomen or thorax.",yes,NA
459,NCT05243641,1,Recruiting,breast cancer,CAPMATINIB,Hepatocyte growth factor receptor inhibitor,INHIBITOR,"MET proto-oncogene, receptor tyrosine kinase",MET,Small molecule,This study is to learn if the combination therapy of capmatinib and neritinib can help to control metastatic or locally advanced breast cancer. Researchers also want to find the highest tolerable dose of the combination therapy of capmatinib and neritinib that can be used in this study drug combinations. The safety of this drug combination and the CELsignia MP test methodology will also be studied.,yes,NA
398,NCT04261218,1,Completed,breast cancer,TOMIVOSERTIB,MAP kinase-interacting serine/threonine-protein kinase 1/2 inhibitor,INHIBITOR,MAPK interacting serine/threonine kinase 1,MKNK1,Small molecule,"This is a multicenter, open-label trial to evaluate the safety, pharmacodynamics (PD), pharmacokinetics (PK), and efficacy of tomivosertib in combination with paclitaxel in patients with advanced breast cancer (ABC) of any subtype.

The trial will enroll up to 45 patients with an Eastern Cooperative Oncology Group (ECOG) performance status (PS) of 0, 1, or 2 with any breast cancer (BC) subtype and at least one measurable lesion, for whom standard-of-care treatments are ineffective, not tolerated or were refused.

All patients will be initially treated with tomivosertib for 14 days (referred as the run-in period). Once treatment samples are obtained, weekly paclitaxel will be added to the treatment regimen.

Tumor assessments will be done at screening and then periodically throughout trial treatment. Patients will continue to receive trial treatment until progressive disease, as defined according to the Response Evaluation Criteria in Solid Tumors (RECIST) version 1.1, intolerable trial-treatment-related toxicity, consent withdrawal, or other criteria is met (defined within the trial protocol).",yes,NA
8,NCT00003010,3,Completed,breast cancer,MARIMASTAT,Matrix metalloproteinase-2 inhibitor,INHIBITOR,matrix metallopeptidase 2,MMP2,Small molecule,"RATIONALE: Marimastat may stop the growth of breast cancer by stopping blood flow to the tumor. It is not known whether chemotherapy is more effective with or without marimastat for breast cancer.

PURPOSE: Randomized double-blinded phase III trial to compare the effectiveness of marimastat with that of no further therapy in treating women who have metastatic breast cancer that is responding or stable after chemotherapy.",yes,NA
138,NCT01101438,3,Completed,breast cancer,METFORMIN HYDROCHLORIDE,Mitochondrial complex I (NADH dehydrogenase) inhibitor,INHIBITOR,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1,MT-ND1,Small molecule,"This study is looking at whether Metformin, an agent that is commonly used to treat diabetes, can decrease or affect the ability of breast cancer cells to grow and whether Metformin will work with other therapies to keep cancer from recurring. Health Canada has not approved the sale or use of Metformin to treat breast cancer, although they have approved its use in this clinical trial. Although Metformin is approved by the FDA for the treatment of diabetes, its use in breast cancer is considered investigational.",yes,NA
211,NCT01965522,2,Completed,breast cancer,MELATONIN,Melatonin receptor agonist,AGONIST,melatonin receptor 1B,MTNR1B,Small molecule,"Investigators plan to carry out a study to investigate two different pills, Vitamin D and melatonin, and whether they can reduce the spread of cancer cells in the tumors of women with breast cancer. These pills are inexpensive and have very few side effects. A large number of studies using cell cultures and animals have shown that both vitamin D and melatonin can help destroy breast cancer cells. However thoughtful and well-designed studies are necessary on humans to see if they can decrease the spread of breast cancer, and possibly even prevent breast cancer. The proposed study aims to understand the anti-cancer activity of vitamin D and melatonin. This knowledge will assist in creating efficient cancer prevention strategies for Canadians. This study will include women with breast cancer who are being planned for surgery, and will assess whether treatment with vitamin D (dose of 2000 IU per day) in a group of 36 women, or melatonin (dose of 20mg per day) in another group of 36 women, or both pills together in yet another group of 36 women, reduces the spread of cancer cells when compared to a fourth group of 36 women who are treated with sugar pills. To do this we will measure a substance in the blood called Ki67, which provides information about the spread of cancer. Investigators will compare the Ki67 levels in the 4 groups, and all women will receive identical appearing pills so they will not know which treatment they received.",np,NA
108,NCT00736970,2,Completed,breast cancer,RIDAFOROLIMUS,Serine/threonine-protein kinase mTOR inhibitor,INHIBITOR,mechanistic target of rapamycin kinase,MTOR,Small molecule,"This clinical trial will study the use of ridaforolimus in metastatic breast cancer subjects whose tumors have shown a resistance to trastuzumab (herceptin). The goal of this study is to find out if subjects treated with ridaforolimus in combination with trastuzumab have a positive response to the treatment, and if treatment with ridaforolimus in combination with trastuzumab prolongs survival.",yes,NA
143,NCT01177397,1,Completed,breast cancer,ONATASERTIB,Serine/threonine-protein kinase mTOR inhibitor,INHIBITOR,mechanistic target of rapamycin kinase,MTOR,Small molecule,The main purpose of this first human study with CC-223 is to assess the safety and action of a new class of experimental drug (dual mTOR inhibitors) in patients with advanced tumors unresponsive to standard therapies and to determine the appropriate dose and tumor type for later-stage clinical trials.,yes,NA
203,NCT01792050,2,Completed,breast cancer,INDOXIMOD,mTORC1 activator,ACTIVATOR,mechanistic target of rapamycin kinase,MTOR,Small molecule,"The purpose of this study is to compare the effects, good and/or bad, of standard of care therapy (docetaxel or paclitaxel) with or without the addition of 1-Methyl-D-tryptophan (referred to as indoximod) an experimental drug to find out which treatment is better.",yes,NA
230,NCT02299999,2,"Active, not recruiting",breast cancer,VISTUSERTIB,Serine/threonine-protein kinase mTOR inhibitor,INHIBITOR,mechanistic target of rapamycin kinase,MTOR,Small molecule,"Open label multicentric phase II randomized trial, using high throughput genome analysis as a therapeutic decision tool, which aims at comparing a targeted treatment administered according to the identified molecular anomalies of the tumor with maintenance chemotherapy (targeted substudy 1) as well as immunotherapy with maintenance chemotherapy in patients without actionable genomic alterations or non eligible to substudy 1 (immune substudy 2).",yes,NA
292,NCT02988986,2,Completed,breast cancer,SAPANISERTIB,Serine/threonine-protein kinase mTOR inhibitor,INHIBITOR,mechanistic target of rapamycin kinase,MTOR,Small molecule,"This is an open label phase II clinical trial to determine the efficacy, toxicity, and safety of TAK-228 plus tamoxifen in patients with newly diagnosed ER-positive, HER2-negative breast cancer.",yes,ER+/Her2-
267,NCT02806817,0.5,Completed,breast carcinoma,ME-344,Mitochondrial complex I (NADH dehydrogenase) inhibitor,INHIBITOR,NADH:ubiquinone oxidoreductase subunit A10,NDUFA10,Small molecule,"Prospective, randomized, open label, two arms,, phase 0 clinical trial. HER2-negative breast cancer patients recently diagnosed will be screened for trial participation.

A biopsy will be scheduled the week prior to or the same day as the FDG PET. Paraffin-embedded tumor samples will be used to evaluate the stainings of Ki67, cleaved caspase-3 and microvessels, and frozen tumor samples will be used to evaluate SDH staining.

The FDG-PET will be followed by the bevacizumab dose (15 mg/kg IV, single dose). After one week, the PET will be repeated in order to detect the patients that have experienced FDG uptake decay.

Right after, treatment with ME-344 (arm 1) or no treatment (arm 2) will start. ME-344 will be administered at 10 mg/kg on day 8, 15 and 22. Surgery will be performed on day 28 (thus, 4 weeks after the bevacizumab dose, which is considered a safe window for antiangiogenics).

Fragments of the surgical specimen will be collected. Paraffin-embedded tumor sample will be used to repeat (and compare) the stainings of Ki67, cleaved caspase-3 and microvessels, and frozen tumor sample will be used to repeat (and compare) SDH staining.

Patients will come off trial in case of consent withdrawal, unequivocal disease progression is observed, unacceptable toxicity occurs, or in case of intercurrent disease or any other condition deemed incompatible with continuation in the clinical trial by the investigator.",yes,Her2-
482,NCT05840068,4,Completed,breast cancer,METFORMIN,Mitochondrial complex I (NADH dehydrogenase) inhibitor,INHIBITOR,NADH:ubiquinone oxidoreductase subunit S6,NDUFS6,Small molecule,The purpose of this study is to examine the impact of metformin as an adjuvant to chemotherapy on IGF levels in both progressing and non progressing cases of metastatic breast cancer in female patients.,yes,NA
222,NCT02142959,2,Completed,breast cancer,OMAVELOXOLONE,Nuclear factor erythroid 2-related factor 2 activator,ACTIVATOR,NFE2 like bZIP transcription factor 2,NFE2L2,Small molecule,"Radiation dermatitis is experienced by almost all patients (up to 95%) receiving radiation therapy for cancer. Radiation dermatitis can be a serious condition because, in addition to its direct physical complications and the resulting impact on overall quality of life, it can also be a dose-limiting toxicity requiring changes to the prescribed course of radiation therapy. The most common strategy employed in an attempt to prevent or minimize radiation dermatitis involves moisturization of the irradiated area, use of a mild soap to keep the area clean, and minimizing exposure to potential mechanical irritants, such as scratching and rough clothing. However, this strategy has been shown to lack clinically significant efficacy. Consequently, there is a clinical need for new treatments that are effective in protecting against radiotherapy-induced oxidative stress and the subsequent development of radiation dermatitis.

Based on data from previous studies in animals and humans, Reata believes that omaveloxolone (RTA 408) Lotion may effectively prevent and mitigate radiation dermatitis in oncology patients undergoing radiation therapy.

This randomized, double-blind, vehicle-controlled, parallel-group trial will study the efficacy, tolerability and safety of two concentrations of omaveloxolone (RTA 408) Lotion (3% and 0.5%) versus vehicle in patients with breast cancer for whom radiation therapy is recommended.",no,NA
268,NCT02834403,1,Completed,breast cancer,TILARGININE,Nitric oxide synthase inhibitor,INHIBITOR,nitric oxide synthase 1,NOS1,Small molecule,"This is a Phase Ib/II study assessing the maximum tolerated dose (MTD), dose-limiting toxicities (DLTs), recommended Phase 2 dose (RP2D), and efficacy of L-NMMA when combined with docetaxel in refractory locally advanced or metastatic triple negative breast cancer patients. The Phase Ib portion of the study is designed to investigate the combination at two dose levels of docetaxel (75 and 100 mg/m2) and 7 dose levels of L-NMMA (5, 7.5, 10, 12.5, 15, 17.5, and 20 mg/kg). The starting dose of L-NMMA will be 7.5 mg/kg. In the Phase II portion of the study, the starting dose will be the RP2D determined in the Phase Ib portion of the study.",yes,TNBC
139,NCT01105650,2,Completed,breast cancer,METHYLPREDNISOLONE,Glucocorticoid receptor agonist,AGONIST,nuclear receptor subfamily 3 group C member 1,NR3C1,Small molecule,"This is a single center phase II trial designed to optimize a clinical platform of lymphodepleting chemotherapy and T-cell suppression to promote the persistence, function, and expansion of allogeneic natural killer (NK) cells in patients with recurrent ovarian, fallopian tube, primary peritoneal cancer and advanced metastatic breast cancer.",yes,NA
169,NCT01381874,2,Completed,breast cancer,PREDNISOLONE,Glucocorticoid receptor agonist,AGONIST,nuclear receptor subfamily 3 group C member 1,NR3C1,Small molecule,"The purpose of this study is to assess the safety and efficacy of oral abiraterone acetate plus oral prednisone and oral abiraterone acetate plus oral prednisone plus oral exemestane, each compared with oral exemestane alone, in postmenopausal women with estrogen receptor-positive (ER+) metastatic (spreading) breast cancer that has relapsed after treatment with letrozole or anastrozole.",yes,ER+
172,NCT01422408,2,Completed,breast carcinoma,FLUOCINONIDE,Glucocorticoid receptor agonist,AGONIST,nuclear receptor subfamily 3 group C member 1,NR3C1,Small molecule,This phase II trial studies how well giving fluocinonide cream works in treating symptoms of vaginal dryness and painful sexual intercourse in patients with breast cancer undergoing hormone therapy. Fluocinonide cream may prevent or lessen vaginal dryness and painful sexual intercourse in patients undergoing hormone therapy.,no,NA
180,NCT01517802,3,Completed,breast cancer,PREDNISONE,Glucocorticoid receptor agonist,AGONIST,nuclear receptor subfamily 3 group C member 1,NR3C1,Small molecule,The purpose of this study is to collect follow-up safety data from participants in completed abiraterone acetate studies for a maximum duration of 9 years.,yes,NA
205,NCT01856543,3,Completed,breast cancer,MOMETASONE FUROATE,Glucocorticoid receptor agonist,AGONIST,nuclear receptor subfamily 3 group C member 1,NR3C1,Small molecule,"The purpose of this study is to find out if the effect of mometasone furoate is any different from Eucerin in decreasing the severity of redness of the skin during irradiation, preventing the skin from peeling, or reducing the amount of irritation the patient reports during treatment.",no,NA
240,NCT02400476,2,Completed,breast cancer,BUDESONIDE,Glucocorticoid receptor agonist,AGONIST,nuclear receptor subfamily 3 group C member 1,NR3C1,Small molecule,An Open-Label Study to Characterize the Incidence and Severity of Diarrhea in Patients with Early-Stage HER2+ Breast Cancer Treated with Neratinib and Loperamide or other prophylactic measures.,no,NA
265,NCT02788981,2,"Active, not recruiting",breast cancer,MIFEPRISTONE,Glucocorticoid receptor antagonist,ANTAGONIST,nuclear receptor subfamily 3 group C member 1,NR3C1,Small molecule,"This is a randomized, placebo-controlled, double-blind, phase II trial of nab-paclitaxel with or without mifepristone for advanced, glucocorticoid receptor-positive, triple-negative breast cancer. A total of 64 patients will receive nab-paclitaxel. Patients will be randomly assigned to either receive placebo or to receive mifepristone daily on the day prior to and day of each dose of nab-paclitaxel. Patients will be enrolled over 12 months and followed for 12 months following completion of study.

To expand and follow up on the investigators understanding of a potential pharmacokinetic (PK) interaction between nab-paclitaxel and mifepristone, investigators will perform PK studies in the first 20 patients enrolled at pre-specified ""PK sites"".",yes,TNBC/GR+
