"","NCT_ID","Phase","Status","Disease.Name","Drug.Name","Mechanism.of.Action","Action.Type","Target.ID","Target.Approved.Name","Target.Approved.Symbol","Drug.Type","trial_summary","anti_cancer"
"387","NCT02032277",3,"Completed","breast cancer","VELIPARIB","PARP 1, 2 and 3 inhibitor","INHIBITOR","ENSG00000143799","poly(ADP-ribose) polymerase family member 3","PARP3","Small molecule","This is a 3 arm Phase 3 study to evaluate the safety and efficacy of the addition of veliparib plus carboplatin versus the addition of carboplatin to standard neoadjuvant chemotherapy versus standard neoadjuvant chemotherapy in subjects with early stage TNBC.","yes"
"389","NCT02053636",2,"Completed","breast cancer","LUCITANIB","Fibroblast growth factor receptor 1 inhibitor","INHIBITOR","ENSG00000077782","fibroblast growth factor receptor 1","FGFR1","Small molecule","The aim of the study is to evaluate the objective response rate (ORR) of single agent lucitanib in metastatic breast cancer patients with FGFR1-amplified, FGFR1-non amplified with 11q amplification, or FGFR1-non amplified without 11q amplification.","yes"
"391","NCT02074878",1,"Terminated","breast cancer","CRIZOTINIB","NPM/ALK (Nucleophosmin/ALK tyrosine kinase receptor)","INHIBITOR","ENSG00000171094","ALK receptor tyrosine kinase","ALK","Small molecule","This is a Phase 1 Trial. Crizotinib is a medication that is taken by mouth. It has shown that it can help slow down or stop the growth of tumor cells. The marketing name of the drug is ""Xalkori"". It has been approved by the FDA (Food and Drug Administration) to treat other types of metastatic cancer, but the investigators believe it may be helpful to treat breast cancer as well.

Sunitinib is the other medication used in the study. It is also taken by mouth in the form of a capsule. The marketing name of this drug is ""Sutent"". It too has been approved by the FDA to treat other types of cancer, but not for breast cancer.

In this study the investigators will be combining both of these two treatments, but at different doses.

One third of the patients will take Crizotinib 200 mg, twice daily with Sunitinib 25.0 mg once a day.

One third of the patients will take Crizotinib 250 mg, twice daily with Sunitinib 25.0 mg once a day, and One third of the patients will take Crizotinib 250 mg, twice daily with Sunitinib 37.5 mg once a day.","yes"
"398","NCT02203513",2,"Terminated","breast cancer","PREXASERTIB","Serine/threonine-protein kinase Chk1 inhibitor","INHIBITOR","ENSG00000149554","checkpoint kinase 1","CHEK1","Small molecule","Background:

* All cells go through cycles which allow them to divide. In normal cells, checkpoint kinase 1 (Chk1) and checkpoint kinase 2 (Chk2) (CHEK 2 (Chk1/2) stop cell division at various points to allow any damage to deoxyribonucleic acid (DNA) to be repaired.
* When Chk1/2 are not present, cells stop dividing and eventually die. Chk1/2 Inhibitor (Prexasertib (LY2606368) blocks the Chk1/2 proteins.
* Researchers hope that by blocking Chk1/2, it will cause tumor cells to die, thereby shrinking tumors.

Objective:

- To see if LY2606368 helps shrink tumors in patients with certain breast, ovarian or prostate cancers.

Eligibility:

- Participants at least 18 years old with breast or ovarian cancer. They must have a mutation in BRCA1 BReast CAncer gene 1 and BRCA2 BReast CAncer gene 2 (BRCA1/2) genes for group 1, high grade serious ovarian cancer without BRCA1/2 mutation for group 2, or triple negative breast cancer without BRCA1/2 mutation for group 3, or prostate cancer with or without BRCA1/2 mutation for group 4.

Design:

* Participants will be screened with a medical history and physical exam. They will have blood tests, an electrocardiogram (ECG) heart test, scans, and X-rays. They will have a piece of their tumor removed at entry (computed tomography (CT)-assisted biopsy).
* Study Day 1: Participants will have a physical exam and blood drawn. They may have a CT scan of the chest, abdomen, and pelvis.
* Day 1 and Day 15 of each 28-day cycle: Participants will receive the study drug through an intravenous (IV).
* Vital signs will be checked before and after. An ECG will be done within 1 hour after.
* Day 15 and Day 28: Participants will have a physical exam, blood drawn, and a 12 lead ECG.
* Cycle 1: Participants will have weekly phone calls and blood draws. Participants may have another CT-assisted biopsy at the end of cycle 1.
* Cycle 2 and beyond, blood will be drawn every other week for routine blood tests.
* Participants will have an after-study visit with a physical exam and blood tests. Participants may have another biopsy when they progressed on treatment. They will have scans of the chest, pelvis, and abdomen and a 12 lead ECG.","yes"
"402","NCT02259114",1,"Completed","breast cancer","BIRABRESIB","Bromodomain and extra-terminal motif (BET) inhibitor","INHIBITOR","ENSG00000204256","bromodomain containing 4","BRD4","Small molecule","Open-label, phase I, non-randomized, multicentric study of single-agent birabresib (MK-8628) (formerly known as OTX015) administered according to two distinct regimens to participants with selected advanced tumors.

The study will be performed in two parts.

Dose Escalation Part:

This step is designed to determine the maximum tolerated dose (MTD) in each of the two regimens, which will be evaluated in parallel. Participants will receive oral birabresib according to:

Continuous Dosing Regimen: continuous, once daily for 21 consecutive days (21-day cycles).

OR Days 1-7 Dosing Regimen: once daily on Days 1 to 7, repeated every 3 weeks (21-day cycles; 1 week ON/2 weeks OFF).

Participants will be sequentially assigned to Continuous Dosing Regimen or Days 1-7 Dosing Regimen according to the next available place and receive birabresib at escalating doses levels (DL). Cohorts of 3 participants will be treated, and an additional 3 participants will be treated at the first indication of dose-limiting toxicity (DLT). MTD assessment will be based on the tolerability observed during the first 21 days of treatment.

Expansion Part:

The efficacy of birabresib in each of the five indications (i.e., Bromodomain-Nuclear Protein in Testis \[BRD-NUT\] midline carcinoma, triple negative breast cancer \[TNBC\], non-small cell lung cancer \[NSCLC\] harboring a rearrangement Anaplastic Lymphoma Kinase \[ALK\] gene/fusion protein or Kirsten Ras \[KRAS\] mutation, castrate-resistant prostate cancer, and pancreatic ductal carcinoma) will be assessed in terms of response (Response Evaluation Criteria in Solid Tumors v1.1 \[RECIST v1.1\] or Prostate Cancer Clinical Trials Working Group 2 \[PCWG2\]) using a selected regimen.","yes"
"405","NCT02322853",2,"Terminated","breast cancer","RALIMETINIB","MAP kinase p38 alpha inhibitor","INHIBITOR","ENSG00000112062","mitogen-activated protein kinase 14","MAPK14","Small molecule","Metastatic breast cancer (MBC) remains an incurable disease and despite an improvement of the effect of systemic treatments. After relapse on first-line non-steroidal aromatase inhibitor, current clinical practice and treatment guidelines include tamoxifen, fulvestrant (an ER antagonist) and exemestane as available options (NCCN treatment guidelines 2012), but in this context of resistance, their efficacy are poor.

Some results confirm the possibility to improve the efficacy of tamoxifen in metastatic setting by a combination with therapy targeting signal transduction pathways. Other transduction pathways seem to be involved in endocrine sensitivity/resistance, such as RAS/RAF/MEK/MAK pathway.

LY2228820 inhibits the activity of p38 MAPK (selective inhibitor of the α and β isoforms of p38 MAPK in vitro) and reduces phosphorylation of its cellular target, MAPK-activated protein kinase 2 (MAPKAP-K2).","yes"
"406","NCT02332928",3,"Terminated","breast cancer","MELATONIN","Melatonin receptor agonist","AGONIST","ENSG00000168412","melatonin receptor 1A","MTNR1A","Small molecule","This is a double-blind, placebo-controlled trial wherein subjects with breast cancer will be randomized to receive either 20 mg oral melatonin or placebo the night before their first radiotherapy (RT), nightly throughout their RT, and for an additional 2 weeks following the completion of their RT. After informed consent is obtained from eligible subjects, they will then be electronically randomized on a 1:1 ratio to melatonin treatment or placebo. The subjects will be stratified according to treatment duration (less than 3 weeks; equal to or greater than 3 weeks) and prior chemotherapy.","yes"
"408","NCT02338531",2,"Withdrawn","breast cancer","NIROGACESTAT","Gamma-secretase inhibitor","INHIBITOR","ENSG00000117362","aph-1 homolog B, gamma-secretase subunit","APH1B","Small molecule","This is a phase II open label Biomarker Research Study off PF-03084014 in non-metastatic triple-negative breast cancer patients with residual disease (cHEmoresistant) after completion of standard neoadjuvant chemotherapy.","yes"
"409","NCT02340221",3,"Terminated","breast cancer","TASELISIB","PI3-kinase class I inhibitor","INHIBITOR","ENSG00000145675","phosphoinositide-3-kinase regulatory subunit 3","PIK3R3","Small molecule","This international, multicenter, randomized, double-blinded, placebo-controlled study is designed to compare the efficacy and safety of taselisib + fulvestrant with that of placebo + fulvestrant in postmenopausal women with estrogen receptor (ER)-positive, human epidermal growth factor receptor-2 (HER2)-negative, oncogene that encodes for phosphatidylinositol-4,5-bisphosphate 3-kinase (PIK3CA)-mutant, unresectable, locally advanced or metastatic breast cancer after recurrence or progression during or after an aromatase inhibitor (AI) therapy. There will be a 2:1 randomization to the taselisib arm versus the placebo arm. Enrollment will be enriched for participants with PIK3CA mutant tumors via central testing. The anticipated duration of the study is approximately 3.5 years.","yes"
"414","NCT02402764",2,"Completed","breast cancer","SELINEXOR","Exportin-1 inhibitor","INHIBITOR","ENSG00000082898","exportin 1","XPO1","Small molecule","The main purpose of this study is to see whether the combination of selinexor (KPT-330) can help people with triple negative breast cancer (TNBC). Researchers also want to study the safety and tolerability of Selinexor in TNBC patients.","yes"
"426","NCT02595372",2,"Completed","breast carcinoma","OMEPRAZOLE","Potassium-transporting ATPase inhibitor","INHIBITOR","ENSG00000105675","ATPase H+/K+ transporting subunit alpha","ATP4A","Small molecule","In preliminary laboratory science studies, the investigators show that proton pump inhibitors (PPIs) effectively inhibit human fatty acid synthase (FASN) and breast cancer cell survival. A preliminary retrospective study shows that PPI usage in breast cancer patients during chemotherapy significantly improved overall survival. The impact was most striking in patients with triple negative breast cancer (TNBC). Thus, PPIs may be repositioned as safe and effective breast cancer drugs to enhance the effect of chemotherapy.

Many of the hurdles that slow progress from target, to lead compound, to investigational agent, to standard therapy are not barriers for the PPIs. The PPIs are FDA-approved, chronically used, and well tolerated so the investigators can move quickly from the laboratory to a proof of concept clinical trial. Incorporating the PPIs into standard care will require more than the investigators propose here, but the investigators have already plotted the additional steps needed to truly impact patient care. If successful, the data gathered in this proposal will lend support to and guide development of a definitive randomized trial.","yes"
"430","NCT02649101",2,"Unknown status","breast cancer","THALIDOMIDE","CRL4(CRBN) E3 ubiquitin ligase inhibitor","INHIBITOR","ENSG00000113851","cullin 4A","CUL4A","Small molecule","Sixty advanced breast cancer patients are planed to enrolled in this clinical trial. Forty patients are enrolled into thalidomide plus chemotherapy group. Twenty patients are enrolled into chemotherapy alone group. There is no restriction on chemotherapy regimen and lines.","yes"
"431","NCT02672475",1,"Completed","triple-negative breast cancer","GALUNISERTIB","TGF-beta receptor type I inhibitor","INHIBITOR","ENSG00000106799","transforming growth factor beta receptor 1","TGFBR1","Small molecule","This phase I trial studies the side effects and best dose of Galunisertib when given together with paclitaxel in treating patients with androgen receptor negative or triple negative breast cancer that has spread to other places in the body. Some tumors need growth factors, which are made by the body's white blood cells, to keep growing. Galunisertib may interfere with growth factors and help cause tumor cells to die. Drugs used in chemotherapy, such as paclitaxel, work in different ways to stop the growth of tumor cells, either by killing the cells, by stopping them from dividing, or by stopping them from spreading. Giving Galunisertib together with paclitaxel may kill more tumor cells.","yes"
"434","NCT02806817",0.5,"Completed","breast carcinoma","ME-344","Mitochondrial complex I (NADH dehydrogenase) inhibitor","INHIBITOR","ENSG00000198695","NADH:ubiquinone oxidoreductase core subunit V2","NDUFV2","Small molecule","Prospective, randomized, open label, two arms,, phase 0 clinical trial. HER2-negative breast cancer patients recently diagnosed will be screened for trial participation.

A biopsy will be scheduled the week prior to or the same day as the FDG PET. Paraffin-embedded tumor samples will be used to evaluate the stainings of Ki67, cleaved caspase-3 and microvessels, and frozen tumor samples will be used to evaluate SDH staining.

The FDG-PET will be followed by the bevacizumab dose (15 mg/kg IV, single dose). After one week, the PET will be repeated in order to detect the patients that have experienced FDG uptake decay.

Right after, treatment with ME-344 (arm 1) or no treatment (arm 2) will start. ME-344 will be administered at 10 mg/kg on day 8, 15 and 22. Surgery will be performed on day 28 (thus, 4 weeks after the bevacizumab dose, which is considered a safe window for antiangiogenics).

Fragments of the surgical specimen will be collected. Paraffin-embedded tumor sample will be used to repeat (and compare) the stainings of Ki67, cleaved caspase-3 and microvessels, and frozen tumor sample will be used to repeat (and compare) SDH staining.

Patients will come off trial in case of consent withdrawal, unequivocal disease progression is observed, unacceptable toxicity occurs, or in case of intercurrent disease or any other condition deemed incompatible with continuation in the clinical trial by the investigator.","yes"
"438","NCT02834403",2,"Completed","breast cancer","TILARGININE","Nitric oxide synthase inhibitor","INHIBITOR","ENSG00000089250","nitric oxide synthase 1","NOS1","Small molecule","This is a Phase Ib/II study assessing the maximum tolerated dose (MTD), dose-limiting toxicities (DLTs), recommended Phase 2 dose (RP2D), and efficacy of L-NMMA when combined with docetaxel in refractory locally advanced or metastatic triple negative breast cancer patients. The Phase Ib portion of the study is designed to investigate the combination at two dose levels of docetaxel (75 and 100 mg/m2) and 7 dose levels of L-NMMA (5, 7.5, 10, 12.5, 15, 17.5, and 20 mg/kg). The starting dose of L-NMMA will be 7.5 mg/kg. In the Phase II portion of the study, the starting dose will be the RP2D determined in the Phase Ib portion of the study.","yes"
"440","NCT02834403",2,"Completed","breast cancer","AMLODIPINE","Voltage-gated L-type calcium channel blocker","BLOCKER","ENSG00000151067","calcium voltage-gated channel subunit alpha1 F","CACNA1F","Small molecule","This is a Phase Ib/II study assessing the maximum tolerated dose (MTD), dose-limiting toxicities (DLTs), recommended Phase 2 dose (RP2D), and efficacy of L-NMMA when combined with docetaxel in refractory locally advanced or metastatic triple negative breast cancer patients. The Phase Ib portion of the study is designed to investigate the combination at two dose levels of docetaxel (75 and 100 mg/m2) and 7 dose levels of L-NMMA (5, 7.5, 10, 12.5, 15, 17.5, and 20 mg/kg). The starting dose of L-NMMA will be 7.5 mg/kg. In the Phase II portion of the study, the starting dose will be the RP2D determined in the Phase Ib portion of the study.","yes"
"459","NCT02876302",2,"Active, not recruiting","inflammatory breast carcinoma","RUXOLITINIB","Tyrosine-protein kinase JAK2 inhibitor","INHIBITOR","ENSG00000162434","Janus kinase 2","JAK2","Small molecule","This research study is studying Ruxolitinib as possible treatment for Inflammatory Breast Cancer (IBC).

The Following drugs will be use in combination with Ruxolinitinib.

* Paclitaxel (also called Taxol)
* Doxorubicin also called Adriamycin
* Cyclophosphamide, also called Cytoxan","yes"
"463","NCT02950259",1,"Active, not recruiting","breast cancer","INDOMETHACIN","Cyclooxygenase inhibitor","INHIBITOR","ENSG00000073756","prostaglandin-endoperoxide synthase 1","PTGS1","Small molecule","The goal of this study is assess the safety and tolerability of the IRX-2 regimen in patients with early stage breast cancer (ESBC) and to estimate the pathologic complete response rate to neoadjuvant anthracycline-based and non-platinum containing chemotherapy in patients with triple-negative breast cancer who have received the IRX-2 Regimen before chemotherapy.","yes"
"464","NCT02950480",2,"Terminated","breast cancer","ZAFIRLUKAST","Cysteinyl leukotriene receptor 1 antagonist","ANTAGONIST","ENSG00000173198","cysteinyl leukotriene receptor 1","CYSLTR1","Small molecule","A 2 arm, 90 patient (45 per cohort) trial in patients with breast cancer who will be undergoing mastectomy with immediate tissue-expander reconstruction to determine whether treatment with zafirlukast (20mg PO BID) can reduce or prevent the development of capsular contracture.","yes"
"465","NCT02957968",2,"Active, not recruiting","breast adenocarcinoma","DECITABINE","DNA (cytosine-5)-methyltransferase 3A inhibitor","INHIBITOR","ENSG00000130816","DNA methyltransferase 3 alpha","DNMT3A","Small molecule","This study is a 2-cohort, open-label, multicenter, phase 2 study of a short course of immunotherapy consisting of sequential decitabine followed by pembrolizumab administered prior to a standard neoadjuvant chemotherapy regimen for patients with locally advanced HER2-negative breast cancer. The primary efficacy objective is to determine if the immunotherapy increases the presence and percentage of tumor and/or stromal area of infiltrating lymphocytes prior to initiation of standard neoadjuvant chemotherapy. At enrollment, patients will be assigned to one of 2 cohorts based on hormone receptor status.

* Cohort A - patients with HER2-negative, hormone receptor-negative breast cancer (defined as both ER and PgR with \< 10% positive staining on IHC) Note: before beginning standard neoadjuvant chemotherapy, patients in Cohort A may be reassigned to Cohort A2 to receive extended pembrolizumab as part of new standard neoadjuvant and postoperative adjuvant therapy.
* Cohort B - patients with HER2-negative, hormone receptor-positive breast cancer (defined as either ER or PgR with ≥ 10% positive staining on IHC)","yes"
"474","NCT03012477",2,"Completed","breast cancer","ADAVOSERTIB","Serine/threonine-protein kinase WEE1 inhibitor","INHIBITOR","ENSG00000166483","WEE1 G2 checkpoint kinase","WEE1","Small molecule","This research study is studying a combination of drugs as a possible treatment for triple-negative breast cancer that has spread to other areas of the body. The names of the study interventions involved in this study are:

* Cisplatin
* AZD1775","yes"
"480","NCT03057600",2,"Completed","triple-negative breast cancer","TELAGLENASTAT","Glutaminase kidney isoform, mitochondrial inhibitor","INHIBITOR","ENSG00000115419","glutaminase","GLS","Small molecule","CX-839-007 is an open-label Phase 2 study of the combination of CB-839 with paclitaxel in participants of African ancestry and non-African ancestry with advanced triple negative breast cancer. Multiple single-arm cohorts will be enrolled in which 800 mg twice daily (BID) CB-839 will be administered in combination with the full approved dose of paclitaxel.","yes"
"499","NCT03184558",2,"Terminated","inflammatory breast carcinoma","BEMCENTINIB","Tyrosine-protein kinase receptor UFO inhibitor","INHIBITOR","ENSG00000167601","AXL receptor tyrosine kinase","AXL","Small molecule","This is an open label, single arm, multi-centre phase II study to assess the anti-tumour activity and safety of bemcentinib (BGB324) in combination with pembrolizumab in participants with previously treated, locally advanced and unresectable, or metastatic TNBC or TN-IBC. The primary objective is objective response rate.","yes"
"502","NCT03238196",1,"Active, not recruiting","breast cancer","ERDAFITINIB","Fibroblast growth factor receptor inhibitor","INHIBITOR","ENSG00000068078","fibroblast growth factor receptor 4","FGFR4","Small molecule","This is an open-label, multi-institution, phase Ib trial that evaluates the safety and tolerability and preliminary anti-tumor activity of fulvestrant, palbociclib and erdafitinib in patients with ER+/HER2-/FGFR-amplified metastatic breast cancer.","yes"
"503","NCT03238703",4,"Withdrawn","breast carcinoma in situ","ANASTROZOLE","Cytochrome P450 19A1 inhibitor","INHIBITOR","ENSG00000137869","cytochrome P450 family 19 subfamily A member 1","CYP19A1","Small molecule","This pilot clinical trial studies how well endocrine therapy works in treating patients with HER2 negative, low risk breast cancer. Estrogen can cause the growth of breast cancer cells. Endocrine therapies such as aromatase inhibitors and selective estrogen receptor modulators may lessen the amount of estrogen made by the body.","yes"
"513","NCT03244358",2,"Terminated","breast cancer","EPALRESTAT","Aldose reductase inhibitor","INHIBITOR","ENSG00000085662","aldo-keto reductase family 1 member B","AKR1B1","Small molecule","To evaluate the efficacy and safety of Epalrestat in the treatment of metastatic triple negative breast","yes"
"516","NCT03323346",2,"Recruiting","breast cancer","DISULFIRAM","Aldehyde dehydrogenase inhibitor","INHIBITOR","ENSG00000111275","aldehyde dehydrogenase 2 family member","ALDH2","Small molecule","The aim of the study is to establish clinical evidence for introducing disulfiram and cooper as an active therapy for metastatic breast cancer upon failure of conventional systemic and/or locoregional therapies.

Analyses of the following objectives will be performed in the population of patients with metastatic breast cancer:

Primary efficacy objective:

To evaluate the efficacy of the treatment by assessment of:

* clinical response rate (RR)
* clinical benefit rate (CBR)

Secondary efficacy objectives:

To evaluate the efficacy of the treatment by assessment of:

* time to progression (TTP)
* overall survival (OS)

Pharmacokinetic objectives:

• to determine pharmacokinetic parameters for disulfiram and its active metabolites administered in combination with copper supplements in cancer patient population

Safety objectives:

• to describe safety profile of disulfiram administered in combination with copper supplements

Exploratory objectives:

Parallel analysis to assess (identify) potential candidate surrogate biomarkers of disulfiram efficacy, as well as identification (using proteomic, biochemical and molecular genetic studies) of potential predictive biomarkers of disulfiram sensitivity or resistance will be performed. Surrogate biomarker analysis will focus on in vivo ubiquitin-proteosomal system inhibition, cell cycle and DNA damage.","yes"
"519","NCT03330847",2,"Active, not recruiting","breast cancer","CERALASERTIB","Serine-protein kinase ATR inhibitor","INHIBITOR","ENSG00000175054","ATR serine/threonine kinase","ATR","Small molecule","This study is to assess the efficacy and safety of olaparib monotherapy versus olaparib in combination with an inhibitor of ATR (Ataxia-Telangiectasia Mutated (ATM) and Rad3-related protein kinase (Ceralasertib \[AZD6738\]) and olaparib monotherapy versus olaparib in combination with an inhibitor of WEE1 (adavosertib \[AZD1775\]) in second or third line setting in patients with Triple-negative breast cancer (TNBC) prospectively stratified by presence/absence of qualifying tumour mutation in genes involved in the homologous recombination repair (HRR) pathway. Treatment arms are olaparib monotherapy, olaparib+ Ceralasertib and olaparib+adavosertib. The study subject population will be divided into Stratum A, Stratum B, and Stratum C. Due to the different schedules of administration of each of the treatment options as well as their different toxicity profiles, the study is not blinded. Study has two stage consent process- stage 1 consent (molecular screening for HRR defects) and stage 2 consent (main study). Patients with TNBC and with known qualifying BRCAm, non BRCAm HRRm and non HRRm status will be offered the option of consenting to the main part of the study within the 28-day screening period. Following the ISRC meeting on 17 April 2019 a recommendation was made to close the adavosertib+olaparib treatment arm across all biomarker strata. Patients receiving treatment with adavosertib+olaparib treatment were offered the opportunity to continue treatment on olaparib monotherapy at the approved dose (300 mg bd). Following the closure of this arm the total number of patients randomised will be lower (approximately 350 patients). Approximately 300 patients will be randomised (using randomisation ratio 1:1) to 2 ongoing treatment arms plus an additional 47 patients to a 3rd arm (olaparib+adavosertib) prior to the arm being discontinued.","yes"
"520","NCT03337724",3,"Completed","breast cancer","IPATASERTIB","Serine/threonine-protein kinase AKT inhibitor","INHIBITOR","ENSG00000105221","AKT serine/threonine kinase 1","AKT1","Small molecule","This study will evaluate the efficacy of ipatasertib + paclitaxel versus placebo + paclitaxel in participants with histologically confirmed, locally advanced or metastatic triple-negative breast cancer (TNBC) and in participants with locally advanced or metastatic hormone receptor positive (HR+)/ human epidermal growth factor receptor 2 negative (HER2-) breast adenocarcinoma who are not suitable for endocrine therapy.","yes"
"522","NCT03346161",1,"Completed","breast cancer","NICOTINE","Neuronal acetylcholine receptor; alpha4/beta2 agonist","AGONIST","ENSG00000160716","cholinergic receptor nicotinic alpha 4 subunit","CHRNA4","Small molecule","Although clinical decision tools (CDTs) exist for a variety of treatments, CDTs designed to support personalized breast reconstruction decisions, particularly about type and timing of reconstruction, are lacking. The objective of this proposal is to develop and pilot test a clinical decision tool that provides personalized risk information and reflects patients' preferences and clinical needs.","yes"
"527","NCT03379428",2,"Active, not recruiting","breast cancer","IBRUTINIB","Tyrosine-protein kinase BTK inhibitor","INHIBITOR","ENSG00000010671","Bruton tyrosine kinase","BTK","Small molecule","This is a Phase I/II, open-label dose-escalation study designed to evaluate the maximum tolerated dose (MTD) and dose-limiting side effects of ibrutinib (560 or 840 or 420 mg daily oral dose), given in combination with trastuzumab administered through the vein, in patients with HER2-amplified Metastatic Breast Cancer that has gotten worse after prior therapy with ado-trastuzumab emtansine (T-DM1).","yes"
"547","NCT03432741",1,"Suspended","breast adenocarcinoma","BELINOSTAT","Histone deacetylase inhibitor","INHIBITOR","ENSG00000116478","histone deacetylase 8","HDAC8","Small molecule","This pilot phase I trial studies the side effects of direct tumor microinjection and fludeoxyglucose F-18 positron emission tomography (FDG-PET) in testing drug sensitivity in patients with non-Hodgkin lymphoma, Hodgkin lymphoma, or stage IV breast cancer that has returned after a period of improvement or does not respond to treatment. Injecting tiny amounts of anti-cancer drugs directly into tumors on the skin or in lymph nodes and diagnostic procedures, such as FDG-PET, may help to show which drugs work better in treating patients with non-Hodgkin lymphoma, Hodgkin lymphoma, or breast cancer.","yes"
"563","NCT03505528",1,"Completed","breast cancer","PHENELZINE","Monoamine oxidase inhibitor","INHIBITOR","ENSG00000189221","monoamine oxidase A","MAOA","Small molecule","This phase 1b study will determine the safety and efficacy of combined treatment of Abraxane and phenelzine sulfate (Nardil) for metastatic or locally advanced breast cancer.

Participants may be eligible to join this study if they are aged 18 years or above and have been diagnosed with metastatic breast cancer or inoperable locally advanced breast cancer.

All participants will receive a combination of intravenous Abraxane and an oral dose of phenelzine sulfate. Abraxane will be administered weekly for the first 3 weeks of a 4-week cycle for 3 consecutive cycles. Phenelzine sulfate will be taken daily for the duration of the 3 cycles. Five patient cohort groups will receive a progressively increasing dose of phenelzine sulfate. Safety and efficacy will be assessed weekly over the 3 cycles of treatment.

Although both drugs have been used in clinical care for more than a decade, they have not been intentionally combined together in a cancer therapy setting. This means that the combined effect of these two drugs has not been documented. This is being addressed in this study.","yes"
"570","NCT03562832",2,"Active, not recruiting","breast cancer","2X-121","Tankyrase 1/2 inhibitor","INHIBITOR","ENSG00000107854","tankyrase","TNKS","Small molecule","2X-121 is a small molecule targeted inhibitor of Poly ADP ribose polymerase (PARP), a key enzyme involved in DNA damage repair in cancer cells. The PARP inhibitor demonstrated clinical activity in a prior Phase 1 study in a number of solid tumors. 2X-121 has a novel dual-inhibitory action against both PARP 1/2 and Tankyrase 1/2. The molecule is also active in P-glycoprotein expressing cells, suggesting it may overcome some of the PARP inhibitor resistance.

The Phase 2 study is using 2x-121 DRP® biomarker in metastatic breast cancer patients to identify patients likely to respond to and benefit from treatment with 2X-121.","yes"
"571","NCT03566485",1,"Terminated","breast cancer","IDASANUTLIN","Tumour suppressor p53/oncoprotein Mdm2 inhibitor","INHIBITOR","ENSG00000141510","MDM2 proto-oncogene","MDM2","Small molecule","This phase I/II trial studies the side effects and best dose of idasanutlin when given together with atezolizumab, and to see how well atezolizumab and cobimetinib or idasanutlin work in treating participants with stage IV estrogen-receptor positive (ER+) breast cancer, or ER+ breast cancer that has come back (recurrent) and cannot be removed by surgery (unresectable). Monoclonal antibodies, such as atezolizumab, may interfere with the ability of tumor cells to grow and spread. Cobimetinib and idasanutlin may stop the growth of tumor cells by blocking some of the enzymes needed for cell growth. Giving atezolizumab with cobimetinib or atezolizumab with idasanutlin may work better in treating participants with estrogen-receptor positive breast cancer.","yes"
"573","NCT03584009",2,"Terminated","breast cancer","VENETOCLAX","Apoptosis regulator Bcl-2 inhibitor","INHIBITOR","ENSG00000171791","BCL2 apoptosis regulator","BCL2","Small molecule","This is a Phase II, multicenter, open-label, randomized study to compare the efficacy of venetoclax in combination with fulvestrant compared with fulvestrant alone in women with ER+, HER2-negative, locally advanced or Metastatic Breast Cancer (MBC) who experienced disease recurrence or progression during or after treatment with CDK4/6i therapy for at least 8 weeks. As of 9th October 2020, participants in the Venetoclax + Fulvestrant arm, have all discontinued Venetoclax treatment and have continued on Fulvestrant treatment alone.","yes"
"582","NCT03774472",2,"Completed","breast cancer","HYDROXYCHLOROQUINE","Toll-like receptor 9 antagonist","ANTAGONIST","ENSG00000196664","toll like receptor 9","TLR9","Small molecule","This phase I/II trial studies the side effects and best dose of hydroxychloroquine when given together with palbociclib and letrozole before surgery in treating patients with estrogen receptor positive, HER2 negative breast cancer. Hydroxychloroquine is a substance that decreases immune responses in the body. Palbociclib may stop the growth of tumor cells by blocking some of the enzymes needed for cell growth. Estrogen can cause the growth of breast cancer cells. Drugs, such as letrozole, may lessen the amount of estrogen made by the body. Giving hydroxychloroquine, palbociclib, and letrozole before surgery may work better than palbociclib and letrozole in treating patients with breast cancer.","yes"
"602","NCT03939897",2,"Active, not recruiting","breast carcinoma","COPANLISIB","PI3-kinase p110-delta subunit inhibitor","INHIBITOR","ENSG00000171608","phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta","PIK3CD","Small molecule","This phase I/II trial studies the effects (good and bad) of adding copanlisib to the usual therapy of fulvestrant and abemaciclib in treating patients with hormone receptor positive and HER2 negative breast cancer that has spread from where it first started (breast) to other places in the body (metastatic). Some breast cancer cells have receptors for the hormones estrogen or progesterone. These cells are hormone receptor positive and they need estrogen or progesterone to grow. This can affect how the cancer is treated. Hormone therapy using fulvestrant may fight breast cancer by blocking the use of estrogen by the tumor cells. Abemaciclib and copanlisib may stop the growth of tumor cells by blocking some of the enzymes needed for cell growth. Adding copanlisib to the usual therapy of fulvestrant and abemaciclib may work better than giving fulvestrant and abemaciclib alone in treating patients with breast cancer.","yes"
"612","NCT03988114",4,"Withdrawn","breast cancer","ABEMACICLIB","Cyclin-dependent kinase 6 inhibitor","INHIBITOR","ENSG00000135446","cyclin dependent kinase 6","CDK6","Small molecule","The reason for this study is to see if the drug abemaciclib in combination with nonsteroidal aromatase inhibitors (anastrozole or letrozole) is effective in participants with Hormone Receptor Positive (HR+), Human Epidermal Growth Factor Receptor 2 Negative (HER2-) advanced breast cancer that have certain disease characteristics.","yes"
