external_gene_name,description,search_id,MeSH_count,andGene_count,description_count,best_score
WDR41,WD repeat domain 41 ,WDR41,1,,,1
CTSB,cathepsin B ,CTSB,160,,,160
ABCA1,ATP binding cassette subfamily A member 1 ,ABCA1,207,,,207
LMO1,LIM domain only 1 ,LMO1,71,,,71
GOLGA2,golgin A2 ,GOLGA2,10,,,10
STIM1,stromal interaction molecule 1 ,STIM1,207,,,207
GRM5,glutamate metabotropic receptor 5 ,GRM5,11,,,11
ZEB2,zinc finger E-box binding homeobox 2 ,ZEB2,692,,,692
SWSAP1,SWIM-type zinc finger 7 associated protein 1 ,SWSAP1,0,,,0
RIMS2,regulating synaptic membrane exocytosis 2 ,RIMS2,11,,,11
SMCR8,SMCR8-C9orf72 complex subunit ,SMCR8,0,,,0
PNPLA2,patatin like phospholipase domain containing 2 ,PNPLA2,21,,,21
ADIPOQ,"adiponectin, C1Q and collagen domain containing ",ADIPOQ,172,,,172
C1S,complement C1s ,C1S,76,,,76
BTLA,B and T lymphocyte associated ,BTLA,218,,,218
CARD11,caspase recruitment domain family member 11 ,CARD11,190,,,190
WDHD1,WD repeat and HMG-box DNA binding protein 1 ,WDHD1,19,,,19
CEP290,centrosomal protein 290 ,CEP290,4,,,4
SREBF2,sterol regulatory element binding transcription factor 2 ,SREBF2,36,,,36
ZSWIM7,zinc finger SWIM-type containing 7 ,ZSWIM7,3,,,3
IGKV2-40,immunoglobulin kappa variable 2-40 ,IGKV2-40,0,,,0
KRIT1,KRIT1 ankyrin repeat containing ,KRIT1,229,,,229
CALCR,calcitonin receptor ,CALCR,15,,,15
RALA,RAS like proto-oncogene A ,RALA,162,,,162
TACC3,transforming acidic coiled-coil containing protein 3 ,TACC3,189,,,189
MAP2K3,mitogen-activated protein kinase kinase 3 ,MAP2K3,20,,,20
CAPG,"capping actin protein, gelsolin like ",CAPG,83,,,83
LTBP1,latent transforming growth factor beta binding protein 1 ,LTBP1,51,,,51
TUBA3D,tubulin alpha 3d ,TUBA3D,4,,,4
FBLN1,fibulin 1 ,FBLN1,41,,,41
NRCAM,neuronal cell adhesion molecule ,NRCAM,39,,,39
SEC22C,"SEC22 homolog C, vesicle trafficking protein ",SEC22C,0,,,0
IL11,interleukin 11 ,IL11,416,,,416
LGALS1,galectin 1 ,LGALS1,93,,,93
NIN,ninein ,NIN,72,,,72
RABGGTA,Rab geranylgeranyltransferase subunit alpha ,RABGGTA,1,,,1
NTSR1,neurotensin receptor 1 ,NTSR1,78,,,78
CDC25B,cell division cycle 25B ,CDC25B,234,,,234
CD37,CD37 molecule ,CD37,171,,,171
HOXB6,homeobox B6 ,HOXB6,25,,,25
CD5,CD5 molecule ,CD5,3457,,,3457
FBXO5,F-box protein 5 ,FBXO5,18,,,18
MDFI,MyoD family inhibitor ,MDFI,17,,,17
VIPR1,vasoactive intestinal peptide receptor 1 ,VIPR1,20,,,20
USP34,ubiquitin specific peptidase 34 ,USP34,12,,,12
NSL1,NSL1 component of MIS12 kinetochore complex ,NSL1,2,,,2
AKAP7,A-kinase anchoring protein 7 ,AKAP7,2,,,2
PPL,periplakin ,PPL,243,,,243
NFYB,nuclear transcription factor Y subunit beta ,NFYB,27,,,27
CSTA,cystatin A ,CSTA,23,,,23
FMOD,fibromodulin ,FMOD,32,,,32
HOXA7,homeobox A7 ,HOXA7,87,,,87
SOX9,SRY-box transcription factor 9 ,SOX9,813,,,813
PCID2,PCI domain containing 2 ,PCID2,4,,,4
FOXP2,forkhead box P2 ,FOXP2,45,,,45
PHF20L1,PHD finger protein 20 like 1 ,PHF20L1,10,,,10
ECSIT,ECSIT signaling integrator ,ECSIT,6,,,6
ATP5IF1,ATP synthase inhibitory factor subunit 1 ,ATP5IF1,3,,,3
NFATC1,nuclear factor of activated T cells 1 ,NFATC1,173,,,173
CLEC10A,C-type lectin domain containing 10A ,CLEC10A,14,,,14
PATJ,PATJ crumbs cell polarity complex component ,PATJ,8,,,8
NTS,neurotensin ,NTS,299,,,299
GRP,gastrin releasing peptide ,GRP,716,,,716
HOOK1,hook microtubule tethering protein 1 ,HOOK1,20,,,20
PAX3,paired box 3 ,PAX3,611,,,611
IRF4,interferon regulatory factor 4 ,IRF4,700,,,700
SNX27,sorting nexin 27 ,SNX27,12,,,12
CEP170,centrosomal protein 170 ,CEP170,8,,,8
IL9,interleukin 9 ,IL9,282,,,282
SIGMAR1,sigma non-opioid intracellular receptor 1 ,SIGMAR1,16,,,16
ADM,adrenomedullin ,ADM,2062,,,2062
PTPRJ,protein tyrosine phosphatase receptor type J ,PTPRJ,55,,,55
HIKESHI,heat shock protein nuclear import factor hikeshi ,HIKESHI,2,,,2
LATS2,large tumor suppressor kinase 2 ,LATS2,276,,,276
HSPB8,heat shock protein family B (small) member 8 ,HSPB8,55,,,55
WNT3A,Wnt family member 3A ,WNT3A,552,,,552
SKA1,spindle and kinetochore associated complex subunit 1 ,SKA1,42,,,42
BACH1,BTB domain and CNC homolog 1 ,BACH1,188,,,188
SSBP3,single stranded DNA binding protein 3 ,SSBP3,2,,,2
ZYX,zyxin ,ZYX,14,,,14
TNFRSF13C,TNF receptor superfamily member 13C ,TNFRSF13C,18,,,18
ARHGAP35,Rho GTPase activating protein 35 ,ARHGAP35,19,,,19
SPC24,SPC24 component of NDC80 kinetochore complex ,SPC24,14,,,14
DNAJB4,DnaJ heat shock protein family (Hsp40) member B4 ,DNAJB4,15,,,15
FSTL1,follistatin like 1 ,FSTL1,64,,,64
METTL3,"methyltransferase 3, N6-adenosine-methyltransferase complex catalytic subunit ",METTL3,712,,,712
MAPK7,mitogen-activated protein kinase 7 ,MAPK7,42,,,42
NR0B1,nuclear receptor subfamily 0 group B member 1 ,NR0B1,47,,,47
KNDC1,kinase non-catalytic C-lobe domain containing 1 ,KNDC1,0,,,0
CERS6,ceramide synthase 6 ,CERS6,49,,,49
FBXO45,F-box protein 45 ,FBXO45,25,,,25
CNTNAP2,contactin associated protein 2 ,CNTNAP2,17,,,17
SSTR2,somatostatin receptor 2 ,SSTR2,562,,,562
SKA2,spindle and kinetochore associated complex subunit 2 ,SKA2,23,,,23
HOXB4,homeobox B4 ,HOXB4,56,,,56
GJC1,gap junction protein gamma 1 ,GJC1,8,,,8
TRDN,triadin ,TRDN,1,,,1
PRTN3,proteinase 3 ,PRTN3,18,,,18
ERV3-1,"endogenous retrovirus group 3 member 1, envelope ",ERV3-1,6,,,6
BBIP1,BBSome interacting protein 1 ,BBIP1,1,,,1
HBD,hemoglobin subunit delta ,HBD,165,,,165
HLA-DMB,"major histocompatibility complex, class II, DM beta ",HLA-DMB,18,,,18
ERVFRD-1,"endogenous retrovirus group FRD member 1, envelope ",ERVFRD-1,4,,,4
MRC1,mannose receptor C-type 1 ,MRC1,67,,,67
CCL23,C-C motif chemokine ligand 23 ,CCL23,49,,,49
CRLF1,cytokine receptor like factor 1 ,CRLF1,9,,,9
CD6,CD6 molecule ,CD6,86,,,86
SNX1,sorting nexin 1 ,SNX1,19,,,19
BOD1L1,biorientation of chromosomes in cell division 1 like 1 ,BOD1L1,1,,,1
PDK3,pyruvate dehydrogenase kinase 3 ,PDK3,24,,,24
PLA2G10,phospholipase A2 group X ,PLA2G10,9,,,9
LNX1,ligand of numb-protein X 1 ,LNX1,8,,,8
PPP2R2C,protein phosphatase 2 regulatory subunit Bgamma ,PPP2R2C,15,,,15
TIPIN,TIMELESS interacting protein ,TIPIN,30,,,30
MAP2,microtubule associated protein 2 ,MAP2,246,,,246
EDN1,endothelin 1 ,EDN1,68,,,68
SDF4,stromal cell derived factor 4 ,SDF4,7,,,7
CHMP5,charged multivesicular body protein 5 ,CHMP5,5,,,5
HBQ1,hemoglobin subunit theta 1 ,HBQ1,2,,,2
THPO,thrombopoietin ,THPO,26,,,26
SNAP29,synaptosome associated protein 29 ,SNAP29,8,,,8
OSM,oncostatin M ,OSM,310,,,310
CNIH1,cornichon family member 1 ,CNIH1,1,,,1
HTR2A,5-hydroxytryptamine receptor 2A ,HTR2A,31,,,31
ESRP1,epithelial splicing regulatory protein 1 ,ESRP1,105,,,105
CD33,CD33 molecule ,CD33,2231,,,2231
NMU,neuromedin U ,NMU,120,,,120
CRYAB,crystallin alpha B ,CRYAB,79,,,79
HPX,hemopexin ,HPX,32,,,32
LMAN2L,"lectin, mannose binding 2 like ",LMAN2L,0,,,0
LGALS8,galectin 8 ,LGALS8,14,,,14
MFAP2,microfibril associated protein 2 ,MFAP2,20,,,20
CD46,CD46 molecule ,CD46,290,,,290
TNFSF4,TNF superfamily member 4 ,TNFSF4,28,,,28
KBTBD7,kelch repeat and BTB domain containing 7 ,KBTBD7,4,,,4
INHBA,inhibin subunit beta A ,INHBA,159,,,159
SNRPN,small nuclear ribonucleoprotein polypeptide N ,SNRPN,51,,,51
DLL4,delta like canonical Notch ligand 4 ,DLL4,281,,,281
NCAN,neurocan ,NCAN,8,,,8
SSBP4,single stranded DNA binding protein 4 ,SSBP4,1,,,1
RLIM,"ring finger protein, LIM domain interacting ",RLIM,10,,,10
AP4B1,adaptor related protein complex 4 subunit beta 1 ,AP4B1,2,,,2
FST,follistatin ,FST,142,,,142
SOX5,SRY-box transcription factor 5 ,SOX5,73,,,73
EDNRB,endothelin receptor type B ,EDNRB,124,,,124
ECPAS,Ecm29 proteasome adaptor and scaffold ,ECPAS,0,,,0
NR5A1,nuclear receptor subfamily 5 group A member 1 ,NR5A1,46,,,46
DIAPH3,diaphanous related formin 3 ,DIAPH3,33,,,33
LRIG1,leucine rich repeats and immunoglobulin like domains 1 ,LRIG1,158,,,158
AHSG,alpha 2-HS glycoprotein ,AHSG,50,,,50
BOD1,biorientation of chromosomes in cell division 1 ,BOD1,4,,,4
MCHR2,melanin concentrating hormone receptor 2 ,MCHR2,7,,,7
CCNO,cyclin O ,CCNO,2,,,2
LRRK1,leucine rich repeat kinase 1 ,LRRK1,9,,,9
NODAL,nodal growth differentiation factor ,NODAL,34076,5,1,5
CLASP2,cytoplasmic linker associated protein 2 ,CLASP2,9,,,9
ANPEP,"alanyl aminopeptidase, membrane ",ANPEP,35,,,35
RRM1,ribonucleotide reductase catalytic subunit M1 ,RRM1,418,,,418
PDHB,pyruvate dehydrogenase E1 subunit beta ,PDHB,39,,,39
LCLAT1,lysocardiolipin acyltransferase 1 ,LCLAT1,4,,,4
IQCB1,IQ motif containing B1 ,IQCB1,3,,,3
PPP2R2D,protein phosphatase 2 regulatory subunit Bdelta ,PPP2R2D,6,,,6
SYNM,synemin ,SYNM,10,,,10
NDN,"necdin, MAGE family member ",NDN,45,,,45
NEB,nebulin ,NEB,40,0,13,13
JAG2,jagged canonical Notch ligand 2 ,JAG2,67,,,67
CHM,CHM Rab escort protein ,CHM,425,,,425
CD55,CD55 molecule (Cromer blood group) ,CD55,294,,,294
CHML,CHM like Rab escort protein ,CHML,8,,,8
CR1,complement C3b/C4b receptor 1 (Knops blood group) ,CR1,1238,,,1238
NCR3,natural cytotoxicity triggering receptor 3 ,NCR3,23,,,23
HBM,hemoglobin subunit mu ,HBM,244,,,244
IFNA4,interferon alpha 4 ,IFNA4,2,,,2
ARPC4,actin related protein 2/3 complex subunit 4 ,ARPC4,7,,,7
GJA5,gap junction protein alpha 5 ,GJA5,4,,,4
TSPOAP1,TSPO associated protein 1 ,TSPOAP1,3,,,3
HFE,homeostatic iron regulator ,HFE,229,,,229
NME1-NME2,NME1-NME2 readthrough ,NME1-NME2,5,,,5
CNTN1,contactin 1 ,CNTN1,43,,,43
PRDM1,PR/SET domain 1 ,PRDM1,198,,,198
NFATC3,nuclear factor of activated T cells 3 ,NFATC3,47,,,47
CLASP1,cytoplasmic linker associated protein 1 ,CLASP1,3,,,3
GTSE1,G2 and S-phase expressed 1 ,GTSE1,46,,,46
ADD2,adducin 2 ,ADD2,8,,,8
WDR62,WD repeat domain 62 ,WDR62,10,,,10
PAX2,paired box 2 ,PAX2,318,,,318
RBM22,RNA binding motif protein 22 ,RBM22,2,,,2
SRRT,"serrate, RNA effector molecule ",SRRT,2,,,2
NLK,nemo like kinase ,NLK,89,,,89
CNOT3,CCR4-NOT transcription complex subunit 3 ,CNOT3,13,,,13
TPX2,TPX2 microtubule nucleation factor ,TPX2,254,,,254
LYZ,lysozyme ,LYZ,45,,,45
USP48,ubiquitin specific peptidase 48 ,USP48,23,,,23
DTX2,deltex E3 ubiquitin ligase 2 ,DTX2,8,,,8
SLC26A3,solute carrier family 26 member 3 ,SLC26A3,25,,,25
ANGPT2,angiopoietin 2 ,ANGPT2,141,,,141
PICK1,protein interacting with PRKCA 1 ,PICK1,11,,,11
CYB5R3,cytochrome b5 reductase 3 ,CYB5R3,14,,,14
HAO1,hydroxyacid oxidase 1 ,HAO1,5,,,5
SLC32A1,solute carrier family 32 member 1 ,SLC32A1,2,,,2
ATP1B4,ATPase Na+/K+ transporting family member beta 4 ,ATP1B4,1,,,1
NME4,NME/NM23 nucleoside diphosphate kinase 4 ,NME4,19,,,19
SALL1,spalt like transcription factor 1 ,SALL1,27,,,27
CCP110,centriolar coiled-coil protein 110 ,CCP110,0,,,0
TFR2,transferrin receptor 2 ,TFR2,58,,,58
GTPBP4,GTP binding protein 4 ,GTPBP4,11,,,11
LRRC59,leucine rich repeat containing 59 ,LRRC59,14,,,14
GAR1,GAR1 ribonucleoprotein ,GAR1,2,,,2
SOX6,SRY-box transcription factor 6 ,SOX6,75,,,75
QKI,"QKI, KH domain containing RNA binding ",QKI,129,,,129
GOLPH3,golgi phosphoprotein 3 ,GOLPH3,123,,,123
ARL6,ADP ribosylation factor like GTPase 6 ,ARL6,4,,,4
HAO2,hydroxyacid oxidase 2 ,HAO2,7,,,7
APH1A,"aph-1 homolog A, gamma-secretase subunit ",APH1A,7,,,7
SERPINC1,serpin family C member 1 ,SERPINC1,18,,,18
NRP2,neuropilin 2 ,NRP2,193,,,193
MSX2,msh homeobox 2 ,MSX2,58,,,58
CD70,CD70 molecule ,CD70,326,,,326
CFP,complement factor properdin ,CFP,133,,,133
LIF,LIF interleukin 6 family cytokine ,LIF,710,18,1,18
KCNC1,potassium voltage-gated channel subfamily C member 1 ,KCNC1,2,,,2
DPP6,dipeptidyl peptidase like 6 ,DPP6,22,,,22
PDHA1,pyruvate dehydrogenase E1 subunit alpha 1 ,PDHA1,69,,,69
IMMT,inner membrane mitochondrial protein ,IMMT,19,,,19
SERPINF1,serpin family F member 1 ,SERPINF1,28,,,28
IL11RA,interleukin 11 receptor subunit alpha ,IL11RA,27,,,27
IFNA21,interferon alpha 21 ,IFNA21,3,,,3
LPAR6,lysophosphatidic acid receptor 6 ,LPAR6,34,,,34
MTNAP1,mitochondrial nucleoid associated protein 1 ,MTNAP1,0,,,0
NFIC,nuclear factor I C ,NFIC,40,,,40
WTAP,WT1 associated protein ,WTAP,189,,,189
YTHDF1,YTH N6-methyladenosine RNA binding protein F1 ,YTHDF1,203,,,203
FERMT3,FERM domain containing kindlin 3 ,FERMT3,12,,,12
CD226,CD226 molecule ,CD226,130,,,130
SPC25,SPC25 component of NDC80 kinetochore complex ,SPC25,29,,,29
CETN3,centrin 3 ,CETN3,4,,,4
LPCAT1,lysophosphatidylcholine acyltransferase 1 ,LPCAT1,66,,,66
OTULIN,OTU deubiquitinase with linear linkage specificity ,OTULIN,11,,,11
GRAMD2B,GRAM domain containing 2B ,GRAMD2B,0,,,0
PDIA4,protein disulfide isomerase family A member 4 ,PDIA4,33,,,33
PPP2R2B,protein phosphatase 2 regulatory subunit Bbeta ,PPP2R2B,25,,,25
GHRL,ghrelin and obestatin prepropeptide ,GHRL,36,,,36
CNOT11,CCR4-NOT transcription complex subunit 11 ,CNOT11,0,,,0
ADIPOR1,adiponectin receptor 1 ,ADIPOR1,165,,,165
C1R,complement C1r ,C1R,82,,,82
MCM3AP,minichromosome maintenance complex component 3 associated protein ,MCM3AP,46,,,46
PTH1R,parathyroid hormone 1 receptor ,PTH1R,39,,,39
NCSTN,nicastrin ,NCSTN,10,,,10
INHBB,inhibin subunit beta B ,INHBB,44,,,44
NFASC,neurofascin ,NFASC,5,,,5
WDR82,WD repeat domain 82 ,WDR82,4,,,4
SHH,sonic hedgehog signaling molecule ,SHH,1748,,,1748
ALDH7A1,aldehyde dehydrogenase 7 family member A1 ,ALDH7A1,27,,,27
ANKS6,ankyrin repeat and sterile alpha motif domain containing 6 ,ANKS6,1,,,1
ENDOG,endonuclease G ,ENDOG,57,,,57
KIR3DL1,"killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 1 ",KIR3DL1,81,,,81
RAB4A,"RAB4A, member RAS oncogene family ",RAB4A,11,,,11
HOXD4,homeobox D4 ,HOXD4,22,,,22
CEL,carboxyl ester lipase ,CEL,626,,,626
S1PR1,sphingosine-1-phosphate receptor 1 ,S1PR1,119,,,119
AGXT,alanine--glyoxylate aminotransferase ,AGXT,18,,,18
HOXC5,homeobox C5 ,HOXC5,15,,,15
LEMD3,LEM domain containing 3 ,LEMD3,10,,,10
PDZK1,PDZ domain containing 1 ,PDZK1,45,,,45
CKAP5,cytoskeleton associated protein 5 ,CKAP5,15,,,15
LPCAT4,lysophosphatidylcholine acyltransferase 4 ,LPCAT4,6,,,6
NOP10,NOP10 ribonucleoprotein ,NOP10,8,,,8
LIPF,"lipase F, gastric type ",LIPF,9,,,9
PMCH,pro-melanin concentrating hormone ,PMCH,3,,,3
SEPTIN9,septin 9 ,SEPTIN9,59,,,59
KCNIP4,potassium voltage-gated channel interacting protein 4 ,KCNIP4,6,,,6
ASAH2,N-acylsphingosine amidohydrolase 2 ,ASAH2,4,,,4
NELFB,negative elongation factor complex member B ,NELFB,4,,,4
HBG2,hemoglobin subunit gamma 2 ,HBG2,4,,,4
PELI1,pellino E3 ubiquitin protein ligase 1 ,PELI1,16,,,16
HOXC4,homeobox C4 ,HOXC4,31,,,31
FKBPL,FKBP prolyl isomerase like ,FKBPL,15,,,15
NMS,neuromedin S ,NMS,219,,,219
HBE1,hemoglobin subunit epsilon 1 ,HBE1,8,,,8
HBG1,hemoglobin subunit gamma 1 ,HBG1,3,,,3
LINC02210-CRHR1,LINC02210-CRHR1 readthrough ,LINC02210-CRHR1,0,,,0
ANXA8,annexin A8 ,ANXA8,20,,,20
CCL14,C-C motif chemokine ligand 14 ,CCL14,36,,,36
LASP1,LIM and SH3 protein 1 ,LASP1,146,,,146
FHL1,four and a half LIM domains 1 ,FHL1,68,,,68
GRN,granulin precursor ,GRN,159,,,159
ZFYVE16,zinc finger FYVE-type containing 16 ,ZFYVE16,3,,,3
HYAL2,hyaluronidase 2 ,HYAL2,75,,,75
GAL,galanin and GMAP prepropeptide ,GAL,2038,29,0,29
SEMA3A,semaphorin 3A ,SEMA3A,114,,,114
AP4E1,adaptor related protein complex 4 subunit epsilon 1 ,AP4E1,1,,,1
PKP1,plakophilin 1 ,PKP1,39,,,39
CD82,CD82 molecule ,CD82,248,,,248
ZW10,zw10 kinetochore protein ,ZW10,17,,,17
TRIP6,thyroid hormone receptor interactor 6 ,TRIP6,33,,,33
MAEA,"macrophage erythroblast attacher, E3 ubiquitin ligase ",MAEA,5,,,5
TFIP11,tuftelin interacting protein 11 ,TFIP11,0,,,0
AHSA1,activator of HSP90 ATPase activity 1 ,AHSA1,10,,,10
SPTLC2,serine palmitoyltransferase long chain base subunit 2 ,SPTLC2,7,,,7
GID8,GID complex subunit 8 homolog ,GID8,2,,,2
KCND1,potassium voltage-gated channel subfamily D member 1 ,KCND1,2,,,2
BNIP3L,BCL2 interacting protein 3 like ,BNIP3L,100,,,100
HOXA6,homeobox A6 ,HOXA6,21,,,21
SSBP1,single stranded DNA binding protein 1 ,SSBP1,19,,,19
LHX6,LIM homeobox 6 ,LHX6,23,,,23
CA9,carbonic anhydrase 9 ,CA9,714,,,714
UNC5B,unc-5 netrin receptor B ,UNC5B,62,,,62
ENO3,enolase 3 ,ENO3,16,,,16
SLC6A4,solute carrier family 6 member 4 ,SLC6A4,29,,,29
CEP164,centrosomal protein 164 ,CEP164,6,,,6
PDHX,pyruvate dehydrogenase complex component X ,PDHX,10,,,10
CALCA,calcitonin related polypeptide alpha ,CALCA,59,,,59
USP5,ubiquitin specific peptidase 5 ,USP5,36,,,36
TDP2,tyrosyl-DNA phosphodiesterase 2 ,TDP2,20,,,20
PPARD,peroxisome proliferator activated receptor delta ,PPARD,56,,,56
GMNN,geminin DNA replication inhibitor ,GMNN,23,,,23
PACRG,parkin coregulated ,PACRG,12,,,12
BTNL8,butyrophilin like 8 ,BTNL8,6,,,6
UNC5A,unc-5 netrin receptor A ,UNC5A,17,,,17
ID2,inhibitor of DNA binding 2 ,ID2,312,,,312
FBXO6,F-box protein 6 ,FBXO6,11,,,11
KIAA2013,KIAA2013 ,KIAA2013,0,,,0
PRPF3,pre-mRNA processing factor 3 ,PRPF3,8,,,8
DR1,down-regulator of transcription 1 ,DR1,192,,,192
ATF6,activating transcription factor 6 ,ATF6,346,,,346
NEK9,NIMA related kinase 9 ,NEK9,36,,,36
KCNIP2,potassium voltage-gated channel interacting protein 2 ,KCNIP2,4,,,4
GJA8,gap junction protein alpha 8 ,GJA8,0,,,0
MYOG,myogenin ,MYOG,24,,,24
SEPTIN7,septin 7 ,SEPTIN7,4,,,4
ZC3H13,zinc finger CCCH-type containing 13 ,ZC3H13,54,,,54
ORMDL2,ORMDL sphingolipid biosynthesis regulator 2 ,ORMDL2,3,,,3
C4BPA,complement component 4 binding protein alpha ,C4BPA,17,,,17
SNRPC,small nuclear ribonucleoprotein polypeptide C ,SNRPC,4,,,4
ABCC4,ATP binding cassette subfamily C member 4 (PEL blood group) ,ABCC4,153,,,153
KTN1,kinectin 1 ,KTN1,25,,,25
CHMP1A,charged multivesicular body protein 1A ,CHMP1A,8,,,8
MTUS2,microtubule associated scaffold protein 2 ,MTUS2,4,,,4
SFTPD,surfactant protein D ,SFTPD,15,,,15
KIDINS220,kinase D interacting substrate 220 ,KIDINS220,14,,,14
STAB2,stabilin 2 ,STAB2,10,,,10
CDK5RAP2,CDK5 regulatory subunit associated protein 2 ,CDK5RAP2,6,,,6
ENPP2,ectonucleotide pyrophosphatase/phosphodiesterase 2 ,ENPP2,55,,,55
ALDH1B1,aldehyde dehydrogenase 1 family member B1 ,ALDH1B1,34,,,34
CASP6,caspase 6 ,CASP6,34,,,34
DNAJA4,DnaJ heat shock protein family (Hsp40) member A4 ,DNAJA4,7,,,7
RETREG3,reticulophagy regulator family member 3 ,RETREG3,0,,,0
SLC6A3,solute carrier family 6 member 3 ,SLC6A3,27,,,27
S100A7,S100 calcium binding protein A7 ,S100A7,152,,,152
GULP1,GULP PTB domain containing engulfment adaptor 1 ,GULP1,10,,,10
ATG3,autophagy related 3 ,ATG3,110,,,110
VIP,vasoactive intestinal peptide ,VIP,2098,20,686,686
CRH,corticotropin releasing hormone ,CRH,604,,,604
HYOU1,hypoxia up-regulated 1 ,HYOU1,19,,,19
CTF1,cardiotrophin 1 ,CTF1,16,,,16
DLAT,dihydrolipoamide S-acetyltransferase ,DLAT,83,,,83
AKAP6,A-kinase anchoring protein 6 ,AKAP6,6,,,6
PDK1,pyruvate dehydrogenase kinase 1 ,PDK1,763,,,763
GOLGA7B,golgin A7 family member B ,GOLGA7B,1,,,1
TMBIM4,transmembrane BAX inhibitor motif containing 4 ,TMBIM4,4,,,4
TNNI1,"troponin I1, slow skeletal type ",TNNI1,1,,,1
GJD2,gap junction protein delta 2 ,GJD2,5,,,5
PMF1,polyamine modulated factor 1 ,PMF1,10,,,10
CTSS,cathepsin S ,CTSS,59,,,59
HDAC11,histone deacetylase 11 ,HDAC11,53,,,53
UCN,urocortin ,UCN,287,,,287
HEY1,hes related family bHLH transcription factor with YRPW motif 1 ,HEY1,239,,,239
SF1,splicing factor 1 ,SF1,293,,,293
CHRM1,cholinergic receptor muscarinic 1 ,CHRM1,13,,,13
SNTB2,syntrophin beta 2 ,SNTB2,3,,,3
IL12A,interleukin 12A ,IL12A,97,,,97
LINGO1,leucine rich repeat and Ig domain containing 1 ,LINGO1,8,,,8
AHSP,alpha hemoglobin stabilizing protein ,AHSP,8,,,8
ZFPM2,"zinc finger protein, FOG family member 2 ",ZFPM2,47,,,47
GYPA,glycophorin A (MNS blood group) ,GYPA,13,,,13
AKAP13,A-kinase anchoring protein 13 ,AKAP13,26,,,26
NME6,NME/NM23 nucleoside diphosphate kinase 6 ,NME6,5,,,5
ESRRA,estrogen related receptor alpha ,ESRRA,33,,,33
RHOD,ras homolog family member D ,RHOD,43,,,43
RGMB,repulsive guidance molecule BMP co-receptor b ,RGMB,31,,,31
CCDC14,coiled-coil domain containing 14 ,CCDC14,1,,,1
BNIP3,BCL2 interacting protein 3 ,BNIP3,398,,,398
MLF1,myeloid leukemia factor 1 ,MLF1,42,,,42
TUBAL3,tubulin alpha like 3 ,TUBAL3,1,,,1
PUF60,poly(U) binding splicing factor 60 ,PUF60,18,,,18
CNOT10,CCR4-NOT transcription complex subunit 10 ,CNOT10,0,,,0
TUBA8,tubulin alpha 8 ,TUBA8,2,,,2
PROS1,protein S ,PROS1,37,,,37
CIB1,calcium and integrin binding 1 ,CIB1,25,,,25
POTEF,POTE ankyrin domain family member F ,POTEF,7,,,7
TRPV1,transient receptor potential cation channel subfamily V member 1 ,TRPV1,247,,,247
IL27,interleukin 27 ,IL27,205,,,205
ENPP1,ectonucleotide pyrophosphatase/phosphodiesterase 1 ,ENPP1,58,,,58
HOXC6,homeobox C6 ,HOXC6,104,,,104
TEAD4,TEA domain transcription factor 4 ,TEAD4,130,,,130
VARS1,valyl-tRNA synthetase 1 ,VARS1,1,,,1
PSENEN,"presenilin enhancer, gamma-secretase subunit ",PSENEN,2,,,2
CSH2,chorionic somatomammotropin hormone 2 ,CSH2,14,,,14
GCGR,glucagon receptor ,GCGR,26,,,26
BOD1L2,biorientation of chromosomes in cell division 1 like 2 ,BOD1L2,0,,,0
IFNA14,interferon alpha 14 ,IFNA14,4,,,4
KLHL41,kelch like family member 41 ,KLHL41,2,,,2
RASSF5,Ras association domain family member 5 ,RASSF5,31,,,31
PDK2,pyruvate dehydrogenase kinase 2 ,PDK2,48,,,48
ADIPOR2,adiponectin receptor 2 ,ADIPOR2,125,,,125
LMO3,LIM domain only 3 ,LMO3,35,,,35
RAB27A,"RAB27A, member RAS oncogene family ",RAB27A,131,,,131
MAP2K7,mitogen-activated protein kinase kinase 7 ,MAP2K7,22,,,22
AMPH,amphiphysin ,AMPH,41,,,41
LIPE,"lipase E, hormone sensitive type ",LIPE,25,,,25
LPCAT2,lysophosphatidylcholine acyltransferase 2 ,LPCAT2,9,,,9
PLA2G3,phospholipase A2 group III ,PLA2G3,7,,,7
CSTF1,cleavage stimulation factor subunit 1 ,CSTF1,1,,,1
OXT,oxytocin/neurophysin I prepropeptide ,OXT,24,,,24
CD276,CD276 molecule ,CD276,222,,,222
ASAH1,N-acylsphingosine amidohydrolase 1 ,ASAH1,47,,,47
RETN,resistin ,RETN,30,,,30
PLIN3,perilipin 3 ,PLIN3,16,,,16
MEOX2,mesenchyme homeobox 2 ,MEOX2,32,,,32
LHX2,LIM homeobox 2 ,LHX2,39,,,39
NCS1,neuronal calcium sensor 1 ,NCS1,16,,,16
ALDH2,aldehyde dehydrogenase 2 family member ,ALDH2,430,,,430
CNOT2,CCR4-NOT transcription complex subunit 2 ,CNOT2,20,,,20
BMP5,bone morphogenetic protein 5 ,BMP5,42,,,42
EEF1B2,eukaryotic translation elongation factor 1 beta 2 ,EEF1B2,6,,,6
IGFBP2,insulin like growth factor binding protein 2 ,IGFBP2,633,,,633
SRSF11,serine and arginine rich splicing factor 11 ,SRSF11,9,,,9
PLA2G2D,phospholipase A2 group IID ,PLA2G2D,13,,,13
IFNA6,interferon alpha 6 ,IFNA6,1,,,1
