Gene Symbol	Gene ID	Median (Tumor)	Median (Normal)	Log2(Fold Change)	adjp
FGF22	ENSG00000070388.11	0.050	3.595	-2.130	1.85e-203
FSTL3	ENSG00000070404.9	6.900	46.356	-2.584	2.96e-90
ST6GALNAC1	ENSG00000070526.14	12.685	1.800	2.289	5.57e-33
ST6GALNAC2	ENSG00000070731.9	23.480	1.479	3.304	2.05e-66
PTPN21	ENSG00000070778.12	3.010	15.999	-2.084	2.37e-110
RPL31	ENSG00000071082.10	1320.162	5423.655	-2.038	1.02e-72
TRIP13	ENSG00000071539.13	14.400	1.210	2.801	8.22e-107
TRIB2	ENSG00000071575.11	14.490	96.730	-2.657	2.74e-79
HMMR	ENSG00000072571.19	7.225	0.190	2.789	1.30e-103
MRVI1	ENSG00000072952.18	1.810	18.469	-2.793	4.26e-86
SCARB1	ENSG00000073060.15	20.795	111.252	-2.365	5.31e-77
MCM2	ENSG00000073111.13	30.920	4.745	2.474	1.32e-90
ST6GAL1	ENSG00000073849.14	49.345	6.420	2.762	7.67e-66
GLI2	ENSG00000074047.20	1.945	10.885	-2.013	1.95e-53
TUBE1	ENSG00000074935.13	5.225	29.624	-2.299	1.41e-116
GTSE1	ENSG00000075218.18	4.820	0.340	2.119	3.66e-72
TTC38	ENSG00000075234.16	8.955	39.984	-2.042	9.12e-101
PLD1	ENSG00000075651.15	2.080	22.914	-2.957	5.57e-116
SEC31B	ENSG00000075826.16	1.290	19.660	-3.173	1.57e-152
PLXNA2	ENSG00000076356.6	4.135	28.414	-2.518	1.30e-83
TPD52	ENSG00000076554.15	56.414	1.755	4.381	6.75e-163
RAP1GAP	ENSG00000076864.19	14.590	1.570	2.601	2.71e-67
STXBP2	ENSG00000076944.14	66.969	8.390	2.856	2.32e-112
UBE2T	ENSG00000077152.9	33.195	0.940	4.140	1.64e-166
PPP1R12B	ENSG00000077157.20	3.365	31.074	-2.877	5.28e-124
NAALAD2	ENSG00000077616.10	0.305	8.723	-2.897	1.09e-163
LAMP3	ENSG00000078081.7	5.805	0.050	2.696	6.17e-62
ITM2A	ENSG00000078596.10	3.810	111.240	-4.544	5.23e-167
FKBP7	ENSG00000079150.17	8.855	43.904	-2.188	1.18e-76
RAPGEF3	ENSG00000079337.15	23.615	111.518	-2.193	6.38e-46
EPB41L2	ENSG00000079819.16	18.795	102.689	-2.389	3.62e-57
SMARCA2	ENSG00000080503.19	17.740	111.348	-2.584	1.31e-82
SESN1	ENSG00000080546.13	5.445	48.983	-2.955	5.61e-153
NDC80	ENSG00000080986.12	7.600	0.370	2.650	4.70e-88
MEF2C	ENSG00000081189.13	3.565	18.510	-2.096	5.70e-90
PCDHGA2	ENSG00000081853.14	0.370	4.795	-2.081	1.93e-68
PGR	ENSG00000082175.14	0.250	7.894	-2.831	4.11e-97
EPB41L3	ENSG00000082397.15	2.955	18.205	-2.280	1.16e-62
GRHL2	ENSG00000083307.10	7.860	0.030	3.105	9.27e-118
GCKR	ENSG00000084734.8	0.110	13.605	-3.718	2.53e-299
MAPRE3	ENSG00000084764.10	8.825	65.609	-2.761	3.23e-105
MECOM	ENSG00000085276.17	30.670	1.840	3.479	1.64e-103
IGSF9	ENSG00000085552.16	21.750	0.725	3.721	3.86e-112
TTC39A	ENSG00000085831.15	7.340	0.280	2.704	1.00e-61
RAD54L	ENSG00000085999.11	5.280	0.525	2.042	1.11e-74
SNX10	ENSG00000086300.15	7.125	0.570	2.372	5.53e-73
PPP1R15A	ENSG00000087074.7	17.385	73.797	-2.024	8.27e-70
MMP2	ENSG00000087245.12	64.670	262.777	-2.006	1.07e-25
NID2	ENSG00000087303.16	5.670	39.922	-2.617	3.50e-64
PHACTR3	ENSG00000087495.16	0.250	7.445	-2.756	8.18e-125
TFAP2C	ENSG00000087510.6	12.034	0.235	3.400	1.39e-76
TPX2	ENSG00000088325.15	32.075	0.245	4.732	1.76e-163
SLC4A11	ENSG00000088836.12	11.770	0.310	3.285	6.62e-64
SLC23A2	ENSG00000089057.14	5.385	38.155	-2.616	1.01e-108
SLC8B1	ENSG00000089060.11	12.530	100.252	-2.904	3.73e-111
OAS1	ENSG00000089127.12	48.351	6.375	2.742	1.98e-42
FXYD3	ENSG00000089356.16	88.809	1.105	5.415	8.79e-106
HEPH	ENSG00000089472.16	1.755	13.875	-2.433	9.14e-73
LAG3	ENSG00000089692.8	3.025	21.660	-2.493	1.74e-70
LTBP4	ENSG00000090006.17	57.767	516.293	-3.138	8.13e-66
LYZ	ENSG00000090382.6	31.665	3.905	2.735	6.93e-32
KIF4A	ENSG00000090889.11	4.660	0.100	2.363	7.19e-91
PITPNM2	ENSG00000090975.12	1.765	23.050	-3.121	7.56e-148
RAPGEF4	ENSG00000091428.17	0.850	10.549	-2.642	3.07e-171
SEL1L3	ENSG00000091490.10	28.904	4.215	2.520	3.63e-99
MYO15A	ENSG00000091536.16	1.070	8.365	-2.178	1.78e-96
NLRP1	ENSG00000091592.15	4.405	45.274	-3.098	4.51e-88
PITPNM3	ENSG00000091622.15	2.950	23.478	-2.632	2.16e-100
JPH4	ENSG00000092051.16	0.380	10.555	-3.066	5.77e-99
SLC22A17	ENSG00000092096.14	7.295	41.574	-2.360	5.08e-54
SEMA6A	ENSG00000092421.16	1.935	15.242	-2.468	2.54e-67
TYRO3	ENSG00000092445.11	6.690	102.881	-3.756	2.40e-103
XXbac-B461K10.4	ENSG00000093100.13	4.185	20.514	-2.053	5.60e-75
PTGS1	ENSG00000095303.14	75.512	1.365	5.016	2.45e-125
SEMA4G	ENSG00000095539.15	4.470	23.300	-2.151	2.33e-59
TREM2	ENSG00000095970.16	12.650	1.270	2.588	1.75e-55
FKBP5	ENSG00000096060.14	10.285	110.591	-3.306	8.07e-72
PCSK5	ENSG00000099139.13	1.375	11.785	-2.428	1.38e-93
TSPAN15	ENSG00000099282.9	33.260	2.060	3.485	2.73e-126
MISP	ENSG00000099812.8	15.135	0.160	3.798	1.36e-108
IZUMO4	ENSG00000099840.13	1.240	34.970	-4.005	7.09e-207
RASSF7	ENSG00000099849.14	50.525	5.785	2.925	2.30e-113
LZTR1	ENSG00000099949.18	13.719	72.098	-2.312	2.34e-92
SUSD2	ENSG00000099994.10	13.135	1.595	2.446	8.47e-25
LRP5L	ENSG00000100068.11	1.590	10.204	-2.113	2.38e-104
TPTEP1	ENSG00000100181.21	0.700	10.640	-2.775	2.74e-38
KDELR3	ENSG00000100196.10	20.170	2.595	2.558	2.06e-71
SUN2	ENSG00000100242.15	22.540	127.698	-2.451	3.76e-82
NEFH	ENSG00000100285.9	0.730	12.235	-2.936	4.66e-31
HMOX1	ENSG00000100292.16	15.260	67.937	-2.084	5.18e-45
SYNGR1	ENSG00000100321.14	7.540	79.230	-3.232	2.57e-96
FAM118A	ENSG00000100376.11	5.730	29.368	-2.174	7.60e-63
ST13	ENSG00000100380.12	131.352	613.703	-2.216	4.85e-90
PMM1	ENSG00000100417.11	11.500	63.550	-2.368	1.82e-115
KHNYN	ENSG00000100441.9	13.825	58.553	-2.006	2.21e-77
SRSF5	ENSG00000100650.15	92.882	625.817	-2.739	5.49e-142
PAPLN	ENSG00000100767.15	2.490	21.905	-2.714	8.01e-70
REC8	ENSG00000100918.12	54.466	10.750	2.239	2.38e-30
NFATC4	ENSG00000100968.13	14.105	255.591	-4.086	5.03e-142
MMP9	ENSG00000100985.7	10.785	0.205	3.290	1.70e-43
GINS1	ENSG00000101003.9	6.330	0.620	2.178	1.22e-94
NINL	ENSG00000101004.14	3.900	34.324	-2.850	8.20e-101
SGK2	ENSG00000101049.14	0.975	6.960	-2.011	2.26e-60
MYBL2	ENSG00000101057.15	31.400	0.090	4.894	2.64e-131
WFDC2	ENSG00000101443.17	2341.633	4.850	8.645	7.82e-198
FAM83D	ENSG00000101447.13	13.540	0.360	3.418	4.27e-112
SYNDIG1	ENSG00000101463.5	6.900	0.370	2.528	2.01e-37
TNNC2	ENSG00000101470.9	0.490	5.760	-2.182	3.27e-112
ZNF516	ENSG00000101493.10	4.145	26.239	-2.404	2.84e-92
POLI	ENSG00000101751.10	4.870	33.616	-2.560	7.05e-137
RBBP8	ENSG00000101773.16	23.470	4.990	2.030	1.34e-66
MXRA5	ENSG00000101825.7	16.289	2.455	2.323	1.82e-41
PRPS2	ENSG00000101911.12	18.230	79.431	-2.064	2.39e-62
MCF2	ENSG00000101977.19	0.040	4.535	-2.412	1.35e-187
PLS3	ENSG00000102024.17	15.250	69.201	-2.111	1.28e-53
SMARCA1	ENSG00000102038.15	7.920	43.917	-2.332	1.60e-80
PCSK1N	ENSG00000102109.8	18.600	1.445	3.003	3.15e-34
TAZ	ENSG00000102125.15	14.220	64.099	-2.097	9.18e-108
VGLL1	ENSG00000102243.12	15.685	0.000	4.060	1.26e-65
SYTL4	ENSG00000102362.15	2.830	116.089	-4.934	2.33e-218
KLF5	ENSG00000102554.13	44.890	2.830	3.583	3.70e-113
RGCC	ENSG00000102760.12	27.855	4.875	2.296	1.88e-52
MSLN	ENSG00000102854.14	428.721	0.425	8.236	2.01e-175
HSF4	ENSG00000102878.15	8.775	99.933	-3.368	2.49e-99
PLLP	ENSG00000102934.9	18.445	2.290	2.563	3.13e-68
MMP15	ENSG00000102996.4	15.470	0.840	3.162	7.07e-99
ESRP2	ENSG00000103067.11	12.715	0.700	3.012	4.53e-113
TAF1C	ENSG00000103168.16	14.210	97.829	-2.700	1.61e-110
METRN	ENSG00000103260.8	44.640	5.580	2.794	4.78e-74
RRN3P2	ENSG00000103472.9	0.355	6.170	-2.404	4.03e-202
SYT17	ENSG00000103528.16	7.100	0.495	2.438	2.52e-78
IGDCC4	ENSG00000103742.11	0.785	14.425	-3.111	2.34e-152
HOMER2	ENSG00000103942.12	28.424	3.775	2.623	7.26e-79
SFRP1	ENSG00000104332.11	2.085	20.787	-2.820	3.01e-42
LAPTM4B	ENSG00000104341.16	277.943	33.748	3.005	2.37e-93
NIPAL2	ENSG00000104361.9	5.810	40.925	-2.622	8.12e-88
ESRP1	ENSG00000104413.15	57.980	0.120	5.719	1.74e-213
UBXN8	ENSG00000104691.14	6.145	66.909	-3.249	1.50e-129
MCM4	ENSG00000104738.16	41.661	7.920	2.258	3.17e-66
TUBB4A	ENSG00000104833.10	5.655	0.595	2.061	5.14e-21
SNRNP70	ENSG00000104852.14	74.785	474.116	-2.648	9.05e-132
IL4I1	ENSG00000104951.15	34.735	0.300	4.781	4.74e-106
TNNT1	ENSG00000105048.16	79.754	1.388	5.079	2.78e-87
TJP3	ENSG00000105289.14	22.080	0.320	4.128	1.09e-127
MYH14	ENSG00000105357.15	31.569	0.330	4.614	1.17e-141
GLTSCR2	ENSG00000105373.18	181.100	791.639	-2.122	7.87e-84
NKG7	ENSG00000105374.9	7.990	0.950	2.205	7.57e-34
MEIS3	ENSG00000105419.17	2.275	22.229	-2.826	1.31e-71
HAS1	ENSG00000105509.10	0.100	9.749	-3.289	5.67e-136
RAB3D	ENSG00000105514.7	17.900	3.315	2.131	3.77e-63
JAK3	ENSG00000105639.18	3.215	19.045	-2.250	5.02e-75
MAG	ENSG00000105695.14	2.945	68.008	-4.129	2.45e-74
LSR	ENSG00000105699.16	178.254	6.440	4.591	3.17e-173
HPN	ENSG00000105707.13	24.390	1.170	3.549	1.58e-44
PON3	ENSG00000105852.10	0.305	23.600	-4.237	3.98e-93
VIPR2	ENSG00000106018.13	0.320	10.445	-3.116	1.64e-157
TSPAN12	ENSG00000106025.8	12.905	1.270	2.615	4.44e-57
NOD1	ENSG00000106100.10	3.040	19.064	-2.312	1.08e-131
SERPINE1	ENSG00000106366.8	8.060	36.063	-2.032	1.28e-13
SFRP4	ENSG00000106483.11	9.405	58.545	-2.517	2.72e-31
TSPAN13	ENSG00000106537.7	14.190	2.220	2.238	4.54e-59
RARRES2	ENSG00000106538.9	144.231	639.964	-2.142	1.73e-43
OGN	ENSG00000106809.10	1.050	53.495	-4.732	4.34e-123
TLE4	ENSG00000106829.18	4.815	27.685	-2.302	5.90e-49
MPDZ	ENSG00000107186.16	3.560	30.150	-2.772	1.81e-117
PTGDS	ENSG00000107317.11	146.910	24.368	2.544	8.75e-16
SPOCK2	ENSG00000107742.12	38.580	6.220	2.455	6.76e-34
KAZALD1	ENSG00000107821.14	5.105	0.350	2.177	6.53e-36
SH3PXD2A	ENSG00000107957.16	5.060	27.985	-2.258	3.13e-71
UBE2S	ENSG00000108106.13	74.669	11.510	2.597	8.25e-89
KRT23	ENSG00000108244.16	19.900	0.090	4.261	1.21e-69
RNF43	ENSG00000108375.12	8.365	0.690	2.470	1.23e-85
SEP4	ENSG00000108387.14	3.420	22.535	-2.413	5.86e-115
RASD1	ENSG00000108551.4	2.740	17.578	-2.312	1.36e-40
SYNGR2	ENSG00000108639.7	219.746	47.094	2.198	2.72e-72
KAT2A	ENSG00000108773.10	22.165	146.661	-2.672	1.26e-114
EZH1	ENSG00000108799.12	7.695	73.091	-3.091	9.57e-144
LUC7L3	ENSG00000108848.15	59.010	304.975	-2.350	9.35e-86
HLF	ENSG00000108924.13	0.280	25.955	-4.396	3.23e-274
WSB1	ENSG00000109046.14	18.470	180.167	-3.218	6.66e-114
SLC9A3R1	ENSG00000109062.9	67.039	10.805	2.527	4.62e-75
PMP22	ENSG00000109099.13	15.495	96.653	-2.566	6.62e-71
NMU	ENSG00000109255.11	16.720	0.080	4.036	8.93e-89
MAPK10	ENSG00000109339.18	1.270	16.398	-2.938	3.96e-93
WFS1	ENSG00000109501.13	15.260	99.421	-2.627	5.90e-94
SH3D19	ENSG00000109686.16	9.845	48.245	-2.183	4.21e-80
LRP2BP	ENSG00000109771.15	0.535	6.960	-2.374	8.41e-134
NCAPG	ENSG00000109805.9	5.740	0.170	2.526	8.94e-96
ZBTB16	ENSG00000109906.13	0.565	35.584	-4.547	3.02e-133
FNBP4	ENSG00000109920.12	23.925	104.593	-2.083	4.89e-80
UNC93B1	ENSG00000110057.7	55.044	7.025	2.804	5.89e-98
NRXN2	ENSG00000110076.18	3.525	17.610	-2.040	1.16e-27
ST3GAL4	ENSG00000110080.18	14.425	109.945	-2.846	2.09e-102
TRIM3	ENSG00000110171.18	4.435	26.730	-2.351	3.18e-141
FOLR1	ENSG00000110195.11	375.273	0.095	8.425	4.51e-174
FOLR3	ENSG00000110203.8	8.325	0.000	3.221	3.06e-44
PITPNM1	ENSG00000110697.12	25.745	4.925	2.174	1.49e-57
NDUFS8	ENSG00000110717.10	306.543	72.458	2.066	4.53e-96
P3H3	ENSG00000110811.19	7.245	57.631	-2.830	1.25e-68
PRPF40B	ENSG00000110844.13	9.955	52.436	-2.286	5.17e-92
LIN7A	ENSG00000111052.7	0.260	4.320	-2.078	3.79e-172
KRT18	ENSG00000111057.10	651.535	10.410	5.838	4.96e-196
TNS2	ENSG00000111077.17	26.035	247.759	-3.202	1.63e-107
FOXM1	ENSG00000111206.12	31.745	1.110	3.956	2.60e-132
RAD51AP1	ENSG00000111247.14	11.165	0.810	2.749	2.19e-99
SCNN1A	ENSG00000111319.12	158.500	3.824	5.047	1.71e-150
OAS3	ENSG00000111331.12	20.160	3.040	2.389	4.11e-39
OAS2	ENSG00000111335.12	21.910	1.365	3.276	2.59e-54
MGP	ENSG00000111341.9	86.768	547.930	-2.645	3.50e-52
RASAL1	ENSG00000111344.11	10.355	0.050	3.435	3.81e-106
RERGL	ENSG00000111404.6	0.090	7.740	-3.003	9.04e-111
VDR	ENSG00000111424.10	4.700	0.360	2.067	4.88e-54
STX2	ENSG00000111450.13	2.635	15.420	-2.175	3.83e-100
GAPDH	ENSG00000111640.14	5221.142	1058.128	2.302	9.72e-80
GNB3	ENSG00000111664.10	0.720	17.445	-3.423	1.05e-155
PTPN6	ENSG00000111679.16	35.589	4.635	2.699	7.09e-135
FGFR1OP2	ENSG00000111790.13	12.295	58.181	-2.154	2.40e-90
FAM184A	ENSG00000111879.18	0.480	5.625	-2.162	4.91e-125
UST	ENSG00000111962.7	1.410	8.670	-2.004	8.09e-85
MDGA1	ENSG00000112139.14	0.850	9.045	-2.441	1.97e-105
SOBP	ENSG00000112320.11	1.265	10.870	-2.390	1.50e-86
PERP	ENSG00000112378.11	41.290	5.305	2.746	7.13e-83
PHF1	ENSG00000112511.17	30.989	224.496	-2.817	7.61e-137
PDE10A	ENSG00000112541.13	0.230	4.519	-2.166	9.20e-105
SMOC2	ENSG00000112562.18	8.405	119.792	-3.683	3.28e-102
TTK	ENSG00000112742.9	8.365	0.140	3.038	3.69e-115
FAM46A	ENSG00000112773.15	3.230	20.145	-2.322	3.37e-100
LY86	ENSG00000112799.8	6.540	0.815	2.055	3.33e-48
KIF20A	ENSG00000112984.11	13.505	0.270	3.514	5.26e-127
PCDHB15	ENSG00000113248.5	0.460	7.170	-2.484	1.66e-94
RASGRF2	ENSG00000113319.11	0.765	14.470	-3.132	1.86e-138
LMNB1	ENSG00000113368.11	21.405	2.860	2.537	1.35e-74
PPWD1	ENSG00000113593.11	8.720	42.570	-2.164	8.29e-105
WWC1	ENSG00000113645.13	27.955	0.765	4.036	7.61e-154
PDGFRB	ENSG00000113721.13	9.930	119.987	-3.469	1.22e-95
STC2	ENSG00000113739.10	6.545	0.370	2.461	1.56e-54
UNC5A	ENSG00000113763.10	3.815	0.110	2.117	1.97e-32
NPHP3	ENSG00000113971.18	3.730	49.798	-3.425	2.09e-173
RBP1	ENSG00000114115.9	179.718	1392.198	-2.947	1.35e-64
UPK1B	ENSG00000114638.7	6.105	0.020	2.800	4.78e-44
MRPL3	ENSG00000114686.8	155.912	37.919	2.011	4.72e-114
NKTR	ENSG00000114857.17	7.275	84.471	-3.369	3.72e-137
SLC4A3	ENSG00000114923.16	5.835	155.497	-4.517	3.19e-155
FNDC4	ENSG00000115226.9	3.650	44.154	-3.280	5.53e-133
GRB14	ENSG00000115290.9	0.875	10.023	-2.556	8.57e-78
SPTBN1	ENSG00000115306.15	23.909	107.425	-2.122	2.85e-82
GALNT3	ENSG00000115339.13	23.705	3.540	2.444	2.61e-70
EVA1A	ENSG00000115363.13	13.320	0.685	3.087	6.01e-95
IGFBP5	ENSG00000115461.4	43.376	1252.851	-4.820	2.31e-96
FHL2	ENSG00000115641.18	42.810	487.936	-3.480	4.74e-106
ID2	ENSG00000115738.9	38.826	168.003	-2.085	2.80e-61
SDC1	ENSG00000115884.10	20.135	1.190	3.271	3.44e-59
PRRX1	ENSG00000116132.11	3.610	22.845	-2.371	1.22e-33
ERRFI1	ENSG00000116285.12	14.110	130.372	-3.120	1.14e-87
LEPR	ENSG00000116678.18	1.625	14.548	-2.566	3.96e-104
RGS2	ENSG00000116741.7	7.840	92.465	-3.402	4.36e-80
SRSF11	ENSG00000116754.13	60.016	259.546	-2.094	2.37e-92
OLFML3	ENSG00000116774.11	25.623	114.483	-2.117	1.48e-48
RP11-268J15.5	ENSG00000116883.8	1.755	17.989	-2.785	6.80e-116
NID1	ENSG00000116962.14	5.865	66.015	-3.287	5.57e-100
MYCL	ENSG00000116990.10	13.050	0.100	3.675	2.18e-87
ID3	ENSG00000117318.8	20.624	103.964	-2.279	2.93e-52
SLC2A1	ENSG00000117394.19	195.624	16.910	3.457	1.29e-80
PTCH2	ENSG00000117425.13	0.770	20.352	-3.593	8.23e-156
TSPAN1	ENSG00000117472.9	27.335	0.615	4.133	4.18e-67
SLC19A2	ENSG00000117479.12	2.450	14.390	-2.157	2.30e-106
F3	ENSG00000117525.13	4.635	141.734	-4.663	1.48e-125
HSD11B1	ENSG00000117594.9	1.455	43.220	-4.171	1.19e-138
IRF6	ENSG00000117595.10	13.885	1.325	2.679	8.25e-103
RCAN3	ENSG00000117602.11	6.080	0.480	2.258	4.63e-97
MAN1C1	ENSG00000117643.14	4.370	25.975	-2.329	4.15e-80
NEK2	ENSG00000117650.12	10.660	0.085	3.426	1.14e-129
RPS6KA1	ENSG00000117676.13	14.600	2.020	2.369	1.97e-101
PROX1	ENSG00000117707.15	0.090	3.749	-2.123	5.93e-174
MAR2	ENSG00000117791.15	2.900	34.270	-3.177	1.62e-134
MREG	ENSG00000118242.15	7.545	1.095	2.028	5.15e-82
PLAGL1	ENSG00000118495.18	4.330	39.655	-2.931	1.36e-62
TNFAIP3	ENSG00000118503.14	8.935	57.505	-2.558	8.74e-71
SGK1	ENSG00000118515.11	24.699	199.293	-2.962	3.24e-82
TCF21	ENSG00000118526.6	0.705	28.530	-4.114	2.25e-147
VAMP8	ENSG00000118640.10	180.211	8.570	4.243	4.39e-189
PKD2	ENSG00000118762.7	4.050	32.100	-2.713	4.41e-128
SPP1	ENSG00000118785.13	256.283	4.400	5.574	1.45e-112
KLF9	ENSG00000119138.4	4.190	46.483	-3.194	6.21e-123
NEK6	ENSG00000119408.16	21.835	4.555	2.039	3.05e-53
NR4A3	ENSG00000119508.17	0.440	17.702	-3.699	4.51e-92
GALNT12	ENSG00000119514.6	6.280	0.520	2.260	5.48e-81
NEK9	ENSG00000119638.12	15.545	76.074	-2.220	1.10e-82
PPP4R4	ENSG00000119698.11	0.180	5.100	-2.370	6.35e-170
EPCAM	ENSG00000119888.10	246.893	0.755	7.142	3.44e-239
FAM178A	ENSG00000119906.11	4.865	26.083	-2.207	1.14e-122
KCNIP2	ENSG00000120049.18	1.125	12.620	-2.680	4.19e-135
HOXB3	ENSG00000120093.11	10.445	0.965	2.542	7.93e-36
SMAD9	ENSG00000120693.13	0.590	6.610	-2.259	1.22e-126
PLS1	ENSG00000120756.12	6.585	0.270	2.578	2.30e-96
GLT8D2	ENSG00000120820.12	4.505	37.745	-2.815	1.06e-67
SOCS2	ENSG00000120833.13	1.775	15.454	-2.568	4.46e-94
NCAPH	ENSG00000121152.9	8.230	0.245	2.890	4.85e-105
MND1	ENSG00000121211.7	5.850	0.280	2.420	3.11e-98
TSHZ3	ENSG00000121297.6	1.400	32.001	-3.781	8.70e-161
KCNJ8	ENSG00000121361.3	2.325	15.470	-2.308	1.75e-78
PDZRN3	ENSG00000121440.14	4.990	60.224	-3.354	6.82e-107
PILRB	ENSG00000121716.18	14.185	60.029	-2.007	2.53e-54
PAEP	ENSG00000122133.16	3.375	0.000	2.129	1.81e-21
OBP2A	ENSG00000122136.13	5.470	0.000	2.694	5.25e-25
WIPF3	ENSG00000122574.10	1.910	53.465	-4.226	1.19e-158
NUDT10	ENSG00000122824.10	0.620	14.855	-3.291	5.99e-124
PLAU	ENSG00000122861.15	17.865	0.970	3.259	3.81e-54
ZWINT	ENSG00000122952.16	20.305	1.550	3.063	1.70e-124
MMP19	ENSG00000123342.15	3.720	22.647	-2.325	1.99e-57
NR4A1	ENSG00000123358.19	21.359	1021.023	-5.514	8.28e-113
PDE1B	ENSG00000123360.11	1.550	21.850	-3.164	2.42e-125
LRP1	ENSG00000123384.13	28.129	236.115	-3.025	3.00e-98
HJURP	ENSG00000123485.11	9.690	0.180	3.179	4.77e-115
PLP1	ENSG00000123560.13	0.085	3.460	-2.039	1.11e-99
RAB9B	ENSG00000123570.3	0.225	5.590	-2.428	4.72e-190
NRK	ENSG00000123572.16	0.300	24.110	-4.272	1.69e-212
G0S2	ENSG00000123689.5	7.010	35.794	-2.200	3.45e-55
INHA	ENSG00000123999.4	1.570	92.308	-5.182	6.98e-159
OBSL1	ENSG00000124006.14	62.070	522.594	-3.053	1.23e-99
SLC12A4	ENSG00000124067.16	9.845	43.374	-2.033	7.77e-87
PI3	ENSG00000124102.4	32.169	0.345	4.624	1.73e-55
SNX21	ENSG00000124104.18	9.630	48.660	-2.224	1.45e-111
SLPI	ENSG00000124107.5	1338.266	2.718	8.493	6.92e-161
SLC12A5	ENSG00000124140.12	20.110	1.565	3.041	1.55e-61
PARD6B	ENSG00000124171.8	6.320	0.800	2.024	4.55e-107
PLCG1	ENSG00000124181.14	19.049	121.086	-2.606	1.93e-73
TMEM189-UBE2V1	ENSG00000124208.16	9.665	0.710	2.641	1.38e-82
PTGIS	ENSG00000124212.5	4.045	34.235	-2.804	2.26e-49
KCNK15	ENSG00000124249.6	38.215	1.990	3.713	2.10e-91
HIF3A	ENSG00000124440.15	5.370	60.354	-3.268	1.85e-44
NDP	ENSG00000124479.8	2.065	17.396	-2.585	2.70e-31
HIST1H2BJ	ENSG00000124635.8	6.190	0.780	2.014	2.81e-41
SPDEF	ENSG00000124664.10	6.630	0.100	2.794	1.09e-41
SCGB1D2	ENSG00000124935.3	35.449	0.110	5.037	6.25e-75
SCGB2A1	ENSG00000124939.5	76.577	0.000	6.278	3.12e-96
MT1G	ENSG00000125144.13	85.085	1.335	5.204	1.63e-57
TMEM255A	ENSG00000125355.15	0.830	10.919	-2.703	2.89e-98
SOX9	ENSG00000125398.5	18.950	0.105	4.174	1.79e-114
PPP1R12C	ENSG00000125503.12	22.751	136.967	-2.538	1.40e-109
PAX8	ENSG00000125618.16	196.276	2.160	5.964	1.26e-136
PSD4	ENSG00000125637.15	18.020	1.495	2.930	7.41e-131
GRIA3	ENSG00000125675.17	0.120	4.090	-2.184	2.00e-193
SH2D3A	ENSG00000125731.12	10.815	1.800	2.077	4.05e-68
TRIP10	ENSG00000125733.17	29.930	128.034	-2.061	3.59e-93
RTN2	ENSG00000125744.11	12.555	1.700	2.328	4.23e-54
GPCPD1	ENSG00000125772.12	5.925	27.903	-2.061	8.70e-78
OVOL2	ENSG00000125850.10	12.830	0.000	3.790	5.95e-177
PCSK2	ENSG00000125851.9	0.270	8.726	-2.937	1.44e-46
F10	ENSG00000126218.11	0.920	29.205	-3.976	8.54e-138
HCST	ENSG00000126264.9	22.520	4.679	2.050	2.11e-48
THRA	ENSG00000126351.12	15.970	68.876	-2.042	1.08e-74
NR1D1	ENSG00000126368.5	7.055	51.244	-2.697	7.18e-94
PRRG2	ENSG00000126460.10	7.885	0.300	2.773	7.89e-117
WNK4	ENSG00000126562.16	0.190	4.545	-2.220	2.23e-88
IFI6	ENSG00000126709.14	797.864	53.079	3.885	2.72e-60
RHOJ	ENSG00000126785.12	1.450	9.505	-2.100	4.12e-96
L3HYPDH	ENSG00000126790.11	5.905	34.570	-2.365	2.90e-110
OMD	ENSG00000127083.7	0.290	9.890	-3.078	2.84e-84
TSPAN8	ENSG00000127324.8	1.320	31.827	-3.823	1.28e-59
PLA2G5	ENSG00000127472.10	0.520	94.959	-5.980	7.28e-253
KLF2	ENSG00000127528.5	8.110	135.237	-3.903	8.95e-112
PKMYT1	ENSG00000127564.16	16.905	0.440	3.636	1.10e-140
FBXL16	ENSG00000127585.11	7.530	0.290	2.725	1.10e-64
GNG11	ENSG00000127920.5	4.020	50.185	-3.350	1.04e-155
SRD5A3	ENSG00000128039.10	38.064	3.035	3.275	4.63e-103
RASL11B	ENSG00000128045.6	1.685	54.007	-4.357	1.68e-131
TUBGCP6	ENSG00000128159.11	5.775	51.535	-2.955	1.15e-144
KRT17	ENSG00000128422.15	33.686	0.440	4.590	8.74e-78
FOXP2	ENSG00000128573.22	0.070	4.990	-2.485	1.90e-161
LRRC17	ENSG00000128606.12	1.635	50.096	-4.277	7.98e-119
HOXD1	ENSG00000128645.12	8.185	0.335	2.782	2.30e-34
VPS13C	ENSG00000129003.15	6.995	36.605	-2.234	6.62e-112
PALLD	ENSG00000129116.17	18.464	82.093	-2.094	6.45e-55
SOX15	ENSG00000129194.7	1.235	15.809	-2.911	1.34e-47
FAM64A	ENSG00000129195.15	8.135	0.515	2.592	1.43e-83
PLD2	ENSG00000129219.13	10.560	45.720	-2.015	5.63e-82
MTUS1	ENSG00000129422.13	6.360	54.163	-2.906	9.52e-127
KLK10	ENSG00000129451.11	114.016	19.897	2.460	1.55e-26
KLK8	ENSG00000129455.15	154.326	0.165	7.059	2.70e-189
FOXJ1	ENSG00000129654.7	22.270	0.040	4.484	4.22e-82
SGOL1	ENSG00000129810.14	4.750	0.120	2.360	3.10e-109
